GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219741,240500,2639500,Noctuidae,Mythimna yu,成蟲,2012,346532,3826_8749
3826_219243,242500,2638500,Noctuidae,Mythimna yu,成蟲,2012,346532,3826_8749
3826_218230,229500,2636500,Noctuidae,Mythimna yu,成蟲,2012,346532,3826_8746
3826_273826,325500,2747500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_10966
3826_273278,277500,2746500,Noctuidae,Mythimna yu,成蟲,2012,346532,3826_10956
3826_275779,278500,2751500,Noctuidae,Mythimna yu,成蟲,2012,346532,3826_11056
3826_281810,309500,2763500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_11262
3826_271769,268500,2743500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_10854
3826_279306,305500,2758500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_11162
3826_272776,275500,2745500,Noctuidae,Mythimna yu,成蟲,2012,346532,3826_10956
3826_281309,308500,2762500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_11262
3826_187200,199500,2574500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_7440
3826_236217,216500,2672500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_9444
3826_250744,243500,2701500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_10049
3826_285313,312500,2770500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_11463
3826_287813,312500,2775500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_11563
3826_221744,243500,2643500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_8849
3826_217730,229500,2635500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_8746
3826_272776,275500,2745500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_10956
3826_231720,219500,2663500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_9244
3826_204739,238500,2609500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_8148
3826_225806,305500,2651500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_9062
3826_212229,228500,2624500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_8446
3826_282307,306500,2764500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_11262
3826_282307,306500,2764500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_11262
3826_168208,207500,2536500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_6742
3826_152210,209500,2504500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_6042
3826_262327,326500,2724500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_10466
3826_283807,306500,2767500,Noctuidae,Mythimna yu,成蟲,2014,346532,3826_11362
3826_281810,309500,2763500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_11262
3826_279306,305500,2758500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_11162
3826_221239,238500,2642500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_8848
3826_225250,249500,2650500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_9050
3826_284810,309500,2769500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_11362
3826_290310,309500,2780500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_11662
3826_293308,307500,2786500,Noctuidae,Mythimna yu,成蟲,2015,346532,3826_11762
3826_266771,270500,2733500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_10655
3826_155691,190500,2511500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_6239
3826_285313,312500,2770500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11463
3826_287810,309500,2775500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11562
3826_199786,285500,2599500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_7958
3826_290805,304500,2781500,Noctuidae,Mythimna yu,成蟲,2013,346532,3826_11661
3826_281810,309500,2763500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11262
3826_156715,214500,2513500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_6243
3826_287843,342500,2775500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11569
3826_225806,305500,2651500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_9062
3826_290310,309500,2780500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11662
3826_292292,291500,2784500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11659
3826_284810,309500,2769500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_11362
3826_201209,208500,2602500,Noctuidae,Mythimna yu,成蟲,2016,346532,3826_8042
