GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_247282,281500,2694500,Nolidae,Narangodes confluens,成蟲,2010,346902,3826_9857
3826_255762,261500,2711500,Nolidae,Narangodes confluens,成蟲,2011,346902,3826_10253
3826_238752,251500,2677500,Nolidae,Narangodes confluens,成蟲,2011,346902,3826_9551
3826_293302,301500,2786500,Nolidae,Narangodes confluens,成蟲,2011,346902,3826_11761
3826_206243,242500,2612500,Nolidae,Narangodes confluens,成蟲,2012,346902,3826_8249
3826_247282,281500,2694500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_9857
3826_247282,281500,2694500,Nolidae,Narangodes confluens,成蟲,2012,346902,3826_9857
3826_232753,252500,2665500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_9351
3826_224769,268500,2649500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_8954
3826_259784,283500,2719500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_10357
3826_185749,248500,2571500,Nolidae,Narangodes confluens,成蟲,2014,346902,3826_7450
3826_237248,247500,2674500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_9450
3826_264283,282500,2728500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_10557
3826_232754,253500,2665500,Nolidae,Narangodes confluens,成蟲,2014,346902,3826_9351
3826_232753,252500,2665500,Nolidae,Narangodes confluens,成蟲,2014,346902,3826_9351
3826_236745,244500,2673500,Nolidae,Narangodes confluens,成蟲,2014,346902,3826_9449
3826_225263,262500,2650500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_9053
3826_223741,240500,2647500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_8949
3826_170218,217500,2540500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_6844
3826_238752,251500,2677500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_9551
3826_273788,287500,2747500,Nolidae,Narangodes confluens,成蟲,2012,346902,3826_10958
3826_232753,252500,2665500,Nolidae,Narangodes confluens,成蟲,2012,346902,3826_9351
3826_273279,278500,2746500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_10956
3826_288310,309500,2776500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_11562
3826_247282,281500,2694500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_9857
3826_227250,249500,2654500,Nolidae,Narangodes confluens,成蟲,2016,346902,3826_9050
3826_293303,302500,2786500,Nolidae,Narangodes confluens,成蟲,2016,346902,3826_11761
3826_273788,287500,2747500,Nolidae,Narangodes confluens,成蟲,2013,346902,3826_10958
3826_237248,247500,2674500,Nolidae,Narangodes confluens,成蟲,2016,346902,3826_9450
3826_242745,244500,2685500,Nolidae,Narangodes confluens,成蟲,2016,346902,3826_9749
3826_263279,278500,2726500,Nolidae,Narangodes confluens,成蟲,2016,346902,3826_10556
3826_232753,252500,2665500,Nolidae,Narangodes confluens,成蟲,2016,346902,3826_9351
3826_224749,248500,2649500,Nolidae,Narangodes confluens,成蟲,2017,346902,3826_8950
3826_237800,299500,2675500,Nolidae,Narangodes confluens,成蟲,2015,346902,3826_9560
3826_227759,258500,2655500,Nolidae,Narangodes confluens,成蟲,2017,346902,3826_9152
3826_293303,302500,2786500,Nolidae,Narangodes confluens,成蟲,2017,346902,3826_11761
3826_228252,251500,2656500,Nolidae,Narangodes confluens,幼蟲,2017,346902,3826_9151
3826_224769,268500,2649500,Nolidae,Narangodes confluens,成蟲,2017,346902,3826_8954
3826_262249,248500,2724500,Nolidae,Narangodes confluens,成蟲,2017,346902,3826_10450
3826_232753,252500,2665500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_9351
3826_262249,248500,2724500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_10450
3826_238256,255500,2676500,Nolidae,Narangodes confluens,幼蟲,2016,346902,3826_9552
3826_293308,307500,2786500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_11762
3826_237248,247500,2674500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_9450
3826_227760,259500,2655500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_9152
3826_293303,302500,2786500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_11761
3826_222739,238500,2645500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_8948
3826_200229,228500,2600500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_8046
3826_224769,268500,2649500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_8954
3826_246782,281500,2693500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_9857
3826_262759,258500,2725500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_10552
3826_247282,281500,2694500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_9857
3826_237245,244500,2674500,Nolidae,Narangodes confluens,成蟲,2018,346902,3826_9449
3826_227759,258500,2655500,Nolidae,Narangodes confluens,成蟲,2019,346902,3826_9152
3826_259784,283500,2719500,Nolidae,Narangodes confluens,成蟲,2010,346902,3826_10357
3826_248728,227500,2697500,Nolidae,Narangodes confluens,成蟲,2019,346902,3826_9946
3826_232753,252500,2665500,Nolidae,Narangodes confluens,成蟲,2019,346902,3826_9351
3826_224769,268500,2649500,Nolidae,Narangodes confluens,成蟲,2019,346902,3826_8954
3826_251728,227500,2703500,Nolidae,Narangodes confluens,成蟲,2019,346902,3826_10046
3826_227759,258500,2655500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_9152
3826_224769,268500,2649500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_8954
3826_293303,302500,2786500,Nolidae,Narangodes confluens,成蟲,2014,346902,3826_11761
3826_238290,289500,2676500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_9558
3826_237785,284500,2675500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_9557
3826_238251,250500,2676500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_9551
3826_230272,271500,2660500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_9255
3826_224749,248500,2649500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_8950
3826_288808,307500,2777500,Nolidae,Narangodes confluens,成蟲,2021,346902,3826_11562
3826_259249,248500,2718500,Nolidae,Narangodes confluens,成蟲,2021,346902,3826_10350
3826_247282,281500,2694500,Nolidae,Narangodes confluens,成蟲,2020,346902,3826_9857
3826_248781,280500,2697500,Nolidae,Narangodes confluens,成蟲,2021,346902,3826_9957
