GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_147212,211500,2494500,Limacodidae,Narosoideus flavidorsalis,成蟲,2011,438429,3826_5843
3826_238794,293500,2677500,Limacodidae,Narosoideus flavidorsalis,成蟲,2012,438429,3826_9559
3826_291805,304500,2783500,Limacodidae,Narosoideus flavidorsalis,成蟲,2012,438429,3826_11661
3826_204726,225500,2609500,Limacodidae,Narosoideus flavidorsalis,成蟲,2012,438429,3826_8146
3826_273788,287500,2747500,Limacodidae,Narosoideus flavidorsalis,成蟲,2012,438429,3826_10958
3826_269811,310500,2739500,Limacodidae,Narosoideus flavidorsalis,成蟲,2012,438429,3826_10763
3826_282820,319500,2765500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_11364
3826_197218,217500,2594500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_7844
3826_257742,241500,2715500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_10349
3826_270273,272500,2740500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_10855
3826_264281,280500,2728500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_10557
3826_291801,300500,2783500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_11661
3826_280304,303500,2760500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_11261
3826_188208,207500,2576500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_7542
3826_273304,303500,2746500,Limacodidae,Narosoideus flavidorsalis,成蟲,2013,438429,3826_10961
3826_237309,308500,2674500,Limacodidae,Narosoideus flavidorsalis,成蟲,2014,438429,3826_9462
3826_193218,217500,2586500,Limacodidae,Narosoideus flavidorsalis,成蟲,2014,438429,3826_7744
3826_287813,312500,2775500,Limacodidae,Narosoideus flavidorsalis,成蟲,2011,438429,3826_11563
3826_277819,318500,2755500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_11164
3826_159220,219500,2518500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_6344
3826_220810,309500,2641500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_8862
3826_291802,301500,2783500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_11661
3826_170217,216500,2540500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_6844
3826_186219,218500,2572500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_7444
3826_157226,225500,2514500,Limacodidae,Narosoideus flavidorsalis,成蟲,2015,438429,3826_6246
