GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_152714,213500,2505500,Crambidae,Nausinoe perspectata,成蟲,2011,417169,3826_6143
3826_166722,221500,2533500,Crambidae,Nausinoe perspectata,成蟲,2011,417169,3826_6645
3826_203222,221500,2606500,Crambidae,Nausinoe perspectata,成蟲,2011,417169,3826_8145
3826_241225,224500,2682500,Crambidae,Nausinoe perspectata,成蟲,2011,417169,3826_9645
3826_204726,225500,2609500,Crambidae,Nausinoe perspectata,成蟲,2012,417169,3826_8146
3826_154714,213500,2509500,Crambidae,Nausinoe perspectata,成蟲,2012,417169,3826_6143
3826_188716,215500,2577500,Crambidae,Nausinoe perspectata,成蟲,2013,417169,3826_7544
3826_150219,218500,2500500,Crambidae,Nausinoe perspectata,成蟲,2013,417169,3826_6044
3826_285312,311500,2770500,Crambidae,Nausinoe perspectata,成蟲,2012,417169,3826_11463
3826_217730,229500,2635500,Crambidae,Nausinoe perspectata,成蟲,2014,417169,3826_8746
3826_281778,277500,2763500,Crambidae,Nausinoe perspectata,成蟲,2014,417169,3826_11256
3826_140712,211500,2481500,Crambidae,Nausinoe perspectata,成蟲,2014,417169,3826_5643
3826_237248,247500,2674500,Crambidae,Nausinoe perspectata,成蟲,2015,417169,3826_9450
3826_232753,252500,2665500,Crambidae,Nausinoe perspectata,成蟲,2015,417169,3826_9351
3826_202689,188500,2605500,Crambidae,Nausinoe perspectata,成蟲,2014,417169,3826_8138
3826_236732,231500,2673500,Crambidae,Nausinoe perspectata,成蟲,2015,417169,3826_9447
3826_283807,306500,2767500,Crambidae,Nausinoe perspectata,成蟲,2015,417169,3826_11362
3826_226225,224500,2652500,Crambidae,Nausinoe perspectata,成蟲,2013,417169,3826_9045
3826_282808,307500,2765500,Crambidae,Nausinoe perspectata,成蟲,2015,417169,3826_11362
3826_164183,182500,2528500,Crambidae,Nausinoe perspectata,成蟲,2015,417169,3826_6537
3826_286306,305500,2772500,Crambidae,Nausinoe perspectata,成蟲,2012,417169,3826_11462
3826_213711,210500,2627500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_8543
3826_232204,203500,2664500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_9241
3826_213729,228500,2627500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_8546
3826_237245,244500,2674500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_9449
3826_188716,215500,2577500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_7544
3826_237248,247500,2674500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_9450
3826_237228,227500,2674500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_9446
3826_282784,283500,2765500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_11357
3826_213711,210500,2627500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_8543
3826_193218,217500,2586500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_7744
3826_232739,238500,2665500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_9348
3826_231749,248500,2663500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_9250
3826_155691,190500,2511500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_6239
3826_282307,306500,2764500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_11262
3826_152175,174500,2504500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_6035
3826_224746,245500,2649500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_8950
3826_190782,281500,2581500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_7657
3826_154218,217500,2508500,Crambidae,Nausinoe perspectata,成蟲,2017,417169,3826_6144
3826_253748,247500,2707500,Crambidae,Nausinoe perspectata,幼蟲,2017,417169,3826_10150
3826_232753,252500,2665500,Crambidae,Nausinoe perspectata,成蟲,2018,417169,3826_9351
3826_154218,217500,2508500,Crambidae,Nausinoe perspectata,成蟲,2018,417169,3826_6144
3826_267260,259500,2734500,Crambidae,Nausinoe perspectata,成蟲,2018,417169,3826_10652
3826_175725,224500,2551500,Crambidae,Nausinoe perspectata,成蟲,2018,417169,3826_7045
3826_291305,304500,2782500,Crambidae,Nausinoe perspectata,成蟲,2018,417169,3826_11661
3826_152175,174500,2504500,Crambidae,Nausinoe perspectata,成蟲,2018,417169,3826_6035
3826_287315,314500,2774500,Crambidae,Nausinoe perspectata,成蟲,2019,417169,3826_11463
3826_165724,223500,2531500,Crambidae,Nausinoe perspectata,成蟲,2012,417169,3826_6645
3826_194714,213500,2589500,Crambidae,Nausinoe perspectata,成蟲,2019,417169,3826_7743
3826_291805,304500,2783500,Crambidae,Nausinoe perspectata,成蟲,2019,417169,3826_11661
3826_187199,198500,2574500,Crambidae,Nausinoe perspectata,成蟲,2010,417169,3826_7440
3826_281270,269500,2762500,Crambidae,Nausinoe perspectata,成蟲,2019,417169,3826_11254
3826_264321,320500,2728500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_10565
3826_285293,292500,2770500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_11459
3826_231246,245500,2662500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_9250
3826_282307,306500,2764500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_11262
3826_150218,217500,2500500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_6044
3826_238222,221500,2676500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_9545
3826_130234,233500,2460500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_5247
3826_288804,303500,2777500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_11561
3826_158223,222500,2516500,Crambidae,Nausinoe perspectata,成蟲,2016,417169,3826_6345
3826_282305,304500,2764500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_11261
3826_253247,246500,2706500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_10150
3826_241732,231500,2683500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_9647
3826_282307,306500,2764500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_11262
3826_153177,176500,2506500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_6136
3826_152211,210500,2504500,Crambidae,Nausinoe perspectata,成蟲,2020,417169,3826_6043
3826_176271,270500,2552500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_7055
3826_133220,219500,2466500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_5344
3826_151675,174500,2503500,Crambidae,Nausinoe perspectata,成蟲,2021,417169,3826_6035
3826_282307,306500,2764500,Crambidae,Nausinoe perspectata,成蟲,2022,417169,3826_11262
3826_283807,306500,2767500,Crambidae,Nausinoe perspectata,成蟲,2022,417169,3826_11362
3826_153718,217500,2507500,Crambidae,Nausinoe perspectata,成蟲,2022,417169,3826_6144
3826_218733,232500,2637500,Crambidae,Nausinoe perspectata,成蟲,2022,417169,3826_8747
3826_282806,305500,2765500,Crambidae,Nausinoe perspectata,成蟲,2022,417169,3826_11362
