GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_206243,242500,2612500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2012,434200,3826_8249
3826_264279,278500,2728500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2014,434200,3826_10556
3826_281820,319500,2763500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2013,434200,3826_11264
3826_280304,303500,2760500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2015,434200,3826_11261
3826_264779,278500,2729500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2015,434200,3826_10556
3826_269811,310500,2739500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_10763
3826_263798,297500,2727500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_10560
3826_264279,278500,2728500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_10556
3826_273788,287500,2747500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2013,434200,3826_10958
3826_241248,247500,2682500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_9650
3826_290310,309500,2780500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_11662
3826_293303,302500,2786500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_11761
3826_207230,229500,2614500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_8246
3826_280805,304500,2761500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2016,434200,3826_11261
3826_290310,309500,2780500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_11662
3826_266794,293500,2733500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_10659
3826_260292,291500,2720500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_10459
3826_266265,264500,2732500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_10653
3826_264279,278500,2728500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_10556
3826_254805,304500,2709500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2014,434200,3826_10161
3826_264779,278500,2729500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_10556
3826_263296,295500,2726500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_10560
3826_207230,229500,2614500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2017,434200,3826_8246
3826_282784,283500,2765500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2018,434200,3826_11357
3826_283284,283500,2766500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2018,434200,3826_11357
3826_283832,331500,2767500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2018,434200,3826_11367
3826_291822,321500,2783500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2018,434200,3826_11665
3826_280320,319500,2760500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2018,434200,3826_11264
3826_241751,250500,2683500,Notodontidae,Neodrymonia basalis seriatopunctata,成蟲,2018,434200,3826_9651
