GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Erebidae,Nephelomilta karenkonis,成蟲,2011,434100,3826_10961
3826_263798,297500,2727500,Erebidae,Nephelomilta karenkonis,成蟲,2011,434100,3826_10560
3826_263798,297500,2727500,Erebidae,Nephelomilta karenkonis,成蟲,2012,434100,3826_10560
3826_198726,225500,2597500,Erebidae,Nephelomilta karenkonis,成蟲,2012,434100,3826_7946
3826_273788,287500,2747500,Erebidae,Nephelomilta karenkonis,成蟲,2011,434100,3826_10958
3826_197218,217500,2594500,Erebidae,Nephelomilta karenkonis,成蟲,2013,434100,3826_7844
3826_263798,297500,2727500,Erebidae,Nephelomilta karenkonis,成蟲,2013,434100,3826_10560
3826_265276,275500,2730500,Erebidae,Nephelomilta karenkonis,成蟲,2013,434100,3826_10656
3826_174221,220500,2548500,Erebidae,Nephelomilta karenkonis,成蟲,2014,434100,3826_6945
3826_232753,252500,2665500,Erebidae,Nephelomilta karenkonis,成蟲,2014,434100,3826_9351
3826_227307,306500,2654500,Erebidae,Nephelomilta karenkonis,成蟲,2014,434100,3826_9062
3826_140712,211500,2481500,Erebidae,Nephelomilta karenkonis,成蟲,2014,434100,3826_5643
3826_263798,297500,2727500,Erebidae,Nephelomilta karenkonis,成蟲,2014,434100,3826_10560
3826_159220,219500,2518500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_6344
3826_264283,282500,2728500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_10557
3826_263798,297500,2727500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_10560
3826_230767,266500,2661500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_9254
3826_237791,290500,2675500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_9559
3826_274307,306500,2748500,Erebidae,Nephelomilta karenkonis,成蟲,2011,434100,3826_10962
3826_254805,304500,2709500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_10161
3826_239300,299500,2678500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_9560
3826_228263,262500,2656500,Erebidae,Nephelomilta karenkonis,成蟲,2012,434100,3826_9153
3826_273304,303500,2746500,Erebidae,Nephelomilta karenkonis,成蟲,2012,434100,3826_10961
3826_211732,231500,2623500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_8447
3826_139724,223500,2479500,Erebidae,Nephelomilta karenkonis,成蟲,2015,434100,3826_5545
3826_166722,221500,2533500,Erebidae,Nephelomilta karenkonis,成蟲,2016,434100,3826_6645
3826_218733,232500,2637500,Erebidae,Nephelomilta karenkonis,幼蟲,2016,434100,3826_8747
3826_267279,278500,2734500,Erebidae,Nephelomilta karenkonis,成蟲,2016,434100,3826_10656
3826_269278,277500,2738500,Erebidae,Nephelomilta karenkonis,成蟲,2016,434100,3826_10756
3826_277327,326500,2754500,Erebidae,Nephelomilta karenkonis,成蟲,2016,434100,3826_11066
3826_237801,300500,2675500,Erebidae,Nephelomilta karenkonis,成蟲,2017,434100,3826_9561
3826_238290,289500,2676500,Erebidae,Nephelomilta karenkonis,成蟲,2016,434100,3826_9558
3826_264279,278500,2728500,Erebidae,Nephelomilta karenkonis,成蟲,2017,434100,3826_10556
