GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Notodontidae,Netria multispinae multispinae,成蟲,2011,349786,3826_10559
3826_263798,297500,2727500,Notodontidae,Netria multispinae multispinae,成蟲,2011,349786,3826_10560
3826_219242,241500,2638500,Notodontidae,Netria multispinae multispinae,成蟲,2012,349786,3826_8749
3826_265782,281500,2731500,Notodontidae,Netria multispinae multispinae,成蟲,2012,349786,3826_10657
3826_263294,293500,2726500,Notodontidae,Netria multispinae multispinae,成蟲,2012,349786,3826_10559
3826_241275,274500,2682500,Notodontidae,Netria multispinae multispinae,成蟲,2012,349786,3826_9655
3826_175725,224500,2551500,Notodontidae,Netria multispinae multispinae,成蟲,2013,349786,3826_7045
3826_239740,239500,2679500,Notodontidae,Netria multispinae multispinae,成蟲,2013,349786,3826_9548
3826_263798,297500,2727500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_10560
3826_227258,257500,2654500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_9052
3826_259784,283500,2719500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_10357
3826_264279,278500,2728500,Notodontidae,Netria multispinae multispinae,成蟲,2013,349786,3826_10556
3826_264279,278500,2728500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_10556
3826_236745,244500,2673500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_9449
3826_259282,281500,2718500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_10357
3826_200230,229500,2600500,Notodontidae,Netria multispinae multispinae,成蟲,2014,349786,3826_8046
3826_198240,239500,2596500,Notodontidae,Netria multispinae multispinae,成蟲,2015,349786,3826_7948
3826_264279,278500,2728500,Notodontidae,Netria multispinae multispinae,成蟲,2015,349786,3826_10556
3826_237791,290500,2675500,Notodontidae,Netria multispinae multispinae,成蟲,2015,349786,3826_9559
3826_241248,247500,2682500,Notodontidae,Netria multispinae multispinae,成蟲,2012,349786,3826_9650
3826_241248,247500,2682500,Notodontidae,Netria multispinae multispinae,成蟲,2011,349786,3826_9650
3826_255762,261500,2711500,Notodontidae,Netria multispinae multispinae,成蟲,2013,349786,3826_10253
3826_227258,257500,2654500,Notodontidae,Netria multispinae multispinae,幼蟲,2014,349786,3826_9052
3826_227250,249500,2654500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_9050
3826_229248,247500,2658500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_9150
3826_232753,252500,2665500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_9351
3826_264279,278500,2728500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10556
3826_139225,224500,2478500,Notodontidae,Netria multispinae multispinae,成蟲,2015,349786,3826_5545
3826_263798,297500,2727500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10560
3826_259282,281500,2718500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10357
3826_259784,283500,2719500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10357
3826_229767,266500,2659500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_9154
3826_263297,296500,2726500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10560
3826_231268,267500,2662500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_9254
3826_241243,242500,2682500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_9649
3826_265790,289500,2731500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10658
3826_175725,224500,2551500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_7045
3826_251252,251500,2702500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10051
3826_207230,229500,2614500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_8246
3826_255762,261500,2711500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10253
3826_197241,240500,2594500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_7849
3826_224749,248500,2649500,Notodontidae,Netria multispinae multispinae,成蟲,2017,349786,3826_8950
3826_251789,288500,2703500,Notodontidae,Netria multispinae multispinae,成蟲,2016,349786,3826_10058
3826_140225,224500,2480500,Notodontidae,Netria multispinae multispinae,成蟲,2017,349786,3826_5645
3826_257263,262500,2714500,Notodontidae,Netria multispinae multispinae,成蟲,2017,349786,3826_10253
3826_256762,261500,2713500,Notodontidae,Netria multispinae multispinae,成蟲,2017,349786,3826_10253
3826_207230,229500,2614500,Notodontidae,Netria multispinae multispinae,成蟲,2017,349786,3826_8246
3826_224769,268500,2649500,Notodontidae,Netria multispinae multispinae,成蟲,2018,349786,3826_8954
3826_207230,229500,2614500,Notodontidae,Netria multispinae multispinae,成蟲,2018,349786,3826_8246
3826_255262,261500,2710500,Notodontidae,Netria multispinae multispinae,成蟲,2018,349786,3826_10253
3826_207229,228500,2614500,Notodontidae,Netria multispinae multispinae,成蟲,2018,349786,3826_8246
