GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_140224,223500,2480500,Crambidae,Nevrina procopia,成蟲,2011,344250,3826_5645
3826_166722,221500,2533500,Crambidae,Nevrina procopia,成蟲,2011,344250,3826_6645
3826_263798,297500,2727500,Crambidae,Nevrina procopia,成蟲,2011,344250,3826_10560
3826_276808,307500,2753500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_11062
3826_229767,266500,2659500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_9154
3826_204726,225500,2609500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_8146
3826_273788,287500,2747500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_10958
3826_182753,252500,2565500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_7351
3826_219243,242500,2638500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_8749
3826_224231,230500,2648500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_8947
3826_274280,279500,2748500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_10956
3826_290805,304500,2781500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_11661
3826_293808,307500,2787500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_11762
3826_273278,277500,2746500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_10956
3826_260320,319500,2720500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_10464
3826_287813,312500,2775500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11563
3826_284315,314500,2768500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11363
3826_265290,289500,2730500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10658
3826_197218,217500,2594500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_7844
3826_267778,277500,2735500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10756
3826_188716,215500,2577500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_7544
3826_226305,304500,2652500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_9061
3826_293303,302500,2786500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11761
3826_273304,303500,2746500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10961
3826_269811,310500,2739500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10763
3826_266771,270500,2733500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10655
3826_275307,306500,2750500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_11062
3826_273826,325500,2747500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10966
3826_274305,304500,2748500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10961
3826_150219,218500,2500500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_6044
3826_283816,315500,2767500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11364
3826_281309,308500,2762500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11262
3826_280809,308500,2761500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11262
3826_264779,278500,2729500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10556
3826_150218,217500,2500500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_6044
3826_272286,285500,2744500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10858
3826_200230,229500,2600500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_8046
3826_289337,336500,2778500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11568
3826_200230,229500,2600500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_8046
3826_268276,275500,2736500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10756
3826_139724,223500,2479500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_5545
3826_263798,297500,2727500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10560
3826_291801,300500,2783500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11661
3826_293303,302500,2786500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11761
3826_227258,257500,2654500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_9052
3826_266769,268500,2733500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10654
3826_259254,253500,2718500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10351
3826_199218,217500,2598500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_7944
3826_236243,242500,2672500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_9449
3826_282307,306500,2764500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11262
3826_229766,265500,2659500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_9154
3826_175222,221500,2550500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_7045
3826_243237,236500,2686500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_9748
3826_220810,309500,2641500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_8862
3826_273325,324500,2746500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_10965
3826_280805,304500,2761500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11261
3826_153718,217500,2507500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_6144
3826_262327,326500,2724500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_10466
3826_266787,286500,2733500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10658
3826_265289,288500,2730500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10658
3826_285818,317500,2771500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11464
3826_259800,299500,2719500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10360
3826_283807,306500,2767500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11362
3826_269811,310500,2739500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10763
3826_281820,319500,2763500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11264
3826_264279,278500,2728500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_10556
3826_281301,300500,2762500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11261
3826_128729,228500,2457500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_5146
3826_273796,295500,2747500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10960
3826_187200,199500,2574500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_7440
3826_271279,278500,2742500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_10856
3826_281810,309500,2763500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11262
3826_209230,229500,2618500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_8346
3826_281309,308500,2762500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11262
3826_287813,312500,2775500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_11563
3826_293308,307500,2786500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11762
3826_280304,303500,2760500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11261
3826_279306,305500,2758500,Crambidae,Nevrina procopia,成蟲,2013,344250,3826_11162
3826_293303,302500,2786500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11761
3826_272774,273500,2745500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_10955
3826_281844,343500,2763500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11269
3826_280316,315500,2760500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11264
3826_290310,309500,2780500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11662
3826_279306,305500,2758500,Crambidae,Nevrina procopia,成蟲,2014,344250,3826_11162
3826_279306,305500,2758500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_11162
3826_221239,238500,2642500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_8848
3826_213727,226500,2627500,Crambidae,Nevrina procopia,成蟲,2015,344250,3826_8546
3826_233270,269500,2666500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_9354
3826_273304,303500,2746500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_10961
3826_227764,263500,2655500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_9153
3826_199225,224500,2598500,Crambidae,Nevrina procopia,成蟲,2012,344250,3826_7945
