GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_286791,290500,2773500,Noctuidae,Niphonyx segregata,成蟲,2012,346549,3826_11459
3826_268753,252500,2737500,Noctuidae,Niphonyx segregata,成蟲,2010,346549,3826_10751
3826_290324,323500,2780500,Noctuidae,Niphonyx segregata,成蟲,2014,346549,3826_11665
3826_269762,261500,2739500,Noctuidae,Niphonyx segregata,成蟲,2014,346549,3826_10753
3826_281312,311500,2762500,Noctuidae,Niphonyx segregata,成蟲,2014,346549,3826_11263
3826_280304,303500,2760500,Noctuidae,Niphonyx segregata,成蟲,2015,346549,3826_11261
3826_285293,292500,2770500,Noctuidae,Niphonyx segregata,成蟲,2015,346549,3826_11459
3826_289798,297500,2779500,Noctuidae,Niphonyx segregata,成蟲,2014,346549,3826_11560
3826_281312,311500,2762500,Noctuidae,Niphonyx segregata,成蟲,2013,346549,3826_11263
3826_291801,300500,2783500,Noctuidae,Niphonyx segregata,成蟲,2013,346549,3826_11661
3826_195213,212500,2590500,Noctuidae,Niphonyx segregata,成蟲,2016,346549,3826_7843
3826_274806,305500,2749500,Noctuidae,Niphonyx segregata,成蟲,2016,346549,3826_10962
3826_282317,316500,2764500,Noctuidae,Niphonyx segregata,成蟲,2013,346549,3826_11264
3826_273788,287500,2747500,Noctuidae,Niphonyx segregata,成蟲,2013,346549,3826_10958
3826_269762,261500,2739500,Noctuidae,Niphonyx segregata,成蟲,2016,346549,3826_10753
3826_241726,225500,2683500,Noctuidae,Niphonyx segregata,成蟲,2016,346549,3826_9646
3826_227312,311500,2654500,Noctuidae,Niphonyx segregata,成蟲,2017,346549,3826_9063
3826_252226,225500,2704500,Noctuidae,Niphonyx segregata,成蟲,2017,346549,3826_10046
3826_187200,199500,2574500,Noctuidae,Niphonyx segregata,成蟲,2016,346549,3826_7440
3826_275780,279500,2751500,Noctuidae,Niphonyx segregata,成蟲,2017,346549,3826_11056
3826_238231,230500,2676500,Noctuidae,Niphonyx segregata,成蟲,2017,346549,3826_9547
3826_238229,228500,2676500,Noctuidae,Niphonyx segregata,成蟲,2016,346549,3826_9546
3826_272276,275500,2744500,Noctuidae,Niphonyx segregata,成蟲,2017,346549,3826_10856
3826_283284,283500,2766500,Noctuidae,Niphonyx segregata,成蟲,2017,346549,3826_11357
3826_262759,258500,2725500,Noctuidae,Niphonyx segregata,成蟲,2018,346549,3826_10552
3826_237801,300500,2675500,Noctuidae,Niphonyx segregata,成蟲,2015,346549,3826_9561
3826_285293,292500,2770500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_11459
3826_276756,255500,2753500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_11052
3826_269768,267500,2739500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_10754
3826_172670,169500,2545500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_6934
3826_255743,242500,2711500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_10249
3826_251728,227500,2703500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_10046
3826_275780,279500,2751500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_11056
3826_249226,225500,2698500,Noctuidae,Niphonyx segregata,成蟲,2019,346549,3826_9946
3826_238732,231500,2677500,Noctuidae,Niphonyx segregata,成蟲,2020,346549,3826_9547
3826_267255,254500,2734500,Noctuidae,Niphonyx segregata,成蟲,2020,346549,3826_10651
3826_290311,310500,2780500,Noctuidae,Niphonyx segregata,成蟲,2014,346549,3826_11663
3826_282307,306500,2764500,Noctuidae,Niphonyx segregata,成蟲,2021,346549,3826_11262
3826_289282,281500,2778500,Noctuidae,Niphonyx segregata,成蟲,2021,346549,3826_11557
3826_268762,261500,2737500,Noctuidae,Niphonyx segregata,成蟲,2021,346549,3826_10753
3826_282307,306500,2764500,Noctuidae,Niphonyx segregata,成蟲,2022,346549,3826_11262
3826_291305,304500,2782500,Noctuidae,Niphonyx segregata,成蟲,2022,346549,3826_11661
3826_267255,254500,2734500,Noctuidae,Niphonyx segregata,成蟲,2022,346549,3826_10651
3826_280805,304500,2761500,Noctuidae,Niphonyx segregata,成蟲,2022,346549,3826_11261
