GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_218230,229500,2636500,Nolidae,Nola lucidalis nephodes,成蟲,2012,429902,3826_8746
3826_273788,287500,2747500,Nolidae,Nola lucidalis nephodes,成蟲,2012,429902,3826_10958
3826_273788,287500,2747500,Nolidae,Nola lucidalis nephodes,成蟲,2013,429902,3826_10958
3826_273826,325500,2747500,Nolidae,Nola lucidalis nephodes,成蟲,2013,429902,3826_10966
3826_289823,322500,2779500,Nolidae,Nola lucidalis nephodes,成蟲,2014,429902,3826_11565
3826_221311,310500,2642500,Nolidae,Nola lucidalis nephodes,成蟲,2015,429902,3826_8863
3826_237248,247500,2674500,Nolidae,Nola lucidalis nephodes,成蟲,2015,429902,3826_9450
3826_215255,254500,2630500,Nolidae,Nola lucidalis nephodes,成蟲,2014,429902,3826_8651
3826_153718,217500,2507500,Nolidae,Nola lucidalis nephodes,成蟲,2014,429902,3826_6144
3826_173699,198500,2547500,Nolidae,Nola lucidalis nephodes,成蟲,2014,429902,3826_6940
3826_259301,300500,2718500,Nolidae,Nola lucidalis nephodes,成蟲,2014,429902,3826_10361
3826_287813,312500,2775500,Nolidae,Nola lucidalis nephodes,成蟲,2012,429902,3826_11563
3826_164183,182500,2528500,Nolidae,Nola lucidalis nephodes,成蟲,2016,429902,3826_6537
3826_218230,229500,2636500,Nolidae,Nola lucidalis nephodes,成蟲,2016,429902,3826_8746
3826_151747,246500,2503500,Nolidae,Nola lucidalis nephodes,成蟲,2016,429902,3826_6050
3826_152175,174500,2504500,Nolidae,Nola lucidalis nephodes,成蟲,2016,429902,3826_6035
3826_271279,278500,2742500,Nolidae,Nola lucidalis nephodes,成蟲,2013,429902,3826_10856
3826_237301,300500,2674500,Nolidae,Nola lucidalis nephodes,成蟲,2013,429902,3826_9461
3826_252226,225500,2704500,Nolidae,Nola lucidalis nephodes,成蟲,2017,429902,3826_10046
