GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_238794,293500,2677500,Drepanidae,Nordstromia semililacina,成蟲,2018,404679,3826_9559
3826_242745,244500,2685500,Drepanidae,Nordstromia semililacina,成蟲,2011,404679,3826_9749
3826_291302,301500,2782500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_11661
3826_241275,274500,2682500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_9655
3826_273788,287500,2747500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_10958
3826_237248,247500,2674500,Drepanidae,Nordstromia semililacina,幼蟲,2012,404679,3826_9450
3826_175725,224500,2551500,Drepanidae,Nordstromia semililacina,成蟲,2013,404679,3826_7045
3826_166722,221500,2533500,Drepanidae,Nordstromia semililacina,幼蟲,2012,404679,3826_6645
3826_166722,221500,2533500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_6645
3826_239740,239500,2679500,Drepanidae,Nordstromia semililacina,成蟲,2013,404679,3826_9548
3826_250743,242500,2701500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_10049
3826_255762,261500,2711500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_10253
3826_207230,229500,2614500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_8246
3826_247282,281500,2694500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_9857
3826_285312,311500,2770500,Drepanidae,Nordstromia semililacina,成蟲,2013,404679,3826_11463
3826_232268,267500,2664500,Drepanidae,Nordstromia semililacina,成蟲,2013,404679,3826_9254
3826_287813,312500,2775500,Drepanidae,Nordstromia semililacina,成蟲,2014,404679,3826_11563
3826_290309,308500,2780500,Drepanidae,Nordstromia semililacina,幼蟲,2013,404679,3826_11662
3826_288310,309500,2776500,Drepanidae,Nordstromia semililacina,幼蟲,2014,404679,3826_11562
3826_227258,257500,2654500,Drepanidae,Nordstromia semililacina,成蟲,2014,404679,3826_9052
3826_280787,286500,2761500,Drepanidae,Nordstromia semililacina,成蟲,2012,404679,3826_11258
3826_269811,310500,2739500,Drepanidae,Nordstromia semililacina,成蟲,2013,404679,3826_10763
3826_174221,220500,2548500,Drepanidae,Nordstromia semililacina,成蟲,2014,404679,3826_6945
