GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204739,238500,2609500,Notodontidae,Norracoides basinotata,成蟲,2012,347003,3826_8148
3826_291801,300500,2783500,Notodontidae,Norracoides basinotata,成蟲,2012,347003,3826_11661
3826_210713,212500,2621500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_8443
3826_267778,277500,2735500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_10756
3826_188716,215500,2577500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_7544
3826_272276,275500,2744500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_10856
3826_265292,291500,2730500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_10659
3826_215255,254500,2630500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_8651
3826_155252,251500,2510500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_6251
3826_220810,309500,2641500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_8862
3826_281301,300500,2762500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_11261
3826_215255,254500,2630500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_8651
3826_281810,309500,2763500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_11262
3826_174221,220500,2548500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_6945
3826_265289,288500,2730500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_10658
3826_225806,305500,2651500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_9062
3826_237248,247500,2674500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_9450
3826_221310,309500,2642500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_8862
3826_264283,282500,2728500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_10557
3826_268819,318500,2737500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_10764
3826_264279,278500,2728500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_10556
3826_239253,252500,2678500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_9551
3826_291300,299500,2782500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_11660
3826_287813,312500,2775500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_11563
3826_280304,303500,2760500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_11261
3826_243326,325500,2686500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_9766
3826_283807,306500,2767500,Notodontidae,Norracoides basinotata,幼蟲,2015,347003,3826_11362
3826_281309,308500,2762500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_11262
3826_273788,287500,2747500,Notodontidae,Norracoides basinotata,成蟲,2012,347003,3826_10958
3826_281309,308500,2762500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_11262
3826_178788,287500,2557500,Notodontidae,Norracoides basinotata,成蟲,2012,347003,3826_7158
3826_290805,304500,2781500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_11661
3826_269317,316500,2738500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_10764
3826_281815,314500,2763500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_11263
3826_253242,241500,2706500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_10149
3826_238225,224500,2676500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_9545
3826_290293,292500,2780500,Notodontidae,Norracoides basinotata,幼蟲,2016,347003,3826_11659
3826_281810,309500,2763500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_11262
3826_264279,278500,2728500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_10556
3826_289798,297500,2779500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_11560
3826_190699,198500,2581500,Notodontidae,Norracoides basinotata,幼蟲,2016,347003,3826_7640
3826_159220,219500,2518500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_6344
3826_212729,228500,2625500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_8546
3826_190782,281500,2581500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_7657
3826_271249,248500,2742500,Notodontidae,Norracoides basinotata,幼蟲,2016,347003,3826_10850
3826_292805,304500,2785500,Notodontidae,Norracoides basinotata,成蟲,2017,347003,3826_11761
3826_281810,309500,2763500,Notodontidae,Norracoides basinotata,成蟲,2017,347003,3826_11262
3826_287810,309500,2775500,Notodontidae,Norracoides basinotata,成蟲,2017,347003,3826_11562
3826_227760,259500,2655500,Notodontidae,Norracoides basinotata,成蟲,2017,347003,3826_9152
3826_239300,299500,2678500,Notodontidae,Norracoides basinotata,成蟲,2017,347003,3826_9560
3826_275780,279500,2751500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_11056
3826_290310,309500,2780500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_11662
3826_271249,248500,2742500,Notodontidae,Norracoides basinotata,幼蟲,2018,347003,3826_10850
3826_154218,217500,2508500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_6144
3826_288306,305500,2776500,Notodontidae,Norracoides basinotata,卵,2018,347003,3826_11562
3826_228263,262500,2656500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_9153
3826_284308,307500,2768500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_11362
3826_128729,228500,2457500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_5146
3826_232753,252500,2665500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_9351
3826_216751,250500,2633500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_8651
3826_130734,233500,2461500,Notodontidae,Norracoides basinotata,成蟲,2017,347003,3826_5247
3826_255743,242500,2711500,Notodontidae,Norracoides basinotata,成蟲,2018,347003,3826_10249
3826_265290,289500,2730500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_10658
3826_271249,248500,2742500,Notodontidae,Norracoides basinotata,幼蟲,2019,347003,3826_10850
3826_239300,299500,2678500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_9560
3826_236809,308500,2673500,Notodontidae,Norracoides basinotata,成蟲,2012,347003,3826_9462
3826_258255,254500,2716500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_10351
3826_256737,236500,2713500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_10248
3826_154218,217500,2508500,Notodontidae,Norracoides basinotata,成蟲,2013,347003,3826_6144
3826_257745,244500,2715500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_10349
3826_187199,198500,2574500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_7440
3826_272276,275500,2744500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_10856
3826_271249,248500,2742500,Notodontidae,Norracoides basinotata,成蟲,2019,347003,3826_10850
3826_238251,250500,2676500,Notodontidae,Norracoides basinotata,幼蟲,2019,347003,3826_9551
3826_165216,215500,2530500,Notodontidae,Norracoides basinotata,幼蟲,2019,347003,3826_6644
3826_204719,218500,2609500,Notodontidae,Norracoides basinotata,幼蟲,2019,347003,3826_8144
3826_170218,217500,2540500,Notodontidae,Norracoides basinotata,成蟲,2014,347003,3826_6844
3826_291298,297500,2782500,Notodontidae,Norracoides basinotata,幼蟲,2019,347003,3826_11660
3826_285293,292500,2770500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_11459
3826_271249,248500,2742500,Notodontidae,Norracoides basinotata,幼蟲,2020,347003,3826_10850
3826_252238,237500,2704500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_10048
3826_265782,281500,2731500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_10657
3826_223812,311500,2647500,Notodontidae,Norracoides basinotata,幼蟲,2020,347003,3826_8963
3826_269273,272500,2738500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_10755
3826_237223,222500,2674500,Notodontidae,Norracoides basinotata,幼蟲,2020,347003,3826_9445
3826_259800,299500,2719500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_10360
3826_263252,251500,2726500,Notodontidae,Norracoides basinotata,幼蟲,2020,347003,3826_10551
3826_216751,250500,2633500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_8651
3826_272276,275500,2744500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_10856
3826_273788,287500,2747500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_10958
3826_162692,191500,2525500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_6539
3826_158223,222500,2516500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_6345
3826_263324,323500,2726500,Notodontidae,Norracoides basinotata,成蟲,2020,347003,3826_10565
3826_272242,241500,2744500,Notodontidae,Norracoides basinotata,幼蟲,2020,347003,3826_10849
3826_269273,272500,2738500,Notodontidae,Norracoides basinotata,成蟲,2021,347003,3826_10755
3826_291297,296500,2782500,Notodontidae,Norracoides basinotata,幼蟲,2020,347003,3826_11660
3826_132738,237500,2465500,Notodontidae,Norracoides basinotata,成蟲,2016,347003,3826_5348
3826_147746,245500,2495500,Notodontidae,Norracoides basinotata,成蟲,2021,347003,3826_5950
3826_257745,244500,2715500,Notodontidae,Norracoides basinotata,成蟲,2021,347003,3826_10349
3826_159220,219500,2518500,Notodontidae,Norracoides basinotata,成蟲,2021,347003,3826_6344
3826_282806,305500,2765500,Notodontidae,Norracoides basinotata,成蟲,2022,347003,3826_11362
3826_147746,245500,2495500,Notodontidae,Norracoides basinotata,成蟲,2022,347003,3826_5950
3826_259249,248500,2718500,Notodontidae,Norracoides basinotata,成蟲,2022,347003,3826_10350
3826_257745,244500,2715500,Notodontidae,Norracoides basinotata,成蟲,2022,347003,3826_10349
3826_269273,272500,2738500,Notodontidae,Norracoides basinotata,成蟲,2022,347003,3826_10755
3826_162692,191500,2525500,Notodontidae,Norracoides basinotata,成蟲,2022,347003,3826_6539
3826_236809,308500,2673500,Notodontidae,Norracoides basinotata,成蟲,2015,347003,3826_9462
