GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_285818,317500,2771500,Geometridae,Nothomiza flavicosta,成蟲,2011,345091,3826_11464
3826_262327,326500,2724500,Geometridae,Nothomiza flavicosta,成蟲,2011,345091,3826_10466
3826_219243,242500,2638500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_8749
3826_287813,312500,2775500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_11563
3826_292305,304500,2784500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_11661
3826_272781,280500,2745500,Geometridae,Nothomiza flavicosta,幼蟲,2012,345091,3826_10957
3826_283284,283500,2766500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11357
3826_277807,306500,2755500,Geometridae,Nothomiza flavicosta,幼蟲,2012,345091,3826_11162
3826_273788,287500,2747500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_10958
3826_139724,223500,2479500,Geometridae,Nothomiza flavicosta,幼蟲,2011,345091,3826_5545
3826_255762,261500,2711500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_10253
3826_290805,304500,2781500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_11661
3826_271769,268500,2743500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_10854
3826_273788,287500,2747500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_10958
3826_150219,218500,2500500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_6044
3826_290315,314500,2780500,Geometridae,Nothomiza flavicosta,幼蟲,2011,345091,3826_11663
3826_273826,325500,2747500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_10966
3826_275267,266500,2750500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11054
3826_287787,286500,2775500,Geometridae,Nothomiza flavicosta,幼蟲,2014,345091,3826_11558
3826_292305,304500,2784500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11661
3826_282307,306500,2764500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11262
3826_290319,318500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11664
3826_225806,305500,2651500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_9062
3826_290323,322500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11665
3826_288310,309500,2776500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11562
3826_290292,291500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11659
3826_281309,308500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11262
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11262
3826_281301,300500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11261
3826_279806,305500,2759500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11162
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11262
3826_281820,319500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11264
3826_281820,319500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11264
3826_288836,335500,2777500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11568
3826_280809,308500,2761500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11262
3826_241751,250500,2683500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_9651
3826_285793,292500,2771500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11459
3826_251728,227500,2703500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_10046
3826_283807,306500,2767500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11362
3826_292307,306500,2784500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11662
3826_279801,300500,2759500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11161
3826_291802,301500,2783500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11661
3826_281820,319500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11264
3826_221310,309500,2642500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_8862
3826_281310,309500,2762500,Geometridae,Nothomiza flavicosta,幼蟲,2014,345091,3826_11262
3826_286306,305500,2772500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11462
3826_280340,339500,2760500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11268
3826_281301,300500,2762500,Geometridae,Nothomiza flavicosta,幼蟲,2014,345091,3826_11261
3826_289324,323500,2778500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11565
3826_232753,252500,2665500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_9351
3826_280805,304500,2761500,Geometridae,Nothomiza flavicosta,幼蟲,2014,345091,3826_11261
3826_280787,286500,2761500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11258
3826_287813,312500,2775500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11563
3826_285781,280500,2771500,Geometridae,Nothomiza flavicosta,幼蟲,2015,345091,3826_11457
3826_280304,303500,2760500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11261
3826_211306,305500,2622500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_8462
3826_286780,279500,2773500,Geometridae,Nothomiza flavicosta,幼蟲,2015,345091,3826_11456
3826_283807,306500,2767500,Geometridae,Nothomiza flavicosta,幼蟲,2015,345091,3826_11362
3826_285313,312500,2770500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11463
3826_261827,326500,2723500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_10466
3826_282792,291500,2765500,Geometridae,Nothomiza flavicosta,成蟲,2012,345091,3826_11359
3826_290310,309500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11662
3826_281309,308500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11262
3826_280805,304500,2761500,Geometridae,Nothomiza flavicosta,幼蟲,2015,345091,3826_11261
3826_293308,307500,2786500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11762
3826_281301,300500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11261
3826_287810,309500,2775500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11562
3826_285313,312500,2770500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11463
3826_290315,314500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11663
3826_266764,263500,2733500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_10653
3826_279803,302500,2759500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11161
3826_284809,308500,2769500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11362
3826_279301,300500,2758500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11161
3826_284812,311500,2769500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11363
3826_139724,223500,2479500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_5545
3826_281301,300500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11261
3826_279804,303500,2759500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11161
3826_290310,309500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11662
3826_273279,278500,2746500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_10956
3826_284815,314500,2769500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_11363
3826_281309,308500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11262
3826_280805,304500,2761500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_11261
3826_289309,308500,2778500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11562
3826_288310,309500,2776500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11562
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11262
3826_290805,304500,2781500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11661
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_11262
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2015,345091,3826_11262
3826_282806,305500,2765500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11362
3826_269811,310500,2739500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_10763
3826_286780,279500,2773500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11456
3826_225806,305500,2651500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_9062
3826_285310,309500,2770500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11462
3826_284810,309500,2769500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11362
3826_229248,247500,2658500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_9150
3826_228748,247500,2657500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_9150
3826_283807,306500,2767500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11362
3826_287787,286500,2775500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_11558
3826_190782,281500,2581500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_7657
3826_272774,273500,2745500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_10955
3826_289308,307500,2778500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11562
3826_273260,259500,2746500,Geometridae,Nothomiza flavicosta,幼蟲,2016,345091,3826_10952
3826_275786,285500,2751500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11058
3826_289794,293500,2779500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11559
3826_213711,210500,2627500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_8543
3826_292803,302500,2785500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11761
3826_293303,302500,2786500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11761
3826_287843,342500,2775500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11569
3826_281807,306500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2013,345091,3826_11262
3826_293304,303500,2786500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11761
3826_273786,285500,2747500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_10958
3826_298805,304500,2797500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11961
3826_267279,278500,2734500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_10656
3826_264321,320500,2728500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_10565
3826_284810,309500,2769500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11362
3826_279801,300500,2759500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11161
3826_224749,248500,2649500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_8950
3826_282784,283500,2765500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11357
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11262
3826_284809,308500,2769500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11362
3826_285818,317500,2771500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11464
3826_281309,308500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11262
3826_280306,305500,2760500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11262
3826_279305,304500,2758500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_11161
3826_286321,320500,2772500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11465
3826_284311,310500,2768500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11363
3826_285313,312500,2770500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11463
3826_237303,302500,2674500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_9461
3826_282307,306500,2764500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11262
3826_288810,309500,2777500,Geometridae,Nothomiza flavicosta,幼蟲,2017,345091,3826_11562
3826_281312,311500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11263
3826_282809,308500,2765500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11362
3826_286306,305500,2772500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11462
3826_279286,285500,2758500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11158
3826_294299,298500,2788500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11760
3826_288315,314500,2776500,Geometridae,Nothomiza flavicosta,成蟲,2014,345091,3826_11563
3826_259282,281500,2718500,Geometridae,Nothomiza flavicosta,成蟲,2016,345091,3826_10357
3826_273796,295500,2747500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_10960
3826_287810,309500,2775500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11562
3826_293807,306500,2787500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11762
3826_291297,296500,2782500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11660
3826_237230,229500,2674500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_9446
3826_232753,252500,2665500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_9351
3826_269261,260500,2738500,Geometridae,Nothomiza flavicosta,幼蟲,2017,345091,3826_10753
3826_287787,286500,2775500,Geometridae,Nothomiza flavicosta,幼蟲,2017,345091,3826_11558
3826_282806,305500,2765500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11362
3826_283808,307500,2767500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11362
3826_291321,320500,2782500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11665
3826_236809,308500,2673500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_9462
3826_286336,335500,2772500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_11468
3826_281309,308500,2762500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11262
3826_224749,248500,2649500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_8950
3826_273260,259500,2746500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_10952
3826_273786,285500,2747500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_10958
3826_270273,272500,2740500,Geometridae,Nothomiza flavicosta,成蟲,2017,345091,3826_10855
3826_262249,248500,2724500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_10450
3826_285313,312500,2770500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11463
3826_282784,283500,2765500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11357
3826_291822,321500,2783500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11665
3826_287294,293500,2774500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11459
3826_282809,308500,2765500,Geometridae,Nothomiza flavicosta,幼蟲,2018,345091,3826_11362
3826_280320,319500,2760500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11264
3826_290805,304500,2781500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11661
3826_290310,309500,2780500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11662
3826_281810,309500,2763500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11262
3826_263260,259500,2726500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_10552
3826_285830,329500,2771500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11466
3826_285781,280500,2771500,Geometridae,Nothomiza flavicosta,幼蟲,2018,345091,3826_11457
3826_271249,248500,2742500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_10850
3826_284830,329500,2769500,Geometridae,Nothomiza flavicosta,成蟲,2018,345091,3826_11366
3826_280806,305500,2761500,Geometridae,Nothomiza flavicosta,幼蟲,2018,345091,3826_11262
3826_237230,229500,2674500,Geometridae,Nothomiza flavicosta,幼蟲,2018,345091,3826_9446
