GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Notodontidae,Notodonta griseotincta,成蟲,2011,347004,3826_10560
3826_200229,228500,2600500,Notodontidae,Notodonta griseotincta,成蟲,2012,347004,3826_8046
3826_241275,274500,2682500,Notodontidae,Notodonta griseotincta,成蟲,2012,347004,3826_9655
3826_263798,297500,2727500,Notodontidae,Notodonta griseotincta,成蟲,2013,347004,3826_10560
3826_247282,281500,2694500,Notodontidae,Notodonta griseotincta,成蟲,2013,347004,3826_9857
3826_238794,293500,2677500,Notodontidae,Notodonta griseotincta,成蟲,2013,347004,3826_9559
3826_249782,281500,2699500,Notodontidae,Notodonta griseotincta,成蟲,2013,347004,3826_9957
3826_264279,278500,2728500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_10556
3826_263798,297500,2727500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_10560
3826_200230,229500,2600500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_8046
3826_255762,261500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_10253
3826_203243,242500,2606500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_8149
3826_185749,248500,2571500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_7450
3826_188240,239500,2576500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_7548
3826_255305,304500,2710500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_10261
3826_264283,282500,2728500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_10557
3826_264279,278500,2728500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_10556
3826_198240,239500,2596500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_7948
3826_253242,241500,2706500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_10149
3826_237791,290500,2675500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_9559
3826_255762,261500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2012,347004,3826_10253
3826_259791,290500,2719500,Notodontidae,Notodonta griseotincta,成蟲,2010,347004,3826_10359
3826_255762,261500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_10253
3826_227758,257500,2655500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_9152
3826_237288,287500,2674500,Notodontidae,Notodonta griseotincta,成蟲,2015,347004,3826_9458
3826_199222,221500,2598500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_7945
3826_263798,297500,2727500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_10560
3826_207230,229500,2614500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_8246
3826_255762,261500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2013,347004,3826_10253
3826_224769,268500,2649500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_8954
3826_255812,311500,2711500,Notodontidae,Notodonta griseotincta,幼蟲,2016,347004,3826_10263
3826_232268,267500,2664500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_9254
3826_254805,304500,2709500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_10161
3826_238290,289500,2676500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_9558
3826_197241,240500,2594500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_7849
3826_199225,224500,2598500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_7945
3826_185749,248500,2571500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_7450
3826_264772,271500,2729500,Notodontidae,Notodonta griseotincta,成蟲,2016,347004,3826_10555
3826_207230,229500,2614500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_8246
3826_198236,235500,2596500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_7948
3826_237785,284500,2675500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_9557
3826_238290,289500,2676500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_9558
3826_199233,232500,2598500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_7947
3826_232753,252500,2665500,Notodontidae,Notodonta griseotincta,成蟲,2014,347004,3826_9351
3826_203243,242500,2606500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_8149
3826_237303,302500,2674500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_9461
3826_263798,297500,2727500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_10560
3826_247282,281500,2694500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_9857
3826_232753,252500,2665500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_9351
3826_254805,304500,2709500,Notodontidae,Notodonta griseotincta,成蟲,2010,347004,3826_10161
3826_242745,244500,2685500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_9749
3826_207230,229500,2614500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_8246
3826_254805,304500,2709500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_10161
3826_255762,261500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_10253
3826_175726,225500,2551500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_7046
3826_255262,261500,2710500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_10253
3826_232268,267500,2664500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_9254
3826_233270,269500,2666500,Notodontidae,Notodonta griseotincta,成蟲,2011,347004,3826_9354
3826_200230,229500,2600500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_8046
3826_185749,248500,2571500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_7450
3826_237785,284500,2675500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_9557
3826_238794,293500,2677500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_9559
3826_238293,292500,2676500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_9559
3826_247282,281500,2694500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_9857
3826_238800,299500,2677500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_9560
3826_207729,228500,2615500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_8346
3826_200232,231500,2600500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_8047
3826_255262,261500,2710500,Notodontidae,Notodonta griseotincta,成蟲,2017,347004,3826_10253
3826_207229,228500,2614500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_8246
3826_269273,272500,2738500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_10755
3826_227759,258500,2655500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9152
3826_264778,277500,2729500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_10556
3826_249782,281500,2699500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9957
3826_238751,250500,2677500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9551
3826_255743,242500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2018,347004,3826_10249
3826_238794,293500,2677500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9559
3826_238293,292500,2676500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9559
3826_255762,261500,2711500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_10253
3826_254805,304500,2709500,Notodontidae,Notodonta griseotincta,成蟲,2012,347004,3826_10161
3826_255262,261500,2710500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_10253
3826_242251,250500,2684500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9651
3826_247282,281500,2694500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_9857
3826_200230,229500,2600500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_8046
3826_200229,228500,2600500,Notodontidae,Notodonta griseotincta,成蟲,2019,347004,3826_8046
3826_199236,235500,2598500,Notodontidae,Notodonta griseotincta,幼蟲,2019,347004,3826_7948
