GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_280304,303500,2760500,Sphingidae,Notonagemia analis gressitti,成蟲,2011,432662,3826_11261
3826_275307,306500,2750500,Sphingidae,Notonagemia analis gressitti,成蟲,2011,432662,3826_11062
3826_263294,293500,2726500,Sphingidae,Notonagemia analis gressitti,成蟲,2011,432662,3826_10559
3826_274810,309500,2749500,Sphingidae,Notonagemia analis gressitti,成蟲,2012,432662,3826_10962
3826_270802,301500,2741500,Sphingidae,Notonagemia analis gressitti,成蟲,2012,432662,3826_10861
3826_265289,288500,2730500,Sphingidae,Notonagemia analis gressitti,成蟲,2012,432662,3826_10658
3826_273788,287500,2747500,Sphingidae,Notonagemia analis gressitti,成蟲,2012,432662,3826_10958
3826_277807,306500,2755500,Sphingidae,Notonagemia analis gressitti,幼蟲,2012,432662,3826_11162
3826_264779,278500,2729500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_10556
3826_238290,289500,2676500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_9558
3826_257247,246500,2714500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_10250
3826_267778,277500,2735500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_10756
3826_222739,238500,2645500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_8948
3826_279817,316500,2759500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_11164
3826_269811,310500,2739500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_10763
3826_243237,236500,2686500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_9748
3826_269278,277500,2738500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10756
3826_270777,276500,2741500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10856
3826_243237,236500,2686500,Sphingidae,Notonagemia analis gressitti,幼蟲,2014,432662,3826_9748
3826_243237,236500,2686500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_9748
3826_273786,285500,2747500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10958
3826_228766,265500,2657500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_9154
3826_281301,300500,2762500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_11261
3826_218733,232500,2637500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_8747
3826_281301,300500,2762500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_11261
3826_218230,229500,2636500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_8746
3826_157226,225500,2514500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_6246
3826_264283,282500,2728500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_10557
3826_261779,278500,2723500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10456
3826_268776,275500,2737500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10756
3826_280316,315500,2760500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_11264
3826_281810,309500,2763500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_11262
3826_195215,214500,2590500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_7843
3826_264779,278500,2729500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_10556
3826_247282,281500,2694500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_9857
3826_207230,229500,2614500,Sphingidae,Notonagemia analis gressitti,成蟲,2012,432662,3826_8246
3826_276804,303500,2753500,Sphingidae,Notonagemia analis gressitti,成蟲,2015,432662,3826_11061
3826_255762,261500,2711500,Sphingidae,Notonagemia analis gressitti,成蟲,2012,432662,3826_10253
3826_266771,270500,2733500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10655
3826_269278,277500,2738500,Sphingidae,Notonagemia analis gressitti,成蟲,2013,432662,3826_10756
3826_221211,210500,2642500,Sphingidae,Notonagemia analis gressitti,幼蟲,2016,432662,3826_8843
3826_264279,278500,2728500,Sphingidae,Notonagemia analis gressitti,成蟲,2016,432662,3826_10556
3826_267778,277500,2735500,Sphingidae,Notonagemia analis gressitti,成蟲,2014,432662,3826_10756
