GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_236216,215500,2672500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_9444
3826_254805,304500,2709500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_10161
3826_241275,274500,2682500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_9655
3826_175725,224500,2551500,Erebidae,Nyctemera albofasciata,成蟲,2013,444918,3826_7045
3826_265289,288500,2730500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_10658
3826_140224,223500,2480500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_5645
3826_203243,242500,2606500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_8149
3826_239740,239500,2679500,Erebidae,Nyctemera albofasciata,成蟲,2013,444918,3826_9548
3826_175223,222500,2550500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_7045
3826_200231,230500,2600500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_8047
3826_229772,271500,2659500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_9155
3826_204739,238500,2609500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_8148
3826_175725,224500,2551500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_7045
3826_241751,250500,2683500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_9651
3826_229766,265500,2659500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_9154
3826_175223,222500,2550500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_7045
3826_157226,225500,2514500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_6246
3826_264279,278500,2728500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_10556
3826_273792,291500,2747500,Erebidae,Nyctemera albofasciata,幼蟲,2014,444918,3826_10959
3826_175725,224500,2551500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_7045
3826_234267,266500,2668500,Erebidae,Nyctemera albofasciata,成蟲,2010,444918,3826_9354
3826_211732,231500,2623500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_8447
3826_177231,230500,2554500,Erebidae,Nyctemera albofasciata,成蟲,2013,444918,3826_7047
3826_273792,291500,2747500,Erebidae,Nyctemera albofasciata,成蟲,2013,444918,3826_10959
3826_175724,223500,2551500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_7045
3826_240249,248500,2680500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_9650
3826_273788,287500,2747500,Erebidae,Nyctemera albofasciata,成蟲,2013,444918,3826_10958
3826_231268,267500,2662500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_9254
3826_198733,232500,2597500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_7947
3826_209730,229500,2619500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_8346
3826_237801,300500,2675500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_9561
3826_238290,289500,2676500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_9558
3826_199233,232500,2598500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_7947
3826_265782,281500,2731500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_10657
3826_260280,279500,2720500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_10456
3826_187742,241500,2575500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_7549
3826_198236,235500,2596500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_7948
3826_199731,230500,2599500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_7947
3826_231268,267500,2662500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9254
3826_240249,248500,2680500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9650
3826_229266,265500,2658500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9154
3826_266293,292500,2732500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_10659
3826_234736,235500,2669500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9348
3826_241777,276500,2683500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9656
3826_198240,239500,2596500,Erebidae,Nyctemera albofasciata,幼蟲,2017,444918,3826_7948
3826_209230,229500,2618500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_8346
3826_273792,291500,2747500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_10959
3826_263798,297500,2727500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_10560
3826_218733,232500,2637500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_8747
3826_225263,262500,2650500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9053
3826_242745,244500,2685500,Erebidae,Nyctemera albofasciata,成蟲,2017,444918,3826_9749
3826_175724,223500,2551500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_7045
3826_207230,229500,2614500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_8246
3826_254738,237500,2709500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_10148
3826_229767,266500,2659500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_9154
3826_238800,299500,2677500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_9560
3826_255812,311500,2711500,Erebidae,Nyctemera albofasciata,成蟲,2010,444918,3826_10263
3826_175726,225500,2551500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_7046
3826_247282,281500,2694500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_9857
3826_241751,250500,2683500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_9651
3826_139724,223500,2479500,Erebidae,Nyctemera albofasciata,成蟲,2012,444918,3826_5545
3826_257745,244500,2715500,Erebidae,Nyctemera albofasciata,成蟲,2019,444918,3826_10349
3826_175222,221500,2550500,Erebidae,Nyctemera albofasciata,成蟲,2018,444918,3826_7045
3826_259784,283500,2719500,Erebidae,Nyctemera albofasciata,成蟲,2010,444918,3826_10357
3826_247282,281500,2694500,Erebidae,Nyctemera albofasciata,成蟲,2019,444918,3826_9857
3826_139724,223500,2479500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_5545
3826_254738,237500,2709500,Erebidae,Nyctemera albofasciata,成蟲,2019,444918,3826_10148
3826_229766,265500,2659500,Erebidae,Nyctemera albofasciata,成蟲,2019,444918,3826_9154
3826_209230,229500,2618500,Erebidae,Nyctemera albofasciata,成蟲,2019,444918,3826_8346
3826_260276,275500,2720500,Erebidae,Nyctemera albofasciata,成蟲,2019,444918,3826_10456
3826_256312,311500,2712500,Erebidae,Nyctemera albofasciata,成蟲,2010,444918,3826_10263
3826_241751,250500,2683500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_9651
3826_259800,299500,2719500,Erebidae,Nyctemera albofasciata,成蟲,2014,444918,3826_10360
3826_259800,299500,2719500,Erebidae,Nyctemera albofasciata,成蟲,2015,444918,3826_10360
3826_198739,238500,2597500,Erebidae,Nyctemera albofasciata,成蟲,2020,444918,3826_7948
3826_273788,287500,2747500,Erebidae,Nyctemera albofasciata,成蟲,2020,444918,3826_10958
3826_159220,219500,2518500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_6344
3826_139724,223500,2479500,Erebidae,Nyctemera albofasciata,成蟲,2016,444918,3826_5545
3826_241751,250500,2683500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_9651
3826_238290,289500,2676500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_9558
3826_237785,284500,2675500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_9557
3826_233271,270500,2666500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_9355
3826_200230,229500,2600500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_8046
3826_259760,259500,2719500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_10352
3826_256762,261500,2713500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_10253
3826_268778,277500,2737500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_10756
3826_232268,267500,2664500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_9254
3826_147746,245500,2495500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_5950
3826_262761,260500,2725500,Erebidae,Nyctemera albofasciata,成蟲,2021,444918,3826_10553
3826_153718,217500,2507500,Erebidae,Nyctemera albofasciata,成蟲,2022,444918,3826_6144
3826_266271,270500,2732500,Erebidae,Nyctemera albofasciata,成蟲,2022,444918,3826_10655
3826_265782,281500,2731500,Erebidae,Nyctemera albofasciata,成蟲,2022,444918,3826_10657
3826_263798,297500,2727500,Erebidae,Nyctemera albofasciata,成蟲,2022,444918,3826_10560
3826_264279,278500,2728500,Erebidae,Nyctemera albofasciata,成蟲,2022,444918,3826_10556
3826_185749,248500,2571500,Erebidae,Nyctemera albofasciata,成蟲,2022,444918,3826_7450
3826_232268,267500,2664500,Erebidae,Nyctemera albofasciata,幼蟲,2022,444918,3826_9254
