GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_284346,345500,2768500,Erebidae,Nyctemera lacticinia,幼蟲,2016,343921,3826_11370
3826_287811,310500,2775500,Erebidae,Nyctemera lacticinia,成蟲,2017,343921,3826_11563
3826_159220,219500,2518500,Erebidae,Nyctemera lacticinia,成蟲,2012,343921,3826_6344
3826_152714,213500,2505500,Erebidae,Nyctemera lacticinia,成蟲,2012,343921,3826_6143
3826_281310,309500,2762500,Erebidae,Nyctemera lacticinia,成蟲,2012,343921,3826_11262
3826_291801,300500,2783500,Erebidae,Nyctemera lacticinia,幼蟲,2012,343921,3826_11661
3826_297809,308500,2795500,Erebidae,Nyctemera lacticinia,幼蟲,2012,343921,3826_11962
3826_154714,213500,2509500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_6143
3826_154714,213500,2509500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_6143
3826_152210,209500,2504500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_6042
3826_280316,315500,2760500,Erebidae,Nyctemera lacticinia,成蟲,2012,343921,3826_11264
3826_290329,328500,2780500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11666
3826_284310,309500,2768500,Erebidae,Nyctemera lacticinia,成蟲,2012,343921,3826_11362
3826_291801,300500,2783500,Erebidae,Nyctemera lacticinia,成蟲,2012,343921,3826_11661
3826_290329,328500,2780500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_11666
3826_280809,308500,2761500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_11262
3826_152714,213500,2505500,Erebidae,Nyctemera lacticinia,幼蟲,2014,343921,3826_6143
3826_280304,303500,2760500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_11261
3826_291329,328500,2782500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11666
3826_288808,307500,2777500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_11562
3826_273275,274500,2746500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_10955
3826_287807,306500,2775500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_11562
3826_285812,311500,2771500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11463
3826_288306,305500,2776500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11562
3826_286780,279500,2773500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11456
3826_241725,224500,2683500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_9645
3826_288825,324500,2777500,Erebidae,Nyctemera lacticinia,幼蟲,2013,343921,3826_11565
3826_284317,316500,2768500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11364
3826_288308,307500,2776500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11562
3826_281309,308500,2762500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11262
3826_291300,299500,2782500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11660
3826_286307,306500,2772500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11462
3826_284348,347500,2768500,Erebidae,Nyctemera lacticinia,幼蟲,2014,343921,3826_11370
3826_281309,308500,2762500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_11262
3826_287811,310500,2775500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_11563
3826_287811,310500,2775500,Erebidae,Nyctemera lacticinia,幼蟲,2014,343921,3826_11563
3826_283808,307500,2767500,Erebidae,Nyctemera lacticinia,幼蟲,2014,343921,3826_11362
3826_289305,304500,2778500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_11561
3826_153184,183500,2506500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_6137
3826_290829,328500,2781500,Erebidae,Nyctemera lacticinia,幼蟲,2015,343921,3826_11666
3826_280809,308500,2761500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_11262
3826_288811,310500,2777500,Erebidae,Nyctemera lacticinia,幼蟲,2014,343921,3826_11563
3826_281810,309500,2763500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_11262
3826_280809,308500,2761500,Erebidae,Nyctemera lacticinia,幼蟲,2014,343921,3826_11262
3826_287818,317500,2775500,Erebidae,Nyctemera lacticinia,成蟲,2014,343921,3826_11564
3826_271319,318500,2742500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_10864
3826_285293,292500,2770500,Erebidae,Nyctemera lacticinia,成蟲,2015,343921,3826_11459
3826_290811,310500,2781500,Erebidae,Nyctemera lacticinia,成蟲,2013,343921,3826_11663
