GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232268,267500,2664500,Geometridae,Odontopera albiguttulata,成蟲,2011,345101,3826_9254
3826_254805,304500,2709500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_10161
3826_200229,228500,2600500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_8046
3826_241275,274500,2682500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_9655
3826_237785,284500,2675500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_9557
3826_255762,261500,2711500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_10253
3826_238794,293500,2677500,Geometridae,Odontopera albiguttulata,成蟲,2013,345101,3826_9559
3826_247282,281500,2694500,Geometridae,Odontopera albiguttulata,成蟲,2013,345101,3826_9857
3826_234275,274500,2668500,Geometridae,Odontopera albiguttulata,成蟲,2013,345101,3826_9355
3826_249782,281500,2699500,Geometridae,Odontopera albiguttulata,成蟲,2013,345101,3826_9957
3826_241275,274500,2682500,Geometridae,Odontopera albiguttulata,成蟲,2013,345101,3826_9655
3826_200731,230500,2601500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_8047
3826_239780,279500,2679500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_9556
3826_255762,261500,2711500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_10253
3826_264279,278500,2728500,Geometridae,Odontopera albiguttulata,成蟲,2013,345101,3826_10556
3826_200230,229500,2600500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_8046
3826_185749,248500,2571500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_7450
3826_203243,242500,2606500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_8149
3826_255812,311500,2711500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_10263
3826_236280,279500,2672500,Geometridae,Odontopera albiguttulata,成蟲,2015,345101,3826_9456
3826_200230,229500,2600500,Geometridae,Odontopera albiguttulata,成蟲,2015,345101,3826_8046
3826_199720,219500,2599500,Geometridae,Odontopera albiguttulata,成蟲,2015,345101,3826_7944
3826_255262,261500,2710500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_10253
3826_263798,297500,2727500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_10560
3826_281810,309500,2763500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_11262
3826_198240,239500,2596500,Geometridae,Odontopera albiguttulata,成蟲,2014,345101,3826_7948
3826_263798,297500,2727500,Geometridae,Odontopera albiguttulata,成蟲,2015,345101,3826_10560
3826_198733,232500,2597500,Geometridae,Odontopera albiguttulata,成蟲,2015,345101,3826_7947
3826_249286,285500,2698500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_9958
3826_248780,279500,2697500,Geometridae,Odontopera albiguttulata,成蟲,2012,345101,3826_9956
3826_241248,247500,2682500,Geometridae,Odontopera albiguttulata,成蟲,2011,345101,3826_9650
3826_254805,304500,2709500,Geometridae,Odontopera albiguttulata,成蟲,2015,345101,3826_10161
3826_255762,261500,2711500,Geometridae,Odontopera albiguttulata,成蟲,2016,345101,3826_10253
