GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_275307,306500,2750500,Erebidae,Olene dudgeoni,幼蟲,2011,345892,3826_11062
3826_219231,230500,2638500,Erebidae,Olene dudgeoni,幼蟲,2018,345892,3826_8747
3826_263294,293500,2726500,Erebidae,Olene dudgeoni,成蟲,2011,345892,3826_10559
3826_238752,251500,2677500,Erebidae,Olene dudgeoni,成蟲,2011,345892,3826_9551
3826_263798,297500,2727500,Erebidae,Olene dudgeoni,成蟲,2011,345892,3826_10560
3826_288325,324500,2776500,Erebidae,Olene dudgeoni,幼蟲,2011,345892,3826_11565
3826_290804,303500,2781500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_11661
3826_220241,240500,2640500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_8849
3826_280304,303500,2760500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_11261
3826_296304,303500,2792500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_11861
3826_279306,305500,2758500,Erebidae,Olene dudgeoni,成蟲,2012,345892,3826_11162
3826_291808,307500,2783500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_11662
3826_291302,301500,2782500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_11661
3826_223304,303500,2646500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_8961
3826_284309,308500,2768500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_11362
3826_274762,261500,2749500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_10953
3826_253236,235500,2706500,Erebidae,Olene dudgeoni,成蟲,2012,345892,3826_10148
3826_204726,225500,2609500,Erebidae,Olene dudgeoni,成蟲,2012,345892,3826_8146
3826_225251,250500,2650500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_9051
3826_273788,287500,2747500,Erebidae,Olene dudgeoni,成蟲,2012,345892,3826_10958
3826_228759,258500,2657500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_9152
3826_187200,199500,2574500,Erebidae,Olene dudgeoni,幼蟲,2010,345892,3826_7440
3826_237248,247500,2674500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_9450
3826_274280,279500,2748500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_10956
3826_238251,250500,2676500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_9551
3826_257742,241500,2715500,Erebidae,Olene dudgeoni,幼蟲,2012,345892,3826_10349
3826_291302,301500,2782500,Erebidae,Olene dudgeoni,成蟲,2013,345892,3826_11661
3826_289798,297500,2779500,Erebidae,Olene dudgeoni,幼蟲,2013,345892,3826_11560
3826_292305,304500,2784500,Erebidae,Olene dudgeoni,幼蟲,2013,345892,3826_11661
3826_272275,274500,2744500,Erebidae,Olene dudgeoni,成蟲,2013,345892,3826_10855
3826_197218,217500,2594500,Erebidae,Olene dudgeoni,成蟲,2013,345892,3826_7844
3826_188716,215500,2577500,Erebidae,Olene dudgeoni,成蟲,2013,345892,3826_7544
3826_279306,305500,2758500,Erebidae,Olene dudgeoni,成蟲,2013,345892,3826_11162
3826_293303,302500,2786500,Erebidae,Olene dudgeoni,幼蟲,2013,345892,3826_11761
3826_273304,303500,2746500,Erebidae,Olene dudgeoni,成蟲,2013,345892,3826_10961
3826_291300,299500,2782500,Erebidae,Olene dudgeoni,幼蟲,2013,345892,3826_11660
3826_291801,300500,2783500,Erebidae,Olene dudgeoni,幼蟲,2013,345892,3826_11661
