GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_218230,229500,2636500,Erebidae,Olene mendosa,幼蟲,2011,345894,3826_8746
3826_291297,296500,2782500,Erebidae,Olene mendosa,成蟲,2011,345894,3826_11660
3826_282809,308500,2765500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_11362
3826_291297,296500,2782500,Erebidae,Olene mendosa,成蟲,2012,345894,3826_11660
3826_173684,183500,2547500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_6937
3826_226813,312500,2653500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_9063
3826_144190,189500,2488500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_5738
3826_258232,231500,2716500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_10347
3826_280304,303500,2760500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_11261
3826_277270,269500,2754500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_11054
3826_178773,272500,2557500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_7155
3826_198220,219500,2596500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_7944
3826_236246,245500,2672500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_9450
3826_152181,180500,2504500,Erebidae,Olene mendosa,幼蟲,2010,345894,3826_6037
3826_227252,251500,2654500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_9051
3826_172215,214500,2544500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_6843
3826_283807,306500,2767500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_11362
3826_274280,279500,2748500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_10956
3826_235711,210500,2671500,Erebidae,Olene mendosa,成蟲,2012,345894,3826_9443
3826_282305,304500,2764500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_11261
3826_289807,306500,2779500,Erebidae,Olene mendosa,幼蟲,2012,345894,3826_11562
