GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232268,267500,2664500,Erebidae,Olene suisharyonis,幼蟲,2011,430140,3826_9254
3826_207230,229500,2614500,Erebidae,Olene suisharyonis,成蟲,2011,430140,3826_8246
3826_229285,284500,2658500,Erebidae,Olene suisharyonis,幼蟲,2011,430140,3826_9157
3826_265289,288500,2730500,Erebidae,Olene suisharyonis,幼蟲,2013,430140,3826_10658
3826_175725,224500,2551500,Erebidae,Olene suisharyonis,成蟲,2013,430140,3826_7045
3826_229767,266500,2659500,Erebidae,Olene suisharyonis,成蟲,2013,430140,3826_9154
3826_264779,278500,2729500,Erebidae,Olene suisharyonis,成蟲,2013,430140,3826_10556
3826_207230,229500,2614500,Erebidae,Olene suisharyonis,幼蟲,2013,430140,3826_8246
3826_207229,228500,2614500,Erebidae,Olene suisharyonis,成蟲,2013,430140,3826_8246
3826_199222,221500,2598500,Erebidae,Olene suisharyonis,成蟲,2014,430140,3826_7945
3826_249744,243500,2699500,Erebidae,Olene suisharyonis,幼蟲,2014,430140,3826_9949
3826_207230,229500,2614500,Erebidae,Olene suisharyonis,成蟲,2014,430140,3826_8246
3826_185749,248500,2571500,Erebidae,Olene suisharyonis,幼蟲,2014,430140,3826_7450
3826_240746,245500,2681500,Erebidae,Olene suisharyonis,幼蟲,2014,430140,3826_9650
3826_264279,278500,2728500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_10556
3826_195215,214500,2590500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_7843
3826_264279,278500,2728500,Erebidae,Olene suisharyonis,成蟲,2014,430140,3826_10556
3826_241751,250500,2683500,Erebidae,Olene suisharyonis,幼蟲,2014,430140,3826_9651
3826_198240,239500,2596500,Erebidae,Olene suisharyonis,成蟲,2014,430140,3826_7948
3826_255762,261500,2711500,Erebidae,Olene suisharyonis,成蟲,2013,430140,3826_10253
3826_198240,239500,2596500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_7948
3826_263798,297500,2727500,Erebidae,Olene suisharyonis,成蟲,2014,430140,3826_10560
3826_264779,278500,2729500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_10556
3826_231268,267500,2662500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_9254
3826_236247,246500,2672500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_9450
3826_263798,297500,2727500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_10560
3826_204254,253500,2608500,Erebidae,Olene suisharyonis,成蟲,2015,430140,3826_8151
3826_170763,262500,2541500,Erebidae,Olene suisharyonis,幼蟲,2016,430140,3826_6853
3826_140224,223500,2480500,Erebidae,Olene suisharyonis,幼蟲,2013,430140,3826_5645
3826_175724,223500,2551500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_7045
3826_139724,223500,2479500,Erebidae,Olene suisharyonis,幼蟲,2015,430140,3826_5545
3826_207230,229500,2614500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_8246
3826_185749,248500,2571500,Erebidae,Olene suisharyonis,幼蟲,2016,430140,3826_7450
3826_234267,266500,2668500,Erebidae,Olene suisharyonis,成蟲,2013,430140,3826_9354
3826_241248,247500,2682500,Erebidae,Olene suisharyonis,幼蟲,2016,430140,3826_9650
3826_259784,283500,2719500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_10357
3826_232266,265500,2664500,Erebidae,Olene suisharyonis,幼蟲,2016,430140,3826_9254
3826_198739,238500,2597500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_7948
3826_197241,240500,2594500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_7849
3826_255762,261500,2711500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_10253
3826_238290,289500,2676500,Erebidae,Olene suisharyonis,成蟲,2016,430140,3826_9558
3826_207229,228500,2614500,Erebidae,Olene suisharyonis,成蟲,2017,430140,3826_8246
3826_249782,281500,2699500,Erebidae,Olene suisharyonis,成蟲,2017,430140,3826_9957
3826_187200,199500,2574500,Erebidae,Olene suisharyonis,幼蟲,2017,430140,3826_7440
3826_237785,284500,2675500,Erebidae,Olene suisharyonis,幼蟲,2017,430140,3826_9557
3826_232268,267500,2664500,Erebidae,Olene suisharyonis,幼蟲,2017,430140,3826_9254
3826_185749,248500,2571500,Erebidae,Olene suisharyonis,成蟲,2017,430140,3826_7450
3826_224769,268500,2649500,Erebidae,Olene suisharyonis,成蟲,2017,430140,3826_8954
