GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_280316,315500,2760500,Drepanidae,Oreta extensa,成蟲,2011,344445,3826_11264
3826_219741,240500,2639500,Drepanidae,Oreta extensa,幼蟲,2012,344445,3826_8749
3826_297809,308500,2795500,Drepanidae,Oreta extensa,幼蟲,2012,344445,3826_11962
3826_278806,305500,2757500,Drepanidae,Oreta extensa,成蟲,2012,344445,3826_11162
3826_297809,308500,2795500,Drepanidae,Oreta extensa,成蟲,2012,344445,3826_11962
3826_284308,307500,2768500,Drepanidae,Oreta extensa,成蟲,2012,344445,3826_11362
3826_273788,287500,2747500,Drepanidae,Oreta extensa,成蟲,2012,344445,3826_10958
3826_274786,285500,2749500,Drepanidae,Oreta extensa,幼蟲,2012,344445,3826_10958
3826_219744,243500,2639500,Drepanidae,Oreta extensa,成蟲,2012,344445,3826_8749
3826_280316,315500,2760500,Drepanidae,Oreta extensa,成蟲,2012,344445,3826_11264
3826_272277,276500,2744500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_10856
3826_220810,309500,2641500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_8862
3826_273788,287500,2747500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_10958
3826_290315,314500,2780500,Drepanidae,Oreta extensa,幼蟲,2011,344445,3826_11663
3826_148712,211500,2497500,Drepanidae,Oreta extensa,幼蟲,2012,344445,3826_5943
3826_284309,308500,2768500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_11362
3826_283807,306500,2767500,Drepanidae,Oreta extensa,幼蟲,2013,344445,3826_11362
3826_281311,310500,2762500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_11263
3826_287813,312500,2775500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_11563
3826_124231,230500,2448500,Drepanidae,Oreta extensa,幼蟲,2014,344445,3826_4947
3826_263260,259500,2726500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_10552
3826_279801,300500,2759500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_11161
3826_225806,305500,2651500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_9062
3826_269811,310500,2739500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_10763
3826_281820,319500,2763500,Drepanidae,Oreta extensa,成蟲,2013,344445,3826_11264
3826_282300,299500,2764500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_11260
3826_281301,300500,2762500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_11261
3826_281309,308500,2762500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_11262
3826_263798,297500,2727500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_10560
3826_228264,263500,2656500,Drepanidae,Oreta extensa,成蟲,2014,344445,3826_9153
3826_281301,300500,2762500,Drepanidae,Oreta extensa,成蟲,2015,344445,3826_11261
3826_283807,306500,2767500,Drepanidae,Oreta extensa,幼蟲,2015,344445,3826_11362
3826_292797,296500,2785500,Drepanidae,Oreta extensa,成蟲,2015,344445,3826_11760
3826_273788,287500,2747500,Drepanidae,Oreta extensa,成蟲,2015,344445,3826_10958
3826_293308,307500,2786500,Drepanidae,Oreta extensa,成蟲,2015,344445,3826_11762
3826_288825,324500,2777500,Drepanidae,Oreta extensa,成蟲,2015,344445,3826_11565
3826_285313,312500,2770500,Drepanidae,Oreta extensa,成蟲,2015,344445,3826_11463
