GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_286791,290500,2773500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_11459
3826_273788,287500,2747500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_10958
3826_281810,309500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11262
3826_272275,274500,2744500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_10855
3826_282820,319500,2765500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11364
3826_255762,261500,2711500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_10253
3826_281301,300500,2762500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_11261
3826_175725,224500,2551500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_7045
3826_244827,326500,2689500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_9766
3826_293807,306500,2787500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_11762
3826_220810,309500,2641500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_8862
3826_264279,278500,2728500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_10556
3826_281820,319500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11264
3826_212229,228500,2624500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_8446
3826_273826,325500,2747500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_10966
3826_288310,309500,2776500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_11562
3826_269811,310500,2739500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_10763
3826_287813,312500,2775500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_11563
3826_279306,305500,2758500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_11162
3826_279306,305500,2758500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11162
3826_279306,305500,2758500,Drepanidae,Oreta fuscopurpurea,成蟲,2015,344446,3826_11162
3826_284812,311500,2769500,Drepanidae,Oreta fuscopurpurea,成蟲,2015,344446,3826_11363
3826_274262,261500,2748500,Drepanidae,Oreta fuscopurpurea,幼蟲,2015,344446,3826_10953
3826_140225,224500,2480500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_5645
3826_290310,309500,2780500,Drepanidae,Oreta fuscopurpurea,成蟲,2015,344446,3826_11662
3826_175726,225500,2551500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_7046
3826_284809,308500,2769500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_11362
3826_252226,225500,2704500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_10046
3826_281301,300500,2762500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_11261
3826_285313,312500,2770500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_11463
3826_281810,309500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_11262
3826_252226,225500,2704500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_10046
3826_290805,304500,2781500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11661
3826_269315,314500,2738500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_10763
3826_280304,303500,2760500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11261
3826_281310,309500,2762500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_11262
3826_281813,312500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_11263
3826_248733,232500,2697500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_9947
3826_263260,259500,2726500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_10552
3826_175223,222500,2550500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_7045
3826_267279,278500,2734500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_10656
3826_175726,225500,2551500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_7046
3826_263770,269500,2727500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_10554
3826_264291,290500,2728500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_10559
3826_274307,306500,2748500,Drepanidae,Oreta fuscopurpurea,成蟲,2016,344446,3826_10962
3826_273760,259500,2747500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_10952
3826_281812,311500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_11263
3826_190782,281500,2581500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_7657
3826_273260,259500,2746500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_10952
3826_264779,278500,2729500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_10556
3826_281810,309500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_11262
3826_212729,228500,2625500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_8546
3826_286321,320500,2772500,Drepanidae,Oreta fuscopurpurea,成蟲,2017,344446,3826_11465
3826_281309,308500,2762500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_11262
3826_269273,272500,2738500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_10755
3826_285793,292500,2771500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_11459
3826_290310,309500,2780500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_11662
3826_175725,224500,2551500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_7045
3826_227760,259500,2655500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_9152
3826_241751,250500,2683500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_9651
3826_273796,295500,2747500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_10960
3826_277327,326500,2754500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_11066
3826_277297,296500,2754500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11060
3826_139724,223500,2479500,Drepanidae,Oreta fuscopurpurea,成蟲,2012,344446,3826_5545
3826_253828,327500,2707500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_10166
3826_281810,309500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11262
3826_200231,230500,2600500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_8047
3826_251728,227500,2703500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_10046
3826_289336,335500,2778500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11568
3826_255743,242500,2711500,Drepanidae,Oreta fuscopurpurea,成蟲,2018,344446,3826_10249
3826_273760,259500,2747500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_10952
3826_284309,308500,2768500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11362
3826_274279,278500,2748500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_10956
3826_280321,320500,2760500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11265
3826_285313,312500,2770500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11463
3826_291805,304500,2783500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_11661
3826_281820,319500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2014,344446,3826_11264
3826_156215,214500,2512500,Drepanidae,Oreta fuscopurpurea,成蟲,2015,344446,3826_6243
3826_290310,309500,2780500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_11662
3826_255762,261500,2711500,Drepanidae,Oreta fuscopurpurea,成蟲,2011,344446,3826_10253
3826_254738,237500,2709500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_10148
3826_257745,244500,2715500,Drepanidae,Oreta fuscopurpurea,成蟲,2019,344446,3826_10349
3826_273760,259500,2747500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_10952
3826_139724,223500,2479500,Drepanidae,Oreta fuscopurpurea,成蟲,2013,344446,3826_5545
3826_286323,322500,2772500,Drepanidae,Oreta fuscopurpurea,幼蟲,2020,344446,3826_11465
3826_281810,309500,2763500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_11262
3826_264321,320500,2728500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_10565
3826_274808,307500,2749500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_10962
3826_277327,326500,2754500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_11066
3826_257745,244500,2715500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_10349
3826_269811,310500,2739500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_10763
3826_290304,303500,2780500,Drepanidae,Oreta fuscopurpurea,成蟲,2020,344446,3826_11661
