GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263297,296500,2726500,Pyralidae,Orybina flaviplaga,成蟲,2011,347512,3826_10560
3826_166722,221500,2533500,Pyralidae,Orybina flaviplaga,成蟲,2012,347512,3826_6645
3826_239740,239500,2679500,Pyralidae,Orybina flaviplaga,成蟲,2013,347512,3826_9548
3826_267778,277500,2735500,Pyralidae,Orybina flaviplaga,成蟲,2013,347512,3826_10756
3826_269811,310500,2739500,Pyralidae,Orybina flaviplaga,成蟲,2013,347512,3826_10763
3826_229766,265500,2659500,Pyralidae,Orybina flaviplaga,成蟲,2013,347512,3826_9154
3826_175222,221500,2550500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_7045
3826_263798,297500,2727500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_10560
3826_264279,278500,2728500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_10556
3826_240741,240500,2681500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_9649
3826_266795,294500,2733500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_10659
3826_238794,293500,2677500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_9559
3826_140225,224500,2480500,Pyralidae,Orybina flaviplaga,成蟲,2012,347512,3826_5645
3826_237248,247500,2674500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_9450
3826_224769,268500,2649500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_8954
3826_264279,278500,2728500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_10556
3826_264779,278500,2729500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_10556
3826_175725,224500,2551500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_7045
3826_238794,293500,2677500,Pyralidae,Orybina flaviplaga,成蟲,2012,347512,3826_9559
3826_254805,304500,2709500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_10161
3826_175726,225500,2551500,Pyralidae,Orybina flaviplaga,成蟲,2012,347512,3826_7046
3826_139724,223500,2479500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_5545
3826_140224,223500,2480500,Pyralidae,Orybina flaviplaga,成蟲,2013,347512,3826_5645
3826_175724,223500,2551500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_7045
3826_263298,297500,2726500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10560
3826_175223,222500,2550500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_7045
3826_263798,297500,2727500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10560
3826_175222,221500,2550500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_7045
3826_265275,274500,2730500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10655
3826_263294,293500,2726500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10559
3826_232753,252500,2665500,Pyralidae,Orybina flaviplaga,成蟲,2014,347512,3826_9351
3826_240249,248500,2680500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_9650
3826_267279,278500,2734500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10656
3826_264279,278500,2728500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10556
3826_259784,283500,2719500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_10357
3826_197241,240500,2594500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_7849
3826_222755,254500,2645500,Pyralidae,Orybina flaviplaga,成蟲,2017,347512,3826_8951
3826_238290,289500,2676500,Pyralidae,Orybina flaviplaga,成蟲,2016,347512,3826_9558
3826_267278,277500,2734500,Pyralidae,Orybina flaviplaga,成蟲,2017,347512,3826_10656
3826_266293,292500,2732500,Pyralidae,Orybina flaviplaga,成蟲,2017,347512,3826_10659
3826_207230,229500,2614500,Pyralidae,Orybina flaviplaga,成蟲,2017,347512,3826_8246
3826_175724,223500,2551500,Pyralidae,Orybina flaviplaga,成蟲,2015,347512,3826_7045
3826_207230,229500,2614500,Pyralidae,Orybina flaviplaga,成蟲,2018,347512,3826_8246
3826_258301,300500,2716500,Pyralidae,Orybina flaviplaga,成蟲,2018,347512,3826_10361
3826_238290,289500,2676500,Pyralidae,Orybina flaviplaga,成蟲,2018,347512,3826_9558
