GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_256762,261500,2713500,Geometridae,Ourapteryx sciticaudaria,成蟲,2010,345125,3826_10253
3826_241275,274500,2682500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_9655
3826_199222,221500,2598500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_7945
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_8046
3826_233271,270500,2666500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_9355
3826_208229,228500,2616500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_8346
3826_233271,270500,2666500,Geometridae,Ourapteryx sciticaudaria,成蟲,2013,345125,3826_9355
3826_200731,230500,2601500,Geometridae,Ourapteryx sciticaudaria,成蟲,2014,345125,3826_8047
3826_200220,219500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2014,345125,3826_8044
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2014,345125,3826_8046
3826_199720,219500,2599500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_7944
3826_264279,278500,2728500,Geometridae,Ourapteryx sciticaudaria,成蟲,2014,345125,3826_10556
3826_264279,278500,2728500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_10556
3826_230767,266500,2661500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_9254
3826_195215,214500,2590500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_7843
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_8046
3826_200731,230500,2601500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_8047
3826_207230,229500,2614500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_8246
3826_198220,219500,2596500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_7944
3826_218230,229500,2636500,Geometridae,Ourapteryx sciticaudaria,成蟲,2011,345125,3826_8746
3826_140225,224500,2480500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_5645
3826_203243,242500,2606500,Geometridae,Ourapteryx sciticaudaria,成蟲,2011,345125,3826_8149
3826_175726,225500,2551500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_7046
3826_254805,304500,2709500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_10161
3826_255305,304500,2710500,Geometridae,Ourapteryx sciticaudaria,成蟲,2016,345125,3826_10261
3826_175724,223500,2551500,Geometridae,Ourapteryx sciticaudaria,成蟲,2016,345125,3826_7045
3826_242252,251500,2684500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_9651
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2016,345125,3826_8046
3826_255762,261500,2711500,Geometridae,Ourapteryx sciticaudaria,成蟲,2013,345125,3826_10253
3826_235278,277500,2670500,Geometridae,Ourapteryx sciticaudaria,成蟲,2013,345125,3826_9456
3826_200229,228500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2016,345125,3826_8046
3826_264279,278500,2728500,Geometridae,Ourapteryx sciticaudaria,成蟲,2016,345125,3826_10556
3826_224749,248500,2649500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_8950
3826_231268,267500,2662500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_9254
3826_199225,224500,2598500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_7945
3826_199233,232500,2598500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_7947
3826_261280,279500,2722500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_10456
3826_199731,230500,2599500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_7947
3826_207230,229500,2614500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_8246
3826_238274,273500,2676500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_9555
3826_199222,221500,2598500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_7945
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2017,345125,3826_8046
3826_255812,311500,2711500,Geometridae,Ourapteryx sciticaudaria,成蟲,2013,345125,3826_10263
3826_255812,311500,2711500,Geometridae,Ourapteryx sciticaudaria,成蟲,2010,345125,3826_10263
3826_207230,229500,2614500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_8246
3826_228263,262500,2656500,Geometridae,Ourapteryx sciticaudaria,成蟲,2014,345125,3826_9153
3826_233270,269500,2666500,Geometridae,Ourapteryx sciticaudaria,成蟲,2011,345125,3826_9354
3826_240249,248500,2680500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_9650
3826_200231,230500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_8047
3826_254805,304500,2709500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_10161
3826_257802,301500,2715500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_10361
3826_241751,250500,2683500,Geometridae,Ourapteryx sciticaudaria,成蟲,2015,345125,3826_9651
3826_238794,293500,2677500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_9559
3826_182206,205500,2564500,Geometridae,Ourapteryx sciticaudaria,成蟲,2014,345125,3826_7242
3826_264779,278500,2729500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_10556
3826_200231,230500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_8047
3826_175224,223500,2550500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_7045
3826_229766,265500,2659500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_9154
3826_255812,311500,2711500,Geometridae,Ourapteryx sciticaudaria,成蟲,2012,345125,3826_10263
3826_242251,250500,2684500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_9651
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_8046
3826_241751,250500,2683500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_9651
3826_197218,217500,2594500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_7844
3826_229767,266500,2659500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_9154
3826_255305,304500,2710500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_10261
3826_229767,266500,2659500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_9154
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_8046
3826_257745,244500,2715500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_10349
3826_231268,267500,2662500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_9254
3826_230272,271500,2660500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_9255
3826_257745,244500,2715500,Geometridae,Ourapteryx sciticaudaria,成蟲,2019,345125,3826_10349
3826_241751,250500,2683500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_9651
3826_251252,251500,2702500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_10051
3826_229766,265500,2659500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_9154
3826_249787,286500,2699500,Geometridae,Ourapteryx sciticaudaria,成蟲,2018,345125,3826_9958
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_8046
3826_264279,278500,2728500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_10556
3826_200731,230500,2601500,Geometridae,Ourapteryx sciticaudaria,成蟲,2016,345125,3826_8047
3826_229766,265500,2659500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_9154
3826_233271,270500,2666500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_9355
3826_232268,267500,2664500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_9254
3826_231268,267500,2662500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_9254
3826_230272,271500,2660500,Geometridae,Ourapteryx sciticaudaria,成蟲,2021,345125,3826_9255
3826_207230,229500,2614500,Geometridae,Ourapteryx sciticaudaria,成蟲,2020,345125,3826_8246
3826_231268,267500,2662500,Geometridae,Ourapteryx sciticaudaria,成蟲,2022,345125,3826_9254
3826_200230,229500,2600500,Geometridae,Ourapteryx sciticaudaria,成蟲,2022,345125,3826_8046
3826_237273,272500,2674500,Geometridae,Ourapteryx sciticaudaria,成蟲,2022,345125,3826_9455
3826_208728,227500,2617500,Geometridae,Ourapteryx sciticaudaria,成蟲,2022,345125,3826_8346
