GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_207230,229500,2614500,Eupterotidae,Palirisa cervina formosana,幼蟲,2011,344487,3826_8246
3826_161256,255500,2522500,Eupterotidae,Palirisa cervina formosana,幼蟲,2011,344487,3826_6452
3826_281844,343500,2763500,Eupterotidae,Palirisa cervina formosana,幼蟲,2011,344487,3826_11269
3826_238752,251500,2677500,Eupterotidae,Palirisa cervina formosana,成蟲,2012,344487,3826_9551
3826_219741,240500,2639500,Eupterotidae,Palirisa cervina formosana,成蟲,2011,344487,3826_8749
3826_203243,242500,2606500,Eupterotidae,Palirisa cervina formosana,幼蟲,2011,344487,3826_8149
3826_263296,295500,2726500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_10560
3826_218733,232500,2637500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_8747
3826_229285,284500,2658500,Eupterotidae,Palirisa cervina formosana,幼蟲,2011,344487,3826_9157
3826_232267,266500,2664500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9254
3826_237785,284500,2675500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9557
3826_238290,289500,2676500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9558
3826_255812,311500,2711500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_10263
3826_230266,265500,2660500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9254
3826_229767,266500,2659500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9154
3826_249744,243500,2699500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9949
3826_140225,224500,2480500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_5645
3826_265289,288500,2730500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_10658
3826_209226,225500,2618500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_8346
3826_240741,240500,2681500,Eupterotidae,Palirisa cervina formosana,幼蟲,2011,344487,3826_9649
3826_259299,298500,2718500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_10360
3826_239740,239500,2679500,Eupterotidae,Palirisa cervina formosana,成蟲,2013,344487,3826_9548
3826_269811,310500,2739500,Eupterotidae,Palirisa cervina formosana,幼蟲,2013,344487,3826_10763
3826_207229,228500,2614500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_8246
3826_198240,239500,2596500,Eupterotidae,Palirisa cervina formosana,成蟲,2010,344487,3826_7948
3826_240745,244500,2681500,Eupterotidae,Palirisa cervina formosana,幼蟲,2012,344487,3826_9649
3826_237785,284500,2675500,Eupterotidae,Palirisa cervina formosana,幼蟲,2010,344487,3826_9557
3826_254805,304500,2709500,Eupterotidae,Palirisa cervina formosana,成蟲,2013,344487,3826_10161
3826_266794,293500,2733500,Eupterotidae,Palirisa cervina formosana,幼蟲,2013,344487,3826_10659
3826_209230,229500,2618500,Eupterotidae,Palirisa cervina formosana,幼蟲,2013,344487,3826_8346
3826_264273,272500,2728500,Eupterotidae,Palirisa cervina formosana,成蟲,2013,344487,3826_10555
