GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219244,243500,2638500,Erebidae,Paracolax fentoni,成蟲,2012,346631,3826_8749
3826_204726,225500,2609500,Erebidae,Paracolax fentoni,成蟲,2012,346631,3826_8146
3826_198726,225500,2597500,Erebidae,Paracolax fentoni,成蟲,2012,346631,3826_7946
3826_273788,287500,2747500,Erebidae,Paracolax fentoni,成蟲,2013,346631,3826_10958
3826_219242,241500,2638500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_8749
3826_273279,278500,2746500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_10956
3826_175222,221500,2550500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_7045
3826_228759,258500,2657500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_9152
3826_264279,278500,2728500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_10556
3826_215255,254500,2630500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_8651
3826_227741,240500,2655500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_9149
3826_229248,247500,2658500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_9150
3826_259750,249500,2719500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_10350
3826_277327,326500,2754500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_11066
3826_263260,259500,2726500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_10552
3826_237245,244500,2674500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_9449
3826_265791,290500,2731500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_10659
3826_252226,225500,2704500,Erebidae,Paracolax fentoni,成蟲,2017,346631,3826_10046
3826_182753,252500,2565500,Erebidae,Paracolax fentoni,成蟲,2017,346631,3826_7351
3826_237230,229500,2674500,Erebidae,Paracolax fentoni,成蟲,2017,346631,3826_9446
3826_264263,262500,2728500,Erebidae,Paracolax fentoni,成蟲,2017,346631,3826_10553
3826_232753,252500,2665500,Erebidae,Paracolax fentoni,成蟲,2016,346631,3826_9351
3826_240741,240500,2681500,Erebidae,Paracolax fentoni,成蟲,2018,346631,3826_9649
3826_216751,250500,2633500,Erebidae,Paracolax fentoni,成蟲,2014,346631,3826_8651
3826_262759,258500,2725500,Erebidae,Paracolax fentoni,成蟲,2018,346631,3826_10552
3826_255743,242500,2711500,Erebidae,Paracolax fentoni,成蟲,2018,346631,3826_10249
3826_269811,310500,2739500,Erebidae,Paracolax fentoni,成蟲,2010,346631,3826_10763
3826_239800,299500,2679500,Erebidae,Paracolax fentoni,成蟲,2011,346631,3826_9560
3826_224769,268500,2649500,Erebidae,Paracolax fentoni,成蟲,2018,346631,3826_8954
3826_227756,255500,2655500,Erebidae,Paracolax fentoni,幼蟲,2019,346631,3826_9152
3826_257242,241500,2714500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_10249
3826_257745,244500,2715500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_10349
3826_248231,230500,2696500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_9947
3826_237230,229500,2674500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_9446
3826_197218,217500,2594500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_7844
3826_253247,246500,2706500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_10150
3826_259249,248500,2718500,Erebidae,Paracolax fentoni,成蟲,2019,346631,3826_10350
3826_265791,290500,2731500,Erebidae,Paracolax fentoni,成蟲,2020,346631,3826_10659
3826_263260,259500,2726500,Erebidae,Paracolax fentoni,成蟲,2020,346631,3826_10552
3826_259249,248500,2718500,Erebidae,Paracolax fentoni,成蟲,2022,346631,3826_10350
3826_205224,223500,2610500,Erebidae,Paracolax fentoni,成蟲,2022,346631,3826_8245
3826_224769,268500,2649500,Erebidae,Paracolax fentoni,成蟲,2022,346631,3826_8954
3826_269273,272500,2738500,Erebidae,Paracolax fentoni,成蟲,2022,346631,3826_10755
3826_228759,258500,2657500,Erebidae,Paracolax fentoni,成蟲,2022,346631,3826_9152
