GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Crambidae,Paracymoriza nigra,成蟲,2012,426326,3826_10961
3826_273788,287500,2747500,Crambidae,Paracymoriza nigra,成蟲,2012,426326,3826_10958
3826_199720,219500,2599500,Crambidae,Paracymoriza nigra,成蟲,2015,426326,3826_7944
3826_264279,278500,2728500,Crambidae,Paracymoriza nigra,成蟲,2014,426326,3826_10556
3826_272277,276500,2744500,Crambidae,Paracymoriza nigra,成蟲,2013,426326,3826_10856
3826_291309,308500,2782500,Crambidae,Paracymoriza nigra,成蟲,2013,426326,3826_11662
3826_259800,299500,2719500,Crambidae,Paracymoriza nigra,成蟲,2015,426326,3826_10360
3826_225806,305500,2651500,Crambidae,Paracymoriza nigra,成蟲,2016,426326,3826_9062
3826_263753,252500,2727500,Crambidae,Paracymoriza nigra,成蟲,2016,426326,3826_10551
3826_263297,296500,2726500,Crambidae,Paracymoriza nigra,成蟲,2016,426326,3826_10560
3826_277327,326500,2754500,Crambidae,Paracymoriza nigra,成蟲,2016,426326,3826_11066
3826_271279,278500,2742500,Crambidae,Paracymoriza nigra,成蟲,2017,426326,3826_10856
3826_263798,297500,2727500,Crambidae,Paracymoriza nigra,成蟲,2017,426326,3826_10560
3826_273796,295500,2747500,Crambidae,Paracymoriza nigra,成蟲,2017,426326,3826_10960
3826_262249,248500,2724500,Crambidae,Paracymoriza nigra,成蟲,2017,426326,3826_10450
3826_242745,244500,2685500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_9749
3826_279300,299500,2758500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_11160
3826_291805,304500,2783500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_11661
3826_238800,299500,2677500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_9560
3826_262305,304500,2724500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_10461
3826_277327,326500,2754500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_11066
3826_154218,217500,2508500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_6144
3826_273304,303500,2746500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_10961
3826_255743,242500,2711500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_10249
3826_224769,268500,2649500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_8954
3826_263798,297500,2727500,Crambidae,Paracymoriza nigra,成蟲,2011,426326,3826_10560
3826_273796,295500,2747500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_10960
3826_266265,264500,2732500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_10653
3826_263798,297500,2727500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_10560
3826_278306,305500,2756500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_11162
3826_287811,310500,2775500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_11563
3826_291805,304500,2783500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_11661
3826_290310,309500,2780500,Crambidae,Paracymoriza nigra,成蟲,2013,426326,3826_11662
3826_259249,248500,2718500,Crambidae,Paracymoriza nigra,成蟲,2019,426326,3826_10350
3826_266265,264500,2732500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_10653
3826_223302,301500,2646500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_8961
3826_277327,326500,2754500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_11066
3826_269811,310500,2739500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_10763
3826_290310,309500,2780500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_11662
3826_273788,287500,2747500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_10958
3826_287811,310500,2775500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_11563
3826_281810,309500,2763500,Crambidae,Paracymoriza nigra,成蟲,2020,426326,3826_11262
3826_269273,272500,2738500,Crambidae,Paracymoriza nigra,成蟲,2021,426326,3826_10755
3826_287811,310500,2775500,Crambidae,Paracymoriza nigra,成蟲,2021,426326,3826_11563
3826_277327,326500,2754500,Crambidae,Paracymoriza nigra,成蟲,2017,426326,3826_11066
3826_291805,304500,2783500,Crambidae,Paracymoriza nigra,成蟲,2016,426326,3826_11661
3826_284830,329500,2769500,Crambidae,Paracymoriza nigra,成蟲,2018,426326,3826_11366
3826_266271,270500,2732500,Crambidae,Paracymoriza nigra,成蟲,2022,426326,3826_10655
3826_279806,305500,2759500,Crambidae,Paracymoriza nigra,成蟲,2022,426326,3826_11162
3826_269273,272500,2738500,Crambidae,Paracymoriza nigra,成蟲,2022,426326,3826_10755
