GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_217726,225500,2635500,Erebidae,Parallelia stuposa,成蟲,2012,346239,3826_8746
3826_273788,287500,2747500,Erebidae,Parallelia stuposa,成蟲,2012,346239,3826_10958
3826_274810,309500,2749500,Erebidae,Parallelia stuposa,成蟲,2012,346239,3826_10962
3826_267819,318500,2735500,Erebidae,Parallelia stuposa,成蟲,2013,346239,3826_10764
3826_273826,325500,2747500,Erebidae,Parallelia stuposa,成蟲,2013,346239,3826_10966
3826_291820,319500,2783500,Erebidae,Parallelia stuposa,成蟲,2013,346239,3826_11664
3826_280809,308500,2761500,Erebidae,Parallelia stuposa,成蟲,2013,346239,3826_11262
3826_287813,312500,2775500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_11563
3826_287811,310500,2775500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_11563
3826_230712,211500,2661500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_9243
3826_218230,229500,2636500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_8746
3826_281820,319500,2763500,Erebidae,Parallelia stuposa,成蟲,2013,346239,3826_11264
3826_273310,309500,2746500,Erebidae,Parallelia stuposa,幼蟲,2014,346239,3826_10962
3826_283807,306500,2767500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_11362
3826_282307,306500,2764500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_11262
3826_221310,309500,2642500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_8862
3826_220810,309500,2641500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_8862
3826_287810,309500,2775500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_11562
3826_195215,214500,2590500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_7843
3826_264279,278500,2728500,Erebidae,Parallelia stuposa,成蟲,2014,346239,3826_10556
3826_262327,326500,2724500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_10466
3826_282307,306500,2764500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_11262
3826_280304,303500,2760500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_11261
3826_281810,309500,2763500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_11262
3826_264779,278500,2729500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_10556
3826_281309,308500,2762500,Erebidae,Parallelia stuposa,成蟲,2015,346239,3826_11262
