GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291813,312500,2783500,Geometridae,Parapercnia giraffata,幼蟲,2011,345146,3826_11663
3826_291805,304500,2783500,Geometridae,Parapercnia giraffata,幼蟲,2012,345146,3826_11661
3826_284308,307500,2768500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_11362
3826_292305,304500,2784500,Geometridae,Parapercnia giraffata,幼蟲,2012,345146,3826_11661
3826_292305,304500,2784500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_11661
3826_219244,243500,2638500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_8749
3826_250225,224500,2700500,Geometridae,Parapercnia giraffata,幼蟲,2012,345146,3826_10045
3826_204726,225500,2609500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_8146
3826_291801,300500,2783500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_11661
3826_276808,307500,2753500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_11062
3826_278825,324500,2757500,Geometridae,Parapercnia giraffata,幼蟲,2013,345146,3826_11165
3826_273788,287500,2747500,Geometridae,Parapercnia giraffata,成蟲,2012,345146,3826_10958
3826_188716,215500,2577500,Geometridae,Parapercnia giraffata,成蟲,2013,345146,3826_7544
3826_263798,297500,2727500,Geometridae,Parapercnia giraffata,成蟲,2013,345146,3826_10560
3826_290315,314500,2780500,Geometridae,Parapercnia giraffata,成蟲,2011,345146,3826_11663
3826_273826,325500,2747500,Geometridae,Parapercnia giraffata,成蟲,2013,345146,3826_10966
3826_275769,268500,2751500,Geometridae,Parapercnia giraffata,幼蟲,2013,345146,3826_11054
3826_281309,308500,2762500,Geometridae,Parapercnia giraffata,成蟲,2013,345146,3826_11262
3826_280809,308500,2761500,Geometridae,Parapercnia giraffata,幼蟲,2013,345146,3826_11262
3826_277800,299500,2755500,Geometridae,Parapercnia giraffata,成蟲,2013,345146,3826_11160
