GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_140224,223500,2480500,Limacodidae,Parasa shirakii,成蟲,2011,345661,3826_5645
3826_295304,303500,2790500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_11861
3826_287813,312500,2775500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_11563
3826_204726,225500,2609500,Limacodidae,Parasa shirakii,成蟲,2012,345661,3826_8146
3826_273788,287500,2747500,Limacodidae,Parasa shirakii,成蟲,2011,345661,3826_10958
3826_282307,306500,2764500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_11262
3826_273792,291500,2747500,Limacodidae,Parasa shirakii,幼蟲,2010,345661,3826_10959
3826_189703,202500,2579500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_7541
3826_282784,283500,2765500,Limacodidae,Parasa shirakii,幼蟲,2011,345661,3826_11357
3826_285781,280500,2771500,Limacodidae,Parasa shirakii,幼蟲,2011,345661,3826_11457
3826_283292,291500,2766500,Limacodidae,Parasa shirakii,成蟲,2012,345661,3826_11359
3826_291801,300500,2783500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_11661
3826_283807,306500,2767500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_11362
3826_139724,223500,2479500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_5545
3826_291302,301500,2782500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_11661
3826_291300,299500,2782500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_11660
3826_197218,217500,2594500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_7844
3826_150219,218500,2500500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_6044
3826_280805,304500,2761500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_11261
3826_175725,224500,2551500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_7045
3826_291329,328500,2782500,Limacodidae,Parasa shirakii,成蟲,2012,345661,3826_11666
3826_247282,281500,2694500,Limacodidae,Parasa shirakii,成蟲,2012,345661,3826_9857
3826_272774,273500,2745500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_10955
3826_186222,221500,2572500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_7445
3826_282307,306500,2764500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_11262
3826_224769,268500,2649500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_8954
3826_281301,300500,2762500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_11261
3826_291329,328500,2782500,Limacodidae,Parasa shirakii,蛹,2013,345661,3826_11666
3826_181198,197500,2562500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_7240
3826_232753,252500,2665500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_9351
3826_269811,310500,2739500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_10763
3826_225806,305500,2651500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_9062
3826_269811,310500,2739500,Limacodidae,Parasa shirakii,成蟲,2011,345661,3826_10763
3826_280302,301500,2760500,Limacodidae,Parasa shirakii,成蟲,2020,345661,3826_11261
3826_263798,297500,2727500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_10560
3826_264279,278500,2728500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_10556
3826_187200,199500,2574500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_7440
3826_285818,317500,2771500,Limacodidae,Parasa shirakii,幼蟲,2014,345661,3826_11464
3826_289823,322500,2779500,Limacodidae,Parasa shirakii,幼蟲,2014,345661,3826_11565
3826_289803,302500,2779500,Limacodidae,Parasa shirakii,幼蟲,2014,345661,3826_11561
3826_220810,309500,2641500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_8862
3826_264279,278500,2728500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_10556
3826_239253,252500,2678500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_9551
3826_224769,268500,2649500,Limacodidae,Parasa shirakii,幼蟲,2014,345661,3826_8954
3826_262812,311500,2725500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_10563
3826_281301,300500,2762500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_11261
3826_292797,296500,2785500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_11760
3826_280787,286500,2761500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_11258
3826_157226,225500,2514500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_6246
3826_120726,225500,2441500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_4846
3826_244827,326500,2689500,Limacodidae,Parasa shirakii,成蟲,2014,345661,3826_9766
3826_285793,292500,2771500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_11459
3826_293308,307500,2786500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_11762
3826_187200,199500,2574500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_7440
3826_273792,291500,2747500,Limacodidae,Parasa shirakii,幼蟲,2015,345661,3826_10959
3826_290294,293500,2780500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_11659
3826_279306,305500,2758500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_11162
3826_269811,310500,2739500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_10763
3826_227258,257500,2654500,Limacodidae,Parasa shirakii,幼蟲,2014,345661,3826_9052
3826_255762,261500,2711500,Limacodidae,Parasa shirakii,成蟲,2012,345661,3826_10253
3826_237801,300500,2675500,Limacodidae,Parasa shirakii,成蟲,2012,345661,3826_9561
3826_272277,276500,2744500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_10856
3826_239300,299500,2678500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_9560
3826_165724,223500,2531500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_6645
3826_211732,231500,2623500,Limacodidae,Parasa shirakii,成蟲,2015,345661,3826_8447
3826_273279,278500,2746500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_10956
3826_195715,214500,2591500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_7843
3826_128235,234500,2456500,Limacodidae,Parasa shirakii,幼蟲,2013,345661,3826_5147
3826_280316,315500,2760500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_11264
3826_281810,309500,2763500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_11262
3826_288306,305500,2776500,Limacodidae,Parasa shirakii,幼蟲,2012,345661,3826_11562
3826_290805,304500,2781500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_11661
3826_207229,228500,2614500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_8246
3826_281301,300500,2762500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_11261
3826_159220,219500,2518500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_6344
3826_269811,310500,2739500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_10763
3826_263798,297500,2727500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_10560
3826_265269,268500,2730500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_10654
3826_273796,295500,2747500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_10960
3826_175724,223500,2551500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_7045
3826_195213,212500,2590500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_7843
3826_151747,246500,2503500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_6050
3826_242745,244500,2685500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_9749
3826_264279,278500,2728500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_10556
3826_219741,240500,2639500,Limacodidae,Parasa shirakii,幼蟲,2016,345661,3826_8749
3826_195213,212500,2590500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_7843
3826_242745,244500,2685500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_9749
3826_236809,308500,2673500,Limacodidae,Parasa shirakii,成蟲,2016,345661,3826_9462
3826_255762,261500,2711500,Limacodidae,Parasa shirakii,成蟲,2013,345661,3826_10253
