GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_242745,244500,2685500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2011,345153,3826_9749
3826_203243,242500,2606500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2011,345153,3826_8149
3826_229767,266500,2659500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2012,345153,3826_9154
3826_207230,229500,2614500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2013,345153,3826_8246
3826_259784,283500,2719500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2013,345153,3826_10357
3826_184252,251500,2568500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2014,345153,3826_7351
3826_264279,278500,2728500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2015,345153,3826_10556
3826_207230,229500,2614500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2015,345153,3826_8246
3826_154218,217500,2508500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2011,345153,3826_6144
3826_255762,261500,2711500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2012,345153,3826_10253
3826_238794,293500,2677500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2012,345153,3826_9559
3826_175222,221500,2550500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_7045
3826_259282,281500,2718500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10357
3826_238290,289500,2676500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_9558
3826_266794,293500,2733500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10659
3826_265790,289500,2731500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10658
3826_263794,293500,2727500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10559
3826_208229,228500,2616500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_8346
3826_264279,278500,2728500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10556
3826_255762,261500,2711500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10253
3826_263770,269500,2727500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2014,345153,3826_10554
3826_264779,278500,2729500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10556
3826_209230,229500,2618500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_8346
3826_265289,288500,2730500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_10658
3826_238290,289500,2676500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_9558
3826_264273,272500,2728500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_10555
3826_263798,297500,2727500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_10560
3826_256762,261500,2713500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_10253
3826_264779,278500,2729500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_10556
3826_266293,292500,2732500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2017,345153,3826_10659
3826_207230,229500,2614500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2014,345153,3826_8246
3826_238797,296500,2677500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_9560
3826_259784,283500,2719500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_10357
3826_241751,250500,2683500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_9651
3826_231768,267500,2663500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_9254
3826_229767,266500,2659500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_9154
3826_207230,229500,2614500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_8246
3826_265782,281500,2731500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_10657
3826_240249,248500,2680500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_9650
3826_255262,261500,2710500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_10253
3826_264279,278500,2728500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_10556
3826_266793,292500,2733500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2016,345153,3826_10659
3826_254805,304500,2709500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_10161
3826_238274,273500,2676500,Geometridae,Parobeidia gigantearia marginifascia,成蟲,2018,345153,3826_9555
