GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219242,241500,2638500,Crambidae,Patania iopasalis,成蟲,2012,344326,3826_8749
3826_123735,234500,2447500,Crambidae,Patania iopasalis,成蟲,2012,344326,3826_4947
3826_257742,241500,2715500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_10349
3826_273304,303500,2746500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_10961
3826_266771,270500,2733500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_10655
3826_280809,308500,2761500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_11262
3826_269811,310500,2739500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_10763
3826_281810,309500,2763500,Crambidae,Patania iopasalis,成蟲,2014,344326,3826_11262
3826_139724,223500,2479500,Crambidae,Patania iopasalis,成蟲,2014,344326,3826_5545
3826_227307,306500,2654500,Crambidae,Patania iopasalis,成蟲,2014,344326,3826_9062
3826_222739,238500,2645500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_8948
3826_273304,303500,2746500,Crambidae,Patania iopasalis,成蟲,2014,344326,3826_10961
3826_281301,300500,2762500,Crambidae,Patania iopasalis,成蟲,2014,344326,3826_11261
3826_281820,319500,2763500,Crambidae,Patania iopasalis,成蟲,2014,344326,3826_11264
3826_292292,291500,2784500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_11659
3826_195215,214500,2590500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_7843
3826_293308,307500,2786500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_11762
3826_290310,309500,2780500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_11662
3826_270801,300500,2741500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_10861
3826_213729,228500,2627500,Crambidae,Patania iopasalis,成蟲,2012,344326,3826_8546
3826_279301,300500,2758500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_11161
3826_152175,174500,2504500,Crambidae,Patania iopasalis,成蟲,2011,344326,3826_6035
3826_151747,246500,2503500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_6050
3826_252226,225500,2704500,Crambidae,Patania iopasalis,成蟲,2012,344326,3826_10046
3826_270278,277500,2740500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_10856
3826_213729,228500,2627500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_8546
3826_289809,308500,2779500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_11562
3826_277327,326500,2754500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_11066
3826_283807,306500,2767500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_11362
3826_263753,252500,2727500,Crambidae,Patania iopasalis,成蟲,2017,344326,3826_10551
3826_276802,301500,2753500,Crambidae,Patania iopasalis,成蟲,2017,344326,3826_11061
3826_293308,307500,2786500,Crambidae,Patania iopasalis,成蟲,2017,344326,3826_11762
3826_291303,302500,2782500,Crambidae,Patania iopasalis,成蟲,2015,344326,3826_11661
3826_286823,322500,2773500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_11465
3826_224749,248500,2649500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_8950
3826_280319,318500,2760500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_11264
3826_154218,217500,2508500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_6144
3826_255743,242500,2711500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_10249
3826_181790,289500,2563500,Crambidae,Patania iopasalis,成蟲,2013,344326,3826_7258
3826_286823,322500,2773500,Crambidae,Patania iopasalis,成蟲,2019,344326,3826_11465
3826_273786,285500,2747500,Crambidae,Patania iopasalis,成蟲,2019,344326,3826_10958
3826_284810,309500,2769500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_11362
3826_276802,301500,2753500,Crambidae,Patania iopasalis,成蟲,2019,344326,3826_11061
3826_277327,326500,2754500,Crambidae,Patania iopasalis,成蟲,2020,344326,3826_11066
3826_272276,275500,2744500,Crambidae,Patania iopasalis,成蟲,2020,344326,3826_10856
3826_273788,287500,2747500,Crambidae,Patania iopasalis,成蟲,2020,344326,3826_10958
3826_292307,306500,2784500,Crambidae,Patania iopasalis,成蟲,2016,344326,3826_11662
3826_287312,311500,2774500,Crambidae,Patania iopasalis,幼蟲,2021,344326,3826_11463
3826_147746,245500,2495500,Crambidae,Patania iopasalis,成蟲,2021,344326,3826_5950
3826_274296,295500,2748500,Crambidae,Patania iopasalis,成蟲,2021,344326,3826_10960
3826_273788,287500,2747500,Crambidae,Patania iopasalis,成蟲,2021,344326,3826_10958
3826_279301,300500,2758500,Crambidae,Patania iopasalis,成蟲,2020,344326,3826_11161
3826_269811,310500,2739500,Crambidae,Patania iopasalis,成蟲,2021,344326,3826_10763
3826_286321,320500,2772500,Crambidae,Patania iopasalis,成蟲,2018,344326,3826_11465
3826_273807,306500,2747500,Crambidae,Patania iopasalis,成蟲,2021,344326,3826_10962
