GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219243,242500,2638500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_8749
3826_291805,304500,2783500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_11661
3826_273304,303500,2746500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_10961
3826_219244,243500,2638500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_8749
3826_273788,287500,2747500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_10958
3826_222739,238500,2645500,Geometridae,Percnia luridaria nominoneura,幼蟲,2012,345161,3826_8948
3826_265289,288500,2730500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_10658
3826_267778,277500,2735500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_10756
3826_263798,297500,2727500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_10560
3826_290310,309500,2780500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_11662
3826_293303,302500,2786500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_11761
3826_269315,314500,2738500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_10763
3826_272776,275500,2745500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_10956
3826_139724,223500,2479500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_5545
3826_259800,299500,2719500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_10360
3826_225806,305500,2651500,Geometridae,Percnia luridaria nominoneura,成蟲,2015,345161,3826_9062
3826_264279,278500,2728500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_10556
3826_267278,277500,2734500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_10656
3826_268776,275500,2737500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_10756
3826_152210,209500,2504500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_6042
3826_279306,305500,2758500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_11162
3826_212729,228500,2625500,Geometridae,Percnia luridaria nominoneura,成蟲,2015,345161,3826_8546
3826_290310,309500,2780500,Geometridae,Percnia luridaria nominoneura,成蟲,2015,345161,3826_11662
3826_154218,217500,2508500,Geometridae,Percnia luridaria nominoneura,成蟲,2011,345161,3826_6144
3826_195215,214500,2590500,Geometridae,Percnia luridaria nominoneura,成蟲,2015,345161,3826_7843
3826_240741,240500,2681500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_9649
3826_272277,276500,2744500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_10856
3826_263260,259500,2726500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_10552
3826_281810,309500,2763500,Geometridae,Percnia luridaria nominoneura,成蟲,2015,345161,3826_11262
3826_125723,222500,2451500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_5045
3826_290310,309500,2780500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_11662
3826_269761,260500,2739500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_10753
3826_259800,299500,2719500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_10360
3826_269811,310500,2739500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_10763
3826_238251,250500,2676500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_9551
3826_257746,245500,2715500,Geometridae,Percnia luridaria nominoneura,成蟲,2013,345161,3826_10350
3826_175222,221500,2550500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_7045
3826_265790,289500,2731500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_10658
3826_242745,244500,2685500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_9749
3826_277327,326500,2754500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_11066
3826_293303,302500,2786500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_11761
3826_267279,278500,2734500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_10656
3826_180258,257500,2560500,Geometridae,Percnia luridaria nominoneura,成蟲,2014,345161,3826_7252
3826_237801,300500,2675500,Geometridae,Percnia luridaria nominoneura,成蟲,2016,345161,3826_9561
3826_293303,302500,2786500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_11761
3826_281812,311500,2763500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_11263
3826_290310,309500,2780500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_11662
3826_190275,274500,2580500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_7655
3826_266265,264500,2732500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10653
3826_264762,261500,2729500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10553
3826_267278,277500,2734500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10656
3826_290809,308500,2781500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_11662
3826_237303,302500,2674500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_9461
3826_269276,275500,2738500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10756
3826_270273,272500,2740500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10855
3826_271782,281500,2743500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10857
3826_259254,253500,2718500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10351
3826_265265,264500,2730500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10653
3826_198220,219500,2596500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_7944
3826_277327,326500,2754500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_11066
3826_263260,259500,2726500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10552
3826_204712,211500,2609500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_8143
3826_273796,295500,2747500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10960
3826_262249,248500,2724500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10450
3826_271279,278500,2742500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10856
3826_242745,244500,2685500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_9749
3826_154218,217500,2508500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_6144
3826_262249,248500,2724500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_10450
3826_269278,277500,2738500,Geometridae,Percnia luridaria nominoneura,成蟲,2017,345161,3826_10756
3826_273796,295500,2747500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_10960
3826_277800,299500,2755500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_11160
3826_237230,229500,2674500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_9446
3826_238293,292500,2676500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_9559
3826_251789,288500,2703500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_10058
3826_214744,243500,2629500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_8549
3826_222739,238500,2645500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_8948
3826_228252,251500,2656500,Geometridae,Percnia luridaria nominoneura,幼蟲,2018,345161,3826_9151
3826_257253,252500,2714500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_10251
3826_198220,219500,2596500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_7944
3826_255743,242500,2711500,Geometridae,Percnia luridaria nominoneura,成蟲,2018,345161,3826_10249
3826_139724,223500,2479500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_5545
3826_264778,277500,2729500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_10556
3826_256762,261500,2713500,Geometridae,Percnia luridaria nominoneura,成蟲,2010,345161,3826_10253
3826_254738,237500,2709500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_10148
3826_255743,242500,2711500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_10249
3826_238794,293500,2677500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_9559
3826_272273,272500,2744500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_10855
3826_255812,311500,2711500,Geometridae,Percnia luridaria nominoneura,成蟲,2012,345161,3826_10263
3826_239300,299500,2678500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_9560
3826_238797,296500,2677500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_9560
3826_293303,302500,2786500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_11761
3826_153716,215500,2507500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_6144
3826_257745,244500,2715500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_10349
3826_264279,278500,2728500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_10556
3826_175223,222500,2550500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_7045
3826_139225,224500,2478500,Geometridae,Percnia luridaria nominoneura,成蟲,2019,345161,3826_5545
