GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291813,312500,2783500,Geometridae,Percnia suffusa,成蟲,2011,345162,3826_11663
3826_262327,326500,2724500,Geometridae,Percnia suffusa,成蟲,2011,345162,3826_10466
3826_218230,229500,2636500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_8746
3826_224244,243500,2648500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_8949
3826_288304,303500,2776500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_11561
3826_272276,275500,2744500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_10856
3826_282309,308500,2764500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_11262
3826_176709,208500,2553500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_7042
3826_273788,287500,2747500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_10958
3826_281810,309500,2763500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_11262
3826_269315,314500,2738500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_10763
3826_269811,310500,2739500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_10763
3826_287834,333500,2775500,Geometridae,Percnia suffusa,成蟲,2011,345162,3826_11567
3826_290310,309500,2780500,Geometridae,Percnia suffusa,成蟲,2011,345162,3826_11662
3826_273826,325500,2747500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_10966
3826_281310,309500,2762500,Geometridae,Percnia suffusa,成蟲,2012,345162,3826_11262
3826_272786,285500,2745500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_10958
3826_224244,243500,2648500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_8949
3826_261827,326500,2723500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_10466
3826_166217,216500,2532500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_6644
3826_157679,178500,2515500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_6336
3826_118220,219500,2436500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_4744
3826_162692,191500,2525500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_6539
3826_168203,202500,2536500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_6741
3826_279823,322500,2759500,Geometridae,Percnia suffusa,成蟲,2013,345162,3826_11165
3826_272776,275500,2745500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_10956
3826_263260,259500,2726500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_10552
3826_281309,308500,2762500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_11262
3826_290310,309500,2780500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_11662
3826_256234,233500,2712500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_10247
3826_273304,303500,2746500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_10961
3826_289826,325500,2779500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_11566
3826_273792,291500,2747500,Geometridae,Percnia suffusa,成蟲,2014,345162,3826_10959
