GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Sphingidae,Pergesa acteus,成蟲,2011,347690,3826_7440
3826_273304,303500,2746500,Sphingidae,Pergesa acteus,成蟲,2011,347690,3826_10961
3826_283305,304500,2766500,Sphingidae,Pergesa acteus,成蟲,2012,347690,3826_11361
3826_297809,308500,2795500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_11962
3826_283807,306500,2767500,Sphingidae,Pergesa acteus,幼蟲,2011,347690,3826_11362
3826_278806,305500,2757500,Sphingidae,Pergesa acteus,成蟲,2012,347690,3826_11162
3826_237248,247500,2674500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_9450
3826_204726,225500,2609500,Sphingidae,Pergesa acteus,成蟲,2012,347690,3826_8146
3826_225251,250500,2650500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_9051
3826_194706,205500,2589500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_7742
3826_291297,296500,2782500,Sphingidae,Pergesa acteus,成蟲,2012,347690,3826_11660
3826_297809,308500,2795500,Sphingidae,Pergesa acteus,成蟲,2011,347690,3826_11962
3826_237248,247500,2674500,Sphingidae,Pergesa acteus,成蟲,2012,347690,3826_9450
3826_224231,230500,2648500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_8947
3826_128235,234500,2456500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_5147
3826_227313,312500,2654500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_9063
3826_283805,304500,2767500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_11361
3826_275792,291500,2751500,Sphingidae,Pergesa acteus,成蟲,2012,347690,3826_11059
3826_152684,183500,2505500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_6137
3826_289798,297500,2779500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_11560
3826_152210,209500,2504500,Sphingidae,Pergesa acteus,幼蟲,2012,347690,3826_6042
3826_291805,304500,2783500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_11661
3826_285313,312500,2770500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_11463
3826_281309,308500,2762500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_11262
3826_210713,212500,2621500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_8443
3826_188716,215500,2577500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_7544
3826_282792,291500,2765500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_11359
3826_291329,328500,2782500,Sphingidae,Pergesa acteus,成蟲,2013,347690,3826_11666
3826_273828,327500,2747500,Sphingidae,Pergesa acteus,幼蟲,2013,347690,3826_10966
3826_152175,174500,2504500,Sphingidae,Pergesa acteus,幼蟲,2013,347690,3826_6035
