GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Erebidae,Pericyma cruegeri,成蟲,2011,346643,3826_7440
3826_242745,244500,2685500,Erebidae,Pericyma cruegeri,成蟲,2011,346643,3826_9749
3826_286306,305500,2772500,Erebidae,Pericyma cruegeri,成蟲,2011,346643,3826_11462
3826_250215,214500,2700500,Erebidae,Pericyma cruegeri,幼蟲,2012,346643,3826_10043
3826_282309,308500,2764500,Erebidae,Pericyma cruegeri,幼蟲,2012,346643,3826_11262
3826_175205,204500,2550500,Erebidae,Pericyma cruegeri,成蟲,2012,346643,3826_7041
3826_279306,305500,2758500,Erebidae,Pericyma cruegeri,成蟲,2013,346643,3826_11162
3826_175205,204500,2550500,Erebidae,Pericyma cruegeri,成蟲,2013,346643,3826_7041
3826_164183,182500,2528500,Erebidae,Pericyma cruegeri,幼蟲,2014,346643,3826_6537
3826_198197,196500,2596500,Erebidae,Pericyma cruegeri,幼蟲,2014,346643,3826_7940
3826_283307,306500,2766500,Erebidae,Pericyma cruegeri,成蟲,2013,346643,3826_11362
3826_197702,201500,2595500,Erebidae,Pericyma cruegeri,幼蟲,2014,346643,3826_7941
3826_237801,300500,2675500,Erebidae,Pericyma cruegeri,幼蟲,2014,346643,3826_9561
3826_173699,198500,2547500,Erebidae,Pericyma cruegeri,成蟲,2014,346643,3826_6940
3826_281301,300500,2762500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_11261
3826_279306,305500,2758500,Erebidae,Pericyma cruegeri,成蟲,2012,346643,3826_11162
3826_281270,269500,2762500,Erebidae,Pericyma cruegeri,幼蟲,2015,346643,3826_11254
3826_279306,305500,2758500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_11162
3826_152175,174500,2504500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_6035
3826_245724,223500,2691500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_9845
3826_195215,214500,2590500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_7843
3826_287813,312500,2775500,Erebidae,Pericyma cruegeri,幼蟲,2015,346643,3826_11563
3826_285313,312500,2770500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_11463
3826_281309,308500,2762500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_11262
3826_281810,309500,2763500,Erebidae,Pericyma cruegeri,成蟲,2015,346643,3826_11262
3826_285291,290500,2770500,Erebidae,Pericyma cruegeri,幼蟲,2012,346643,3826_11459
3826_198197,196500,2596500,Erebidae,Pericyma cruegeri,成蟲,2016,346643,3826_7940
3826_238231,230500,2676500,Erebidae,Pericyma cruegeri,幼蟲,2017,346643,3826_9547
3826_237223,222500,2674500,Erebidae,Pericyma cruegeri,幼蟲,2017,346643,3826_9445
3826_198739,238500,2597500,Erebidae,Pericyma cruegeri,成蟲,2017,346643,3826_7948
3826_279305,304500,2758500,Erebidae,Pericyma cruegeri,成蟲,2017,346643,3826_11161
3826_198197,196500,2596500,Erebidae,Pericyma cruegeri,幼蟲,2017,346643,3826_7940
3826_286306,305500,2772500,Erebidae,Pericyma cruegeri,成蟲,2017,346643,3826_11462
3826_237723,222500,2675500,Erebidae,Pericyma cruegeri,幼蟲,2017,346643,3826_9545
3826_291797,296500,2783500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_11660
3826_152675,174500,2505500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_6135
3826_151676,175500,2503500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_6036
3826_164183,182500,2528500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_6537
3826_152176,175500,2504500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_6036
3826_212726,225500,2625500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_8546
3826_151675,174500,2503500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_6035
3826_271249,248500,2742500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_10850
3826_271249,248500,2742500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_10850
3826_270749,248500,2741500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_10850
3826_266257,256500,2732500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_10652
3826_151175,174500,2502500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_6035
3826_272769,268500,2745500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_10954
3826_198197,196500,2596500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_7940
3826_238732,231500,2677500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_9547
3826_282810,309500,2765500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_11362
3826_282809,308500,2765500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_11362
3826_282784,283500,2765500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_11357
3826_272263,262500,2744500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_10853
3826_271250,249500,2742500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_10850
3826_284808,307500,2769500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_11362
3826_282784,283500,2765500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_11357
3826_281303,302500,2762500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_11261
3826_197206,205500,2594500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_7842
3826_251728,227500,2703500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10046
3826_271249,248500,2742500,Erebidae,Pericyma cruegeri,幼蟲,2019,346643,3826_10850
3826_197218,217500,2594500,Erebidae,Pericyma cruegeri,成蟲,2018,346643,3826_7844
3826_287807,306500,2775500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_11562
3826_152175,174500,2504500,Erebidae,Pericyma cruegeri,幼蟲,2018,346643,3826_6035
3826_252226,225500,2704500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10046
3826_270749,248500,2741500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10850
3826_271249,248500,2742500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10850
3826_282784,283500,2765500,Erebidae,Pericyma cruegeri,幼蟲,2019,346643,3826_11357
3826_271250,249500,2742500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10850
3826_269757,256500,2739500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10752
3826_257745,244500,2715500,Erebidae,Pericyma cruegeri,成蟲,2019,346643,3826_10349
3826_271250,249500,2742500,Erebidae,Pericyma cruegeri,幼蟲,2019,346643,3826_10850
3826_287809,308500,2775500,Erebidae,Pericyma cruegeri,幼蟲,2020,346643,3826_11562
3826_281810,309500,2763500,Erebidae,Pericyma cruegeri,成蟲,2020,346643,3826_11262
3826_187200,199500,2574500,Erebidae,Pericyma cruegeri,成蟲,2014,346643,3826_7440
3826_287813,312500,2775500,Erebidae,Pericyma cruegeri,幼蟲,2020,346643,3826_11563
3826_224243,242500,2648500,Erebidae,Pericyma cruegeri,幼蟲,2020,346643,3826_8949
3826_251728,227500,2703500,Erebidae,Pericyma cruegeri,成蟲,2020,346643,3826_10046
3826_271271,270500,2742500,Erebidae,Pericyma cruegeri,幼蟲,2020,346643,3826_10855
3826_271249,248500,2742500,Erebidae,Pericyma cruegeri,成蟲,2012,346643,3826_10850
3826_280293,292500,2760500,Erebidae,Pericyma cruegeri,幼蟲,2020,346643,3826_11259
3826_197700,199500,2595500,Erebidae,Pericyma cruegeri,幼蟲,2020,346643,3826_7940
3826_197700,199500,2595500,Erebidae,Pericyma cruegeri,成蟲,2020,346643,3826_7940
3826_238732,231500,2677500,Erebidae,Pericyma cruegeri,成蟲,2020,346643,3826_9547
3826_271249,248500,2742500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_10850
3826_231705,204500,2663500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_9241
3826_269256,255500,2738500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_10752
3826_258231,230500,2716500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_10347
3826_287813,312500,2775500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_11563
3826_245225,224500,2690500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_9845
3826_282784,283500,2765500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_11357
3826_280805,304500,2761500,Erebidae,Pericyma cruegeri,成蟲,2021,346643,3826_11261
3826_239730,229500,2679500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_9546
3826_269273,272500,2738500,Erebidae,Pericyma cruegeri,成蟲,2021,346643,3826_10755
3826_153200,199500,2506500,Erebidae,Pericyma cruegeri,幼蟲,2021,346643,3826_6140
3826_238709,208500,2677500,Erebidae,Pericyma cruegeri,幼蟲,2022,346643,3826_9542
