GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Notodontidae,Periergos magna,成蟲,2011,347011,3826_10560
3826_297809,308500,2795500,Notodontidae,Periergos magna,成蟲,2012,347011,3826_11962
3826_187200,199500,2574500,Notodontidae,Periergos magna,成蟲,2012,347011,3826_7440
3826_237242,241500,2674500,Notodontidae,Periergos magna,幼蟲,2012,347011,3826_9449
3826_252735,234500,2705500,Notodontidae,Periergos magna,成蟲,2012,347011,3826_10147
3826_282820,319500,2765500,Notodontidae,Periergos magna,成蟲,2013,347011,3826_11364
3826_274781,280500,2749500,Notodontidae,Periergos magna,幼蟲,2010,347011,3826_10957
3826_269775,274500,2739500,Notodontidae,Periergos magna,幼蟲,2012,347011,3826_10755
3826_221744,243500,2643500,Notodontidae,Periergos magna,成蟲,2013,347011,3826_8849
3826_282307,306500,2764500,Notodontidae,Periergos magna,幼蟲,2015,347011,3826_11262
3826_161762,261500,2523500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_6453
3826_264279,278500,2728500,Notodontidae,Periergos magna,成蟲,2014,347011,3826_10556
3826_270777,276500,2741500,Notodontidae,Periergos magna,成蟲,2014,347011,3826_10856
3826_198220,219500,2596500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_7944
3826_285313,312500,2770500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_11463
3826_219741,240500,2639500,Notodontidae,Periergos magna,幼蟲,2015,347011,3826_8749
3826_290310,309500,2780500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_11662
3826_293308,307500,2786500,Notodontidae,Periergos magna,成蟲,2011,347011,3826_11762
3826_293308,307500,2786500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_11762
3826_280805,304500,2761500,Notodontidae,Periergos magna,幼蟲,2015,347011,3826_11261
3826_287810,309500,2775500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_11562
3826_239300,299500,2678500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_9560
3826_290310,309500,2780500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11662
3826_287311,310500,2774500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11463
3826_275307,306500,2750500,Notodontidae,Periergos magna,幼蟲,2015,347011,3826_11062
3826_288318,317500,2776500,Notodontidae,Periergos magna,幼蟲,2015,347011,3826_11564
3826_293303,302500,2786500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11761
3826_281810,309500,2763500,Notodontidae,Periergos magna,成蟲,2015,347011,3826_11262
3826_283810,309500,2767500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11362
3826_276334,333500,2752500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11067
3826_285830,329500,2771500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11466
3826_287813,312500,2775500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11563
3826_287810,309500,2775500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11562
3826_287843,342500,2775500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11569
3826_286336,335500,2772500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11468
3826_289794,293500,2779500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11559
3826_269280,279500,2738500,Notodontidae,Periergos magna,幼蟲,2014,347011,3826_10756
3826_182214,213500,2564500,Notodontidae,Periergos magna,幼蟲,2016,347011,3826_7243
3826_281810,309500,2763500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11262
3826_288310,309500,2776500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11562
3826_212729,228500,2625500,Notodontidae,Periergos magna,成蟲,2014,347011,3826_8546
3826_275832,331500,2751500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11067
3826_263260,259500,2726500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_10552
3826_263753,252500,2727500,Notodontidae,Periergos magna,幼蟲,2017,347011,3826_10551
3826_282809,308500,2765500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_11362
3826_280805,304500,2761500,Notodontidae,Periergos magna,成蟲,2016,347011,3826_11261
3826_280321,320500,2760500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_11265
3826_195214,213500,2590500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_7843
3826_197218,217500,2594500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_7844
3826_281309,308500,2762500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_11262
3826_290808,307500,2781500,Notodontidae,Periergos magna,幼蟲,2017,347011,3826_11662
3826_281817,316500,2763500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_11264
3826_293303,302500,2786500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_11761
3826_219741,240500,2639500,Notodontidae,Periergos magna,幼蟲,2017,347011,3826_8749
3826_256239,238500,2712500,Notodontidae,Periergos magna,成蟲,2017,347011,3826_10248
3826_281810,309500,2763500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_11262
3826_290310,309500,2780500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_11662
3826_219231,230500,2638500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_8747
3826_218734,233500,2637500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_8747
3826_198220,219500,2596500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_7944
3826_275780,279500,2751500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_11056
3826_240741,240500,2681500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_9649
3826_240738,237500,2681500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_9648
3826_281309,308500,2762500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_11262
3826_228252,251500,2656500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_9151
3826_246782,281500,2693500,Notodontidae,Periergos magna,成蟲,2018,347011,3826_9857
3826_281810,309500,2763500,Notodontidae,Periergos magna,成蟲,2019,347011,3826_11262
3826_281303,302500,2762500,Notodontidae,Periergos magna,成蟲,2019,347011,3826_11261
3826_287843,342500,2775500,Notodontidae,Periergos magna,成蟲,2019,347011,3826_11569
