GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_184215,214500,2568500,Geometridae,Perixera decretaria,成蟲,2016,345165,3826_7343
3826_187200,199500,2574500,Geometridae,Perixera decretaria,成蟲,2013,345165,3826_7440
3826_280830,329500,2761500,Geometridae,Perixera decretaria,成蟲,2013,345165,3826_11266
3826_264279,278500,2728500,Geometridae,Perixera decretaria,成蟲,2014,345165,3826_10556
3826_287813,312500,2775500,Geometridae,Perixera decretaria,成蟲,2014,345165,3826_11563
3826_281301,300500,2762500,Geometridae,Perixera decretaria,成蟲,2014,345165,3826_11261
3826_280304,303500,2760500,Geometridae,Perixera decretaria,成蟲,2015,345165,3826_11261
3826_274316,315500,2748500,Geometridae,Perixera decretaria,成蟲,2016,345165,3826_10964
3826_273279,278500,2746500,Geometridae,Perixera decretaria,成蟲,2013,345165,3826_10956
3826_281810,309500,2763500,Geometridae,Perixera decretaria,成蟲,2016,345165,3826_11262
3826_228748,247500,2657500,Geometridae,Perixera decretaria,幼蟲,2014,345165,3826_9150
3826_200230,229500,2600500,Geometridae,Perixera decretaria,成蟲,2016,345165,3826_8046
3826_228809,308500,2657500,Geometridae,Perixera decretaria,幼蟲,2016,345165,3826_9162
3826_224749,248500,2649500,Geometridae,Perixera decretaria,成蟲,2016,345165,3826_8950
3826_281812,311500,2763500,Geometridae,Perixera decretaria,成蟲,2017,345165,3826_11263
3826_175725,224500,2551500,Geometridae,Perixera decretaria,成蟲,2014,345165,3826_7045
3826_237303,302500,2674500,Geometridae,Perixera decretaria,成蟲,2017,345165,3826_9461
3826_237801,300500,2675500,Geometridae,Perixera decretaria,成蟲,2017,345165,3826_9561
3826_281810,309500,2763500,Geometridae,Perixera decretaria,成蟲,2017,345165,3826_11262
3826_190782,281500,2581500,Geometridae,Perixera decretaria,成蟲,2016,345165,3826_7657
3826_224749,248500,2649500,Geometridae,Perixera decretaria,成蟲,2017,345165,3826_8950
3826_293308,307500,2786500,Geometridae,Perixera decretaria,成蟲,2018,345165,3826_11762
3826_214744,243500,2629500,Geometridae,Perixera decretaria,成蟲,2018,345165,3826_8549
3826_262305,304500,2724500,Geometridae,Perixera decretaria,成蟲,2018,345165,3826_10461
3826_281810,309500,2763500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_11262
3826_238800,299500,2677500,Geometridae,Perixera decretaria,成蟲,2018,345165,3826_9560
3826_255743,242500,2711500,Geometridae,Perixera decretaria,成蟲,2018,345165,3826_10249
3826_255743,242500,2711500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10249
3826_269273,272500,2738500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10755
3826_273788,287500,2747500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10958
3826_286321,320500,2772500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_11465
3826_269757,256500,2739500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10752
3826_236813,312500,2673500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_9463
3826_273786,285500,2747500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10958
3826_262824,323500,2725500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10565
3826_272276,275500,2744500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10856
3826_197218,217500,2594500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_7844
3826_265768,267500,2731500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10654
3826_282822,321500,2765500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_11365
3826_276802,301500,2753500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_11061
3826_274806,305500,2749500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10962
3826_238800,299500,2677500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_9560
3826_281310,309500,2762500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_11262
3826_281811,310500,2763500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_11263
3826_280809,308500,2761500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_11262
3826_274304,303500,2748500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10961
3826_281810,309500,2763500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_11262
3826_273760,259500,2747500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10952
3826_270801,300500,2741500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10861
3826_175222,221500,2550500,Geometridae,Perixera decretaria,成蟲,2014,345165,3826_7045
3826_257745,244500,2715500,Geometridae,Perixera decretaria,成蟲,2019,345165,3826_10349
3826_265782,281500,2731500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10657
3826_272276,275500,2744500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10856
3826_269273,272500,2738500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10755
3826_273788,287500,2747500,Geometridae,Perixera decretaria,成蟲,2020,345165,3826_10958
3826_170218,217500,2540500,Geometridae,Perixera decretaria,成蟲,2015,345165,3826_6844
3826_290309,308500,2780500,Geometridae,Perixera decretaria,成蟲,2015,345165,3826_11662
