GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_239301,300500,2678500,Drepanidae,Phalacra strigata insulicola,成蟲,2011,344450,3826_9561
3826_290310,309500,2780500,Drepanidae,Phalacra strigata insulicola,成蟲,2011,344450,3826_11662
3826_187200,199500,2574500,Drepanidae,Phalacra strigata insulicola,成蟲,2011,344450,3826_7440
3826_281313,312500,2762500,Drepanidae,Phalacra strigata insulicola,成蟲,2011,344450,3826_11263
3826_293303,302500,2786500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_11761
3826_263294,293500,2726500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_10559
3826_273788,287500,2747500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_10958
3826_272275,274500,2744500,Drepanidae,Phalacra strigata insulicola,成蟲,2013,344450,3826_10855
3826_274781,280500,2749500,Drepanidae,Phalacra strigata insulicola,成蟲,2013,344450,3826_10957
3826_267778,277500,2735500,Drepanidae,Phalacra strigata insulicola,成蟲,2013,344450,3826_10756
3826_269280,279500,2738500,Drepanidae,Phalacra strigata insulicola,成蟲,2013,344450,3826_10756
3826_272776,275500,2745500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_10956
3826_291302,301500,2782500,Drepanidae,Phalacra strigata insulicola,成蟲,2013,344450,3826_11661
3826_270777,276500,2741500,Drepanidae,Phalacra strigata insulicola,成蟲,2014,344450,3826_10856
3826_249749,248500,2699500,Drepanidae,Phalacra strigata insulicola,成蟲,2014,344450,3826_9950
3826_239740,239500,2679500,Drepanidae,Phalacra strigata insulicola,成蟲,2013,344450,3826_9548
3826_187200,199500,2574500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_7440
3826_237248,247500,2674500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_9450
3826_234314,313500,2668500,Drepanidae,Phalacra strigata insulicola,成蟲,2014,344450,3826_9363
3826_271279,278500,2742500,Drepanidae,Phalacra strigata insulicola,成蟲,2014,344450,3826_10856
3826_263798,297500,2727500,Drepanidae,Phalacra strigata insulicola,成蟲,2014,344450,3826_10560
3826_232753,252500,2665500,Drepanidae,Phalacra strigata insulicola,成蟲,2014,344450,3826_9351
3826_273796,295500,2747500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_10960
3826_293303,302500,2786500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_11761
3826_151747,246500,2503500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_6050
3826_234267,266500,2668500,Drepanidae,Phalacra strigata insulicola,成蟲,2010,344450,3826_9354
3826_238794,293500,2677500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_9559
3826_290310,309500,2780500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_11662
3826_266771,270500,2733500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_10655
3826_273304,303500,2746500,Drepanidae,Phalacra strigata insulicola,成蟲,2012,344450,3826_10961
3826_277800,299500,2755500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_11160
3826_281810,309500,2763500,Drepanidae,Phalacra strigata insulicola,成蟲,2015,344450,3826_11262
3826_281810,309500,2763500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_11262
3826_253247,246500,2706500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_10150
3826_175222,221500,2550500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_7045
3826_269811,310500,2739500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_10763
3826_151747,246500,2503500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_6050
3826_195213,212500,2590500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_7843
3826_190782,281500,2581500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_7657
3826_229248,247500,2658500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_9150
3826_274307,306500,2748500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_10962
3826_293303,302500,2786500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_11761
3826_290310,309500,2780500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_11662
3826_287843,342500,2775500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_11569
3826_274805,304500,2749500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_10961
3826_229767,266500,2659500,Drepanidae,Phalacra strigata insulicola,成蟲,2016,344450,3826_9154
