GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_278806,305500,2757500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2012,345180,3826_11162
3826_275267,266500,2750500,Geometridae,Phthonandria atrilineata cuneilinearia,幼蟲,2012,345180,3826_11054
3826_246737,236500,2693500,Geometridae,Phthonandria atrilineata cuneilinearia,幼蟲,2012,345180,3826_9848
3826_278306,305500,2756500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_11162
3826_278806,305500,2757500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_11162
3826_280304,303500,2760500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2012,345180,3826_11261
3826_281301,300500,2762500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11261
3826_220810,309500,2641500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_8862
3826_227307,306500,2654500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_9062
3826_265289,288500,2730500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_10658
3826_291302,301500,2782500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11661
3826_286316,315500,2772500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11464
3826_288308,307500,2776500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11562
3826_291822,321500,2783500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11665
3826_280787,286500,2761500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11258
3826_280809,308500,2761500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11262
3826_287813,312500,2775500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11563
3826_225251,250500,2650500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_9051
3826_220810,309500,2641500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_8862
3826_288310,309500,2776500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11562
3826_281820,319500,2763500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_11264
3826_273760,259500,2747500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2014,345180,3826_10952
3826_298802,301500,2797500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11961
3826_285793,292500,2771500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11459
3826_280787,286500,2761500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11258
3826_280304,303500,2760500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11261
3826_279306,305500,2758500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_11162
3826_234267,266500,2668500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2010,345180,3826_9354
3826_281309,308500,2762500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11262
3826_281301,300500,2762500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11261
3826_290310,309500,2780500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11662
3826_277769,268500,2755500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_11154
3826_273788,287500,2747500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_10958
3826_281810,309500,2763500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_11262
3826_290310,309500,2780500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11662
3826_166276,275500,2532500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_6656
3826_281810,309500,2763500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11262
3826_281309,308500,2762500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11262
3826_151747,246500,2503500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2015,345180,3826_6050
3826_291801,300500,2783500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_11661
3826_221310,309500,2642500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_8862
3826_284810,309500,2769500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11362
3826_158223,222500,2516500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_6345
3826_284812,311500,2769500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11363
3826_282809,308500,2765500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11362
3826_239300,299500,2678500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_9560
3826_282317,316500,2764500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_11264
3826_287843,342500,2775500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11569
3826_218230,229500,2636500,Geometridae,Phthonandria atrilineata cuneilinearia,幼蟲,2016,345180,3826_8746
3826_222235,234500,2644500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2013,345180,3826_8847
3826_263260,259500,2726500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_10552
3826_284310,309500,2768500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11362
3826_292297,296500,2784500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11660
3826_281301,300500,2762500,Geometridae,Phthonandria atrilineata cuneilinearia,成蟲,2016,345180,3826_11261
