GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_290304,303500,2780500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_11661
3826_287813,312500,2775500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_11563
3826_288838,337500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_11568
3826_268826,325500,2737500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_10766
3826_280304,303500,2760500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11261
3826_277270,269500,2754500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_11054
3826_282307,306500,2764500,Zygaenidae,Pidorus atratus,成蟲,2011,348131,3826_11262
3826_288310,309500,2776500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11562
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11562
3826_263260,259500,2726500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_10552
3826_287813,312500,2775500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11563
3826_277759,258500,2755500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11152
3826_246737,236500,2693500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_9848
3826_283783,282500,2767500,Zygaenidae,Pidorus atratus,幼蟲,2013,348131,3826_11357
3826_285313,312500,2770500,Zygaenidae,Pidorus atratus,幼蟲,2013,348131,3826_11463
3826_289309,308500,2778500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_11562
3826_293301,300500,2786500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11761
3826_154218,217500,2508500,Zygaenidae,Pidorus atratus,成蟲,2013,348131,3826_6144
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2012,348131,3826_11562
3826_289309,308500,2778500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11562
3826_224769,268500,2649500,Zygaenidae,Pidorus atratus,成蟲,2013,348131,3826_8954
3826_284347,346500,2768500,Zygaenidae,Pidorus atratus,幼蟲,2013,348131,3826_11370
3826_290304,303500,2780500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11661
3826_288811,310500,2777500,Zygaenidae,Pidorus atratus,成蟲,2013,348131,3826_11563
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11562
3826_243237,236500,2686500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_9748
3826_287813,312500,2775500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11563
3826_280805,304500,2761500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11261
3826_280316,315500,2760500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11264
3826_287813,312500,2775500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11563
3826_290304,303500,2780500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11661
3826_290321,320500,2780500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11665
3826_290305,304500,2780500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11661
3826_283783,282500,2767500,Zygaenidae,Pidorus atratus,幼蟲,2015,348131,3826_11357
3826_274305,304500,2748500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_10961
3826_290310,309500,2780500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11662
3826_290310,309500,2780500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11662
3826_280805,304500,2761500,Zygaenidae,Pidorus atratus,幼蟲,2013,348131,3826_11261
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,成蟲,2014,348131,3826_11562
3826_154714,213500,2509500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_6143
3826_224244,243500,2648500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_8949
3826_280304,303500,2760500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11261
3826_290315,314500,2780500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11663
3826_281844,343500,2763500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11269
3826_281341,340500,2762500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11269
3826_237229,228500,2674500,Zygaenidae,Pidorus atratus,幼蟲,2015,348131,3826_9446
3826_276808,307500,2753500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11062
3826_291801,300500,2783500,Zygaenidae,Pidorus atratus,成蟲,2012,348131,3826_11661
3826_289311,310500,2778500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11563
3826_290309,308500,2780500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11662
3826_287814,313500,2775500,Zygaenidae,Pidorus atratus,幼蟲,2013,348131,3826_11563
3826_282812,311500,2765500,Zygaenidae,Pidorus atratus,成蟲,2015,348131,3826_11363
3826_288810,309500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2015,348131,3826_11562
3826_280304,303500,2760500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11261
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11562
3826_287813,312500,2775500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11563
3826_285313,312500,2770500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11463
3826_288810,309500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11562
3826_285313,312500,2770500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11463
3826_275272,271500,2750500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11055
3826_288810,309500,2777500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11562
3826_288310,309500,2776500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11562
3826_289309,308500,2778500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11562
3826_287811,310500,2775500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11563
3826_289826,325500,2779500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11566
3826_281310,309500,2762500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11262
3826_290310,309500,2780500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11662
3826_289341,340500,2778500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11569
3826_285312,311500,2770500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11463
3826_287787,286500,2775500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11558
3826_282784,283500,2765500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11357
3826_289825,324500,2779500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11565
3826_282806,305500,2765500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11362
3826_288310,309500,2776500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11562
3826_285818,317500,2771500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11464
3826_287327,326500,2774500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11466
3826_290309,308500,2780500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11662
3826_290319,318500,2780500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11664
3826_205212,211500,2610500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_8243
3826_283764,263500,2767500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11353
3826_290309,308500,2780500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11662
3826_290306,305500,2780500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11662
3826_289810,309500,2779500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11562
3826_292805,304500,2785500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11761
3826_223304,303500,2646500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_8961
3826_221742,241500,2643500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_8849
3826_291309,308500,2782500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11662
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11562
3826_281341,340500,2762500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_11269
3826_279782,281500,2759500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11157
3826_237230,229500,2674500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_9446
3826_283783,282500,2767500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11357
3826_285313,312500,2770500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11463
3826_287811,310500,2775500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11563
3826_282784,283500,2765500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11357
3826_261320,319500,2722500,Zygaenidae,Pidorus atratus,成蟲,2016,348131,3826_10464
3826_287813,312500,2775500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11563
3826_289309,308500,2778500,Zygaenidae,Pidorus atratus,幼蟲,2016,348131,3826_11562
3826_265257,256500,2730500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_10652
3826_289309,308500,2778500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11562
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11562
3826_288808,307500,2777500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11562
3826_296802,301500,2793500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11861
3826_279267,266500,2758500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11154
3826_190275,274500,2580500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_7655
3826_217306,305500,2634500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_8662
3826_189202,201500,2578500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_7541
3826_285818,317500,2771500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11464
3826_283284,283500,2766500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11357
3826_281309,308500,2762500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_11262
3826_263260,259500,2726500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_10552
3826_281309,308500,2762500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11262
3826_292805,304500,2785500,Zygaenidae,Pidorus atratus,幼蟲,2014,348131,3826_11761
3826_262249,248500,2724500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_10450
3826_289810,309500,2779500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11562
3826_272252,251500,2744500,Zygaenidae,Pidorus atratus,成蟲,2017,348131,3826_10851
3826_290310,309500,2780500,Zygaenidae,Pidorus atratus,幼蟲,2017,348131,3826_11662
