GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Erebidae,Plecoptera siderogramma,成蟲,2012,431555,3826_8146
3826_292307,306500,2784500,Erebidae,Plecoptera siderogramma,成蟲,2012,431555,3826_11662
3826_273788,287500,2747500,Erebidae,Plecoptera siderogramma,成蟲,2012,431555,3826_10958
3826_264811,310500,2729500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_10563
3826_273788,287500,2747500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_10958
3826_271769,268500,2743500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_10854
3826_231750,249500,2663500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_9250
3826_269315,314500,2738500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_10763
3826_269811,310500,2739500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_10763
3826_293303,302500,2786500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_11761
3826_293303,302500,2786500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_11761
3826_139724,223500,2479500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_5545
3826_227307,306500,2654500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_9062
3826_292806,305500,2785500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_11762
3826_227258,257500,2654500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_9052
3826_161256,255500,2522500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_6452
3826_221310,309500,2642500,Erebidae,Plecoptera siderogramma,成蟲,2015,431555,3826_8862
3826_264279,278500,2728500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_10556
3826_280340,339500,2760500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_11268
3826_263798,297500,2727500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_10560
3826_256833,332500,2713500,Erebidae,Plecoptera siderogramma,成蟲,2015,431555,3826_10267
3826_170218,217500,2540500,Erebidae,Plecoptera siderogramma,成蟲,2015,431555,3826_6844
3826_264279,278500,2728500,Erebidae,Plecoptera siderogramma,成蟲,2015,431555,3826_10556
3826_151747,246500,2503500,Erebidae,Plecoptera siderogramma,成蟲,2015,431555,3826_6050
3826_263794,293500,2727500,Erebidae,Plecoptera siderogramma,成蟲,2012,431555,3826_10559
3826_227250,249500,2654500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_9050
3826_175724,223500,2551500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_7045
3826_229248,247500,2658500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_9150
3826_151747,246500,2503500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_6050
3826_269280,279500,2738500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_10756
3826_293303,302500,2786500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_11761
3826_231268,267500,2662500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_9254
3826_229266,265500,2658500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_9154
3826_277327,326500,2754500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_11066
3826_154218,217500,2508500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_6144
3826_190782,281500,2581500,Erebidae,Plecoptera siderogramma,成蟲,2016,431555,3826_7657
3826_293303,302500,2786500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_11761
3826_206230,229500,2612500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_8246
3826_227759,258500,2655500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_9152
3826_256760,259500,2713500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_10252
3826_228252,251500,2656500,Erebidae,Plecoptera siderogramma,幼蟲,2017,431555,3826_9151
3826_289337,336500,2778500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_11568
3826_276802,301500,2753500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_11061
3826_275832,331500,2751500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_11067
3826_286321,320500,2772500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_11465
3826_267278,277500,2734500,Erebidae,Plecoptera siderogramma,成蟲,2017,431555,3826_10656
3826_154218,217500,2508500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_6144
3826_190782,281500,2581500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_7657
3826_293303,302500,2786500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_11761
3826_196718,217500,2593500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_7844
3826_264757,256500,2729500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_10552
3826_262759,258500,2725500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_10552
3826_256748,247500,2713500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_10250
3826_222739,238500,2645500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_8948
3826_259754,253500,2719500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_10351
3826_269271,270500,2738500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_10755
3826_255743,242500,2711500,Erebidae,Plecoptera siderogramma,成蟲,2018,431555,3826_10249
3826_236809,308500,2673500,Erebidae,Plecoptera siderogramma,成蟲,2011,431555,3826_9462
3826_274798,297500,2749500,Erebidae,Plecoptera siderogramma,成蟲,2019,431555,3826_10960
3826_214722,221500,2629500,Erebidae,Plecoptera siderogramma,成蟲,2019,431555,3826_8545
3826_257745,244500,2715500,Erebidae,Plecoptera siderogramma,成蟲,2019,431555,3826_10349
3826_256760,259500,2713500,Erebidae,Plecoptera siderogramma,成蟲,2019,431555,3826_10252
3826_159220,219500,2518500,Erebidae,Plecoptera siderogramma,成蟲,2015,431555,3826_6344
3826_197218,217500,2594500,Erebidae,Plecoptera siderogramma,成蟲,2019,431555,3826_7844
3826_237230,229500,2674500,Erebidae,Plecoptera siderogramma,成蟲,2021,431555,3826_9446
3826_139724,223500,2479500,Erebidae,Plecoptera siderogramma,成蟲,2013,431555,3826_5545
3826_170218,217500,2540500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_6844
3826_153720,219500,2507500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_6144
3826_273788,287500,2747500,Erebidae,Plecoptera siderogramma,成蟲,2020,431555,3826_10958
3826_175224,223500,2550500,Erebidae,Plecoptera siderogramma,成蟲,2020,431555,3826_7045
3826_264279,278500,2728500,Erebidae,Plecoptera siderogramma,成蟲,2020,431555,3826_10556
3826_281810,309500,2763500,Erebidae,Plecoptera siderogramma,成蟲,2020,431555,3826_11262
3826_291805,304500,2783500,Erebidae,Plecoptera siderogramma,成蟲,2014,431555,3826_11661
