GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287813,312500,2775500,Geometridae,Plesiomorpha flaviceps,幼蟲,2012,345190,3826_11563
3826_272277,276500,2744500,Geometridae,Plesiomorpha flaviceps,成蟲,2012,345190,3826_10856
3826_273788,287500,2747500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_10958
3826_150219,218500,2500500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_6044
3826_287813,312500,2775500,Geometridae,Plesiomorpha flaviceps,成蟲,2012,345190,3826_11563
3826_292307,306500,2784500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_11662
3826_286306,305500,2772500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_11462
3826_273826,325500,2747500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_10966
3826_287787,286500,2775500,Geometridae,Plesiomorpha flaviceps,幼蟲,2014,345190,3826_11558
3826_285293,292500,2770500,Geometridae,Plesiomorpha flaviceps,幼蟲,2014,345190,3826_11459
3826_280787,286500,2761500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_11258
3826_281309,308500,2762500,Geometridae,Plesiomorpha flaviceps,成蟲,2014,345190,3826_11262
3826_259800,299500,2719500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_10360
3826_289309,308500,2778500,Geometridae,Plesiomorpha flaviceps,幼蟲,2014,345190,3826_11562
3826_287813,312500,2775500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_11563
3826_293308,307500,2786500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_11762
3826_280304,303500,2760500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_11261
3826_293303,302500,2786500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_11761
3826_280834,333500,2761500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_11267
3826_281309,308500,2762500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_11262
3826_275267,266500,2750500,Geometridae,Plesiomorpha flaviceps,成蟲,2013,345190,3826_11054
3826_290804,303500,2781500,Geometridae,Plesiomorpha flaviceps,成蟲,2015,345190,3826_11661
3826_289309,308500,2778500,Geometridae,Plesiomorpha flaviceps,幼蟲,2020,345190,3826_11562
3826_287811,310500,2775500,Geometridae,Plesiomorpha flaviceps,幼蟲,2016,345190,3826_11563
3826_293308,307500,2786500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_11762
3826_152684,183500,2505500,Geometridae,Plesiomorpha flaviceps,幼蟲,2016,345190,3826_6137
3826_224226,225500,2648500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_8946
3826_287813,312500,2775500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_11563
3826_273282,281500,2746500,Geometridae,Plesiomorpha flaviceps,幼蟲,2016,345190,3826_10957
3826_286306,305500,2772500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_11462
3826_298802,301500,2797500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_11961
3826_231705,204500,2663500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_9241
3826_293303,302500,2786500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_11761
3826_287809,308500,2775500,Geometridae,Plesiomorpha flaviceps,幼蟲,2016,345190,3826_11562
3826_287810,309500,2775500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_11562
3826_285313,312500,2770500,Geometridae,Plesiomorpha flaviceps,幼蟲,2016,345190,3826_11463
3826_190782,281500,2581500,Geometridae,Plesiomorpha flaviceps,成蟲,2016,345190,3826_7657
3826_292307,306500,2784500,Geometridae,Plesiomorpha flaviceps,幼蟲,2017,345190,3826_11662
3826_293303,302500,2786500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11761
3826_281810,309500,2763500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11262
3826_282784,283500,2765500,Geometridae,Plesiomorpha flaviceps,幼蟲,2017,345190,3826_11357
3826_291297,296500,2782500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11660
3826_283807,306500,2767500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11362
3826_279305,304500,2758500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11161
3826_281309,308500,2762500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11262
3826_292307,306500,2784500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11662
3826_286321,320500,2772500,Geometridae,Plesiomorpha flaviceps,成蟲,2017,345190,3826_11465
3826_281309,308500,2762500,Geometridae,Plesiomorpha flaviceps,幼蟲,2014,345190,3826_11262
3826_287294,293500,2774500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_11459
3826_289803,302500,2779500,Geometridae,Plesiomorpha flaviceps,幼蟲,2018,345190,3826_11561
3826_283832,331500,2767500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_11367
3826_293303,302500,2786500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_11761
3826_190782,281500,2581500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_7657
3826_285830,329500,2771500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_11466
3826_281810,309500,2763500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_11262
3826_283807,306500,2767500,Geometridae,Plesiomorpha flaviceps,成蟲,2018,345190,3826_11362
3826_292307,306500,2784500,Geometridae,Plesiomorpha flaviceps,幼蟲,2018,345190,3826_11662
