GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263294,293500,2726500,Geometridae,Pogonopygia nigralbata,成蟲,2012,345192,3826_10559
3826_273788,287500,2747500,Geometridae,Pogonopygia nigralbata,成蟲,2012,345192,3826_10958
3826_175725,224500,2551500,Geometridae,Pogonopygia nigralbata,成蟲,2013,345192,3826_7045
3826_200231,230500,2600500,Geometridae,Pogonopygia nigralbata,成蟲,2012,345192,3826_8047
3826_272276,275500,2744500,Geometridae,Pogonopygia nigralbata,成蟲,2013,345192,3826_10856
3826_282309,308500,2764500,Geometridae,Pogonopygia nigralbata,成蟲,2013,345192,3826_11262
3826_272780,279500,2745500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_10956
3826_263260,259500,2726500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_10552
3826_175222,221500,2550500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_7045
3826_222739,238500,2645500,Geometridae,Pogonopygia nigralbata,成蟲,2013,345192,3826_8948
3826_222739,238500,2645500,Geometridae,Pogonopygia nigralbata,幼蟲,2013,345192,3826_8948
3826_281810,309500,2763500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_11262
3826_281309,308500,2762500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_11262
3826_281820,319500,2763500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_11264
3826_265790,289500,2731500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_10658
3826_227745,244500,2655500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_9149
3826_264268,267500,2728500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_10554
3826_253242,241500,2706500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_10149
3826_287813,312500,2775500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_11563
3826_279306,305500,2758500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_11162
3826_275786,285500,2751500,Geometridae,Pogonopygia nigralbata,成蟲,2015,345192,3826_11058
3826_211732,231500,2623500,Geometridae,Pogonopygia nigralbata,成蟲,2015,345192,3826_8447
3826_273279,278500,2746500,Geometridae,Pogonopygia nigralbata,成蟲,2013,345192,3826_10956
3826_281810,309500,2763500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_11262
3826_140224,223500,2480500,Geometridae,Pogonopygia nigralbata,成蟲,2013,345192,3826_5645
3826_121735,234500,2443500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_4847
3826_293303,302500,2786500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_11761
3826_264283,282500,2728500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_10557
3826_276297,296500,2752500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_11060
3826_269280,279500,2738500,Geometridae,Pogonopygia nigralbata,成蟲,2014,345192,3826_10756
3826_277318,317500,2754500,Geometridae,Pogonopygia nigralbata,幼蟲,2016,345192,3826_11064
3826_284324,323500,2768500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_11365
3826_281813,312500,2763500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_11263
3826_263260,259500,2726500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_10552
3826_265790,289500,2731500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_10658
3826_273792,291500,2747500,Geometridae,Pogonopygia nigralbata,成蟲,2016,345192,3826_10959
