GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269312,311500,2738500,Geometridae,Prochasma squalida,成蟲,2011,434969,3826_10763
3826_263798,297500,2727500,Geometridae,Prochasma squalida,成蟲,2011,434969,3826_10560
3826_206243,242500,2612500,Geometridae,Prochasma squalida,成蟲,2012,434969,3826_8249
3826_263798,297500,2727500,Geometridae,Prochasma squalida,成蟲,2012,434969,3826_10560
3826_198726,225500,2597500,Geometridae,Prochasma squalida,成蟲,2012,434969,3826_7946
3826_253799,298500,2707500,Geometridae,Prochasma squalida,成蟲,2013,434969,3826_10160
3826_200731,230500,2601500,Geometridae,Prochasma squalida,成蟲,2014,434969,3826_8047
3826_281820,319500,2763500,Geometridae,Prochasma squalida,成蟲,2013,434969,3826_11264
3826_199720,219500,2599500,Geometridae,Prochasma squalida,成蟲,2015,434969,3826_7944
3826_263798,297500,2727500,Geometridae,Prochasma squalida,成蟲,2014,434969,3826_10560
3826_273788,287500,2747500,Geometridae,Prochasma squalida,成蟲,2013,434969,3826_10958
3826_207230,229500,2614500,Geometridae,Prochasma squalida,成蟲,2015,434969,3826_8246
3826_259788,287500,2719500,Geometridae,Prochasma squalida,成蟲,2015,434969,3826_10358
3826_140225,224500,2480500,Geometridae,Prochasma squalida,成蟲,2012,434969,3826_5645
3826_269811,310500,2739500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_10763
3826_276297,296500,2752500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_11060
3826_263798,297500,2727500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_10560
3826_188240,239500,2576500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_7548
3826_206230,229500,2612500,Geometridae,Prochasma squalida,成蟲,2013,434969,3826_8246
3826_234267,266500,2668500,Geometridae,Prochasma squalida,成蟲,2013,434969,3826_9354
3826_175223,222500,2550500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_7045
3826_197241,240500,2594500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_7849
3826_209230,229500,2618500,Geometridae,Prochasma squalida,成蟲,2017,434969,3826_8346
3826_237783,282500,2675500,Geometridae,Prochasma squalida,成蟲,2017,434969,3826_9557
3826_200229,228500,2600500,Geometridae,Prochasma squalida,成蟲,2017,434969,3826_8046
3826_273792,291500,2747500,Geometridae,Prochasma squalida,成蟲,2017,434969,3826_10959
3826_139225,224500,2478500,Geometridae,Prochasma squalida,成蟲,2015,434969,3826_5545
3826_175724,223500,2551500,Geometridae,Prochasma squalida,成蟲,2015,434969,3826_7045
3826_207230,229500,2614500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_8246
3826_280320,319500,2760500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_11264
3826_263798,297500,2727500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_10560
3826_281813,312500,2763500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_11263
3826_241751,250500,2683500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_9651
3826_254805,304500,2709500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_10161
3826_260294,293500,2720500,Geometridae,Prochasma squalida,成蟲,2016,434969,3826_10459
3826_139724,223500,2479500,Geometridae,Prochasma squalida,成蟲,2012,434969,3826_5545
3826_281334,333500,2762500,Geometridae,Prochasma squalida,成蟲,2018,434969,3826_11267
3826_175224,223500,2550500,Geometridae,Prochasma squalida,成蟲,2019,434969,3826_7045
3826_241751,250500,2683500,Geometridae,Prochasma squalida,成蟲,2019,434969,3826_9651
3826_280320,319500,2760500,Geometridae,Prochasma squalida,成蟲,2019,434969,3826_11264
