GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_122730,229500,2445500,Erebidae,Prolophota trigonifera,成蟲,2011,346672,3826_4946
3826_262327,326500,2724500,Erebidae,Prolophota trigonifera,成蟲,2011,346672,3826_10466
3826_287811,310500,2775500,Erebidae,Prolophota trigonifera,成蟲,2012,346672,3826_11563
3826_276808,307500,2753500,Erebidae,Prolophota trigonifera,成蟲,2012,346672,3826_11062
3826_237801,300500,2675500,Erebidae,Prolophota trigonifera,成蟲,2012,346672,3826_9561
3826_287813,312500,2775500,Erebidae,Prolophota trigonifera,成蟲,2011,346672,3826_11563
3826_272276,275500,2744500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_10856
3826_274781,280500,2749500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_10957
3826_281810,309500,2763500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_11262
3826_285311,310500,2770500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11463
3826_273280,279500,2746500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_10956
3826_272776,275500,2745500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_10956
3826_279306,305500,2758500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11162
3826_288310,309500,2776500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11562
3826_283807,306500,2767500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11362
3826_280304,303500,2760500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11261
3826_291300,299500,2782500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11660
3826_228223,222500,2656500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_9145
3826_281810,309500,2763500,Erebidae,Prolophota trigonifera,成蟲,2015,346672,3826_11262
3826_287813,312500,2775500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_11563
3826_280316,315500,2760500,Erebidae,Prolophota trigonifera,成蟲,2015,346672,3826_11264
3826_285293,292500,2770500,Erebidae,Prolophota trigonifera,成蟲,2015,346672,3826_11459
3826_272277,276500,2744500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_10856
3826_273279,278500,2746500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_10956
3826_287843,342500,2775500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_11569
3826_152175,174500,2504500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_6035
3826_289308,307500,2778500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_11562
3826_275786,285500,2751500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_11058
3826_290310,309500,2780500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_11662
3826_282809,308500,2765500,Erebidae,Prolophota trigonifera,成蟲,2013,346672,3826_11362
3826_267279,278500,2734500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_10656
3826_159220,219500,2518500,Erebidae,Prolophota trigonifera,成蟲,2015,346672,3826_6344
3826_281309,308500,2762500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_11262
3826_287843,342500,2775500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_11569
3826_174221,220500,2548500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_6945
3826_175725,224500,2551500,Erebidae,Prolophota trigonifera,成蟲,2014,346672,3826_7045
3826_282307,306500,2764500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_11262
3826_285313,312500,2770500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_11463
3826_282317,316500,2764500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_11264
3826_292313,312500,2784500,Erebidae,Prolophota trigonifera,成蟲,2016,346672,3826_11663
3826_252226,225500,2704500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_10046
3826_280805,304500,2761500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_11261
3826_228809,308500,2657500,Erebidae,Prolophota trigonifera,成蟲,2015,346672,3826_9162
3826_282809,308500,2765500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_11362
3826_268764,263500,2737500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_10753
3826_281810,309500,2763500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_11262
3826_238230,229500,2676500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_9546
3826_272273,272500,2744500,Erebidae,Prolophota trigonifera,成蟲,2017,346672,3826_10855
