GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219243,242500,2638500,Uraniidae,Pseudomicronia advocataria,成蟲,2012,349782,3826_8749
3826_273788,287500,2747500,Uraniidae,Pseudomicronia advocataria,成蟲,2011,349782,3826_10958
3826_267277,276500,2734500,Uraniidae,Pseudomicronia advocataria,成蟲,2012,349782,3826_10656
3826_264779,278500,2729500,Uraniidae,Pseudomicronia advocataria,成蟲,2013,349782,3826_10556
3826_227243,242500,2654500,Uraniidae,Pseudomicronia advocataria,成蟲,2013,349782,3826_9049
3826_265289,288500,2730500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_10658
3826_224743,242500,2649500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_8949
3826_268276,275500,2736500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_10756
3826_281312,311500,2762500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_11263
3826_285817,316500,2771500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_11464
3826_264279,278500,2728500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_10556
3826_284317,316500,2768500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_11364
3826_274305,304500,2748500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_10961
3826_268776,275500,2737500,Uraniidae,Pseudomicronia advocataria,成蟲,2014,349782,3826_10756
3826_287813,312500,2775500,Uraniidae,Pseudomicronia advocataria,成蟲,2011,349782,3826_11563
3826_273792,291500,2747500,Uraniidae,Pseudomicronia advocataria,成蟲,2015,349782,3826_10959
3826_293308,307500,2786500,Uraniidae,Pseudomicronia advocataria,成蟲,2015,349782,3826_11762
3826_269276,275500,2738500,Uraniidae,Pseudomicronia advocataria,成蟲,2013,349782,3826_10756
3826_269811,310500,2739500,Uraniidae,Pseudomicronia advocataria,成蟲,2016,349782,3826_10763
3826_290309,308500,2780500,Uraniidae,Pseudomicronia advocataria,成蟲,2016,349782,3826_11662
3826_272786,285500,2745500,Uraniidae,Pseudomicronia advocataria,成蟲,2016,349782,3826_10958
