GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Psilalcis albibasis,成蟲,2011,345216,3826_10560
3826_200229,228500,2600500,Geometridae,Psilalcis albibasis,成蟲,2012,345216,3826_8046
3826_200231,230500,2600500,Geometridae,Psilalcis albibasis,成蟲,2012,345216,3826_8047
3826_177231,230500,2554500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_7047
3826_247282,281500,2694500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_9857
3826_263798,297500,2727500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_10560
3826_204739,238500,2609500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_8148
3826_263798,297500,2727500,Geometridae,Psilalcis albibasis,成蟲,2014,345216,3826_10560
3826_264279,278500,2728500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_10556
3826_199720,219500,2599500,Geometridae,Psilalcis albibasis,成蟲,2015,345216,3826_7944
3826_264279,278500,2728500,Geometridae,Psilalcis albibasis,成蟲,2015,345216,3826_10556
3826_185749,248500,2571500,Geometridae,Psilalcis albibasis,成蟲,2014,345216,3826_7450
3826_273788,287500,2747500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_10958
3826_258301,300500,2716500,Geometridae,Psilalcis albibasis,成蟲,2014,345216,3826_10361
3826_200230,229500,2600500,Geometridae,Psilalcis albibasis,成蟲,2015,345216,3826_8046
3826_264779,278500,2729500,Geometridae,Psilalcis albibasis,成蟲,2015,345216,3826_10556
3826_254805,304500,2709500,Geometridae,Psilalcis albibasis,成蟲,2015,345216,3826_10161
3826_209230,229500,2618500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_8346
3826_200229,228500,2600500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_8046
3826_264279,278500,2728500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_10556
3826_188240,239500,2576500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_7548
3826_207230,229500,2614500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_8246
3826_200231,230500,2600500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_8047
3826_209230,229500,2618500,Geometridae,Psilalcis albibasis,成蟲,2013,345216,3826_8346
3826_207230,229500,2614500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_8246
3826_238794,293500,2677500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_9559
3826_263798,297500,2727500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_10560
3826_185749,248500,2571500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_7450
3826_199233,232500,2598500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_7947
3826_238290,289500,2676500,Geometridae,Psilalcis albibasis,成蟲,2016,345216,3826_9558
3826_200230,229500,2600500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_8046
3826_207230,229500,2614500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_8246
3826_254805,304500,2709500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_10161
3826_232268,267500,2664500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_9254
3826_256762,261500,2713500,Geometridae,Psilalcis albibasis,成蟲,2017,345216,3826_10253
3826_175724,223500,2551500,Geometridae,Psilalcis albibasis,成蟲,2015,345216,3826_7045
3826_207230,229500,2614500,Geometridae,Psilalcis albibasis,成蟲,2018,345216,3826_8246
3826_154218,217500,2508500,Geometridae,Psilalcis albibasis,成蟲,2018,345216,3826_6144
