GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_279306,305500,2758500,Erebidae,Psimada quadripennis,成蟲,2012,346686,3826_11162
3826_284804,303500,2769500,Erebidae,Psimada quadripennis,成蟲,2012,346686,3826_11361
3826_287813,312500,2775500,Erebidae,Psimada quadripennis,成蟲,2012,346686,3826_11563
3826_285303,302500,2770500,Erebidae,Psimada quadripennis,成蟲,2012,346686,3826_11461
3826_279306,305500,2758500,Erebidae,Psimada quadripennis,成蟲,2013,346686,3826_11162
3826_286306,305500,2772500,Erebidae,Psimada quadripennis,成蟲,2013,346686,3826_11462
3826_282307,306500,2764500,Erebidae,Psimada quadripennis,成蟲,2014,346686,3826_11262
3826_287787,286500,2775500,Erebidae,Psimada quadripennis,幼蟲,2014,346686,3826_11558
3826_289337,336500,2778500,Erebidae,Psimada quadripennis,幼蟲,2014,346686,3826_11568
3826_281810,309500,2763500,Erebidae,Psimada quadripennis,成蟲,2014,346686,3826_11262
3826_158267,266500,2516500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_6354
3826_292292,291500,2784500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11659
3826_281820,319500,2763500,Erebidae,Psimada quadripennis,成蟲,2014,346686,3826_11264
3826_281301,300500,2762500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11261
3826_284794,293500,2769500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11359
3826_287813,312500,2775500,Erebidae,Psimada quadripennis,成蟲,2014,346686,3826_11563
3826_281301,300500,2762500,Erebidae,Psimada quadripennis,成蟲,2014,346686,3826_11261
3826_280304,303500,2760500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11261
3826_289336,335500,2778500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11568
3826_281810,309500,2763500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11262
3826_279306,305500,2758500,Erebidae,Psimada quadripennis,成蟲,2015,346686,3826_11162
3826_236216,215500,2672500,Erebidae,Psimada quadripennis,成蟲,2013,346686,3826_9444
3826_291801,300500,2783500,Erebidae,Psimada quadripennis,成蟲,2012,346686,3826_11661
3826_236217,216500,2672500,Erebidae,Psimada quadripennis,成蟲,2013,346686,3826_9444
3826_152175,174500,2504500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_6035
3826_232204,203500,2664500,Erebidae,Psimada quadripennis,成蟲,2013,346686,3826_9241
3826_281309,308500,2762500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11262
3826_242714,213500,2685500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_9743
3826_293308,307500,2786500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11762
3826_286306,305500,2772500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11462
3826_282307,306500,2764500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11262
3826_281810,309500,2763500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11262
3826_289803,302500,2779500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11561
3826_277792,291500,2755500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11159
3826_282808,307500,2765500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11362
3826_285313,312500,2770500,Erebidae,Psimada quadripennis,成蟲,2016,346686,3826_11463
