GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_170217,216500,2540500,Tineidae,Pyloetis mimosae,成蟲,2014,427209,3826_6844
3826_187200,199500,2574500,Tineidae,Pyloetis mimosae,成蟲,2014,427209,3826_7440
3826_173162,161500,2546500,Tineidae,Pyloetis mimosae,成蟲,2015,427209,3826_6933
3826_154218,217500,2508500,Tineidae,Pyloetis mimosae,成蟲,2018,427209,3826_6144
3826_240225,224500,2680500,Tineidae,Pyloetis mimosae,成蟲,2015,427209,3826_9645
3826_256737,236500,2713500,Tineidae,Pyloetis mimosae,成蟲,2018,427209,3826_10248
3826_255743,242500,2711500,Tineidae,Pyloetis mimosae,成蟲,2018,427209,3826_10249
3826_251728,227500,2703500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_10046
3826_253828,327500,2707500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_10166
3826_162692,191500,2525500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_6539
3826_266760,259500,2733500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_10652
3826_265290,289500,2730500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_10658
3826_165724,223500,2531500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_6645
3826_238732,231500,2677500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_9547
3826_227709,208500,2655500,Tineidae,Pyloetis mimosae,成蟲,2019,427209,3826_9142
3826_187199,198500,2574500,Tineidae,Pyloetis mimosae,成蟲,2011,427209,3826_7440
3826_197681,180500,2595500,Tineidae,Pyloetis mimosae,成蟲,2020,427209,3826_7937
3826_168190,189500,2536500,Tineidae,Pyloetis mimosae,成蟲,2020,427209,3826_6738
3826_279786,285500,2759500,Tineidae,Pyloetis mimosae,成蟲,2020,427209,3826_11158
3826_273788,287500,2747500,Tineidae,Pyloetis mimosae,成蟲,2020,427209,3826_10958
3826_218230,229500,2636500,Tineidae,Pyloetis mimosae,成蟲,2020,427209,3826_8746
3826_288310,309500,2776500,Tineidae,Pyloetis mimosae,成蟲,2020,427209,3826_11562
3826_155252,251500,2510500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_6251
3826_269273,272500,2738500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_10755
3826_259249,248500,2718500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_10350
3826_190275,274500,2580500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_7655
3826_180278,277500,2560500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_7256
3826_179775,274500,2559500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_7155
3826_147688,187500,2495500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_5938
3826_278306,305500,2756500,Tineidae,Pyloetis mimosae,成蟲,2022,427209,3826_11162
3826_210712,211500,2621500,Tineidae,Pyloetis mimosae,成蟲,2022,427209,3826_8443
3826_279305,304500,2758500,Tineidae,Pyloetis mimosae,成蟲,2022,427209,3826_11161
3826_278306,305500,2756500,Tineidae,Pyloetis mimosae,成蟲,2021,427209,3826_11162
3826_164271,270500,2528500,Tineidae,Pyloetis mimosae,成蟲,2022,427209,3826_6555
3826_147746,245500,2495500,Tineidae,Pyloetis mimosae,成蟲,2022,427209,3826_5950
3826_150675,174500,2501500,Tineidae,Pyloetis mimosae,成蟲,2022,427209,3826_6035
