GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219243,242500,2638500,Notodontidae,Ramesa albistriga,成蟲,2012,347037,3826_8749
3826_273788,287500,2747500,Notodontidae,Ramesa albistriga,成蟲,2012,347037,3826_10958
3826_281309,308500,2762500,Notodontidae,Ramesa albistriga,成蟲,2013,347037,3826_11262
3826_275267,266500,2750500,Notodontidae,Ramesa albistriga,成蟲,2013,347037,3826_11054
3826_272276,275500,2744500,Notodontidae,Ramesa albistriga,成蟲,2013,347037,3826_10856
3826_278806,305500,2757500,Notodontidae,Ramesa albistriga,成蟲,2013,347037,3826_11162
3826_264279,278500,2728500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_10556
3826_270777,276500,2741500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_10856
3826_227307,306500,2654500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_9062
3826_225806,305500,2651500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_9062
3826_260303,302500,2720500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_10461
3826_215255,254500,2630500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_8651
3826_287813,312500,2775500,Notodontidae,Ramesa albistriga,成蟲,2014,347037,3826_11563
3826_290804,303500,2781500,Notodontidae,Ramesa albistriga,幼蟲,2015,347037,3826_11661
3826_285313,312500,2770500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_11463
3826_209219,218500,2618500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_8344
3826_192289,288500,2584500,Notodontidae,Ramesa albistriga,成蟲,2015,347037,3826_7658
3826_290310,309500,2780500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_11662
3826_280805,304500,2761500,Notodontidae,Ramesa albistriga,幼蟲,2016,347037,3826_11261
3826_226807,306500,2653500,Notodontidae,Ramesa albistriga,幼蟲,2016,347037,3826_9062
3826_237248,247500,2674500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_9450
3826_199197,196500,2598500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_7940
3826_293308,307500,2786500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_11762
3826_175205,204500,2550500,Notodontidae,Ramesa albistriga,成蟲,2013,347037,3826_7041
3826_269280,279500,2738500,Notodontidae,Ramesa albistriga,幼蟲,2016,347037,3826_10756
3826_229266,265500,2658500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_9154
3826_259800,299500,2719500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_10360
3826_267279,278500,2734500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_10656
3826_284311,310500,2768500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_11363
3826_225801,300500,2651500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_9061
3826_224749,248500,2649500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_8950
3826_237228,227500,2674500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_9446
3826_220810,309500,2641500,Notodontidae,Ramesa albistriga,成蟲,2016,347037,3826_8862
3826_281810,309500,2763500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_11262
3826_275806,305500,2751500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_11062
3826_266265,264500,2732500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_10653
3826_195214,213500,2590500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_7843
3826_197218,217500,2594500,Notodontidae,Ramesa albistriga,成蟲,2017,347037,3826_7844
3826_219230,229500,2638500,Notodontidae,Ramesa albistriga,幼蟲,2017,347037,3826_8746
3826_293308,307500,2786500,Notodontidae,Ramesa albistriga,成蟲,2018,347037,3826_11762
3826_262759,258500,2725500,Notodontidae,Ramesa albistriga,成蟲,2018,347037,3826_10552
3826_197218,217500,2594500,Notodontidae,Ramesa albistriga,成蟲,2018,347037,3826_7844
3826_264779,278500,2729500,Notodontidae,Ramesa albistriga,成蟲,2018,347037,3826_10556
3826_256737,236500,2713500,Notodontidae,Ramesa albistriga,成蟲,2018,347037,3826_10248
3826_254738,237500,2709500,Notodontidae,Ramesa albistriga,成蟲,2018,347037,3826_10148
3826_281818,317500,2763500,Notodontidae,Ramesa albistriga,成蟲,2019,347037,3826_11264
3826_272273,272500,2744500,Notodontidae,Ramesa albistriga,幼蟲,2019,347037,3826_10855
3826_269768,267500,2739500,Notodontidae,Ramesa albistriga,成蟲,2019,347037,3826_10754
3826_264779,278500,2729500,Notodontidae,Ramesa albistriga,成蟲,2019,347037,3826_10556
3826_269757,256500,2739500,Notodontidae,Ramesa albistriga,成蟲,2019,347037,3826_10752
3826_257745,244500,2715500,Notodontidae,Ramesa albistriga,成蟲,2019,347037,3826_10349
3826_238235,234500,2676500,Notodontidae,Ramesa albistriga,幼蟲,2019,347037,3826_9547
