GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291801,300500,2783500,Sphingidae,Rhagastis castor formosana,成蟲,2012,347696,3826_11661
3826_269255,254500,2738500,Sphingidae,Rhagastis castor formosana,成蟲,2012,347696,3826_10751
3826_273788,287500,2747500,Sphingidae,Rhagastis castor formosana,成蟲,2012,347696,3826_10958
3826_293303,302500,2786500,Sphingidae,Rhagastis castor formosana,成蟲,2012,347696,3826_11761
3826_188716,215500,2577500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_7544
3826_207229,228500,2614500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_8246
3826_273775,274500,2747500,Sphingidae,Rhagastis castor formosana,成蟲,2012,347696,3826_10955
3826_273826,325500,2747500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_10966
3826_275267,266500,2750500,Sphingidae,Rhagastis castor formosana,幼蟲,2013,347696,3826_11054
3826_275267,266500,2750500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_11054
3826_265265,264500,2730500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_10653
3826_269811,310500,2739500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_10763
3826_297809,308500,2795500,Sphingidae,Rhagastis castor formosana,幼蟲,2013,347696,3826_11962
3826_150219,218500,2500500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_6044
3826_289311,310500,2778500,Sphingidae,Rhagastis castor formosana,成蟲,2011,347696,3826_11563
3826_200731,230500,2601500,Sphingidae,Rhagastis castor formosana,成蟲,2014,347696,3826_8047
3826_140224,223500,2480500,Sphingidae,Rhagastis castor formosana,成蟲,2014,347696,3826_5645
3826_139724,223500,2479500,Sphingidae,Rhagastis castor formosana,成蟲,2014,347696,3826_5545
3826_279332,331500,2758500,Sphingidae,Rhagastis castor formosana,幼蟲,2013,347696,3826_11167
3826_140224,223500,2480500,Sphingidae,Rhagastis castor formosana,幼蟲,2014,347696,3826_5645
3826_220810,309500,2641500,Sphingidae,Rhagastis castor formosana,幼蟲,2014,347696,3826_8862
3826_281820,319500,2763500,Sphingidae,Rhagastis castor formosana,成蟲,2013,347696,3826_11264
3826_154218,217500,2508500,Sphingidae,Rhagastis castor formosana,成蟲,2014,347696,3826_6144
3826_170217,216500,2540500,Sphingidae,Rhagastis castor formosana,成蟲,2015,347696,3826_6844
3826_264279,278500,2728500,Sphingidae,Rhagastis castor formosana,成蟲,2014,347696,3826_10556
