GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287813,312500,2775500,Crambidae,Rhectothyris gratiosalis,成蟲,2012,344366,3826_11563
3826_273788,287500,2747500,Crambidae,Rhectothyris gratiosalis,成蟲,2012,344366,3826_10958
3826_271769,268500,2743500,Crambidae,Rhectothyris gratiosalis,成蟲,2013,344366,3826_10854
3826_273788,287500,2747500,Crambidae,Rhectothyris gratiosalis,成蟲,2013,344366,3826_10958
3826_274781,280500,2749500,Crambidae,Rhectothyris gratiosalis,成蟲,2013,344366,3826_10957
3826_275267,266500,2750500,Crambidae,Rhectothyris gratiosalis,成蟲,2013,344366,3826_11054
3826_279806,305500,2759500,Crambidae,Rhectothyris gratiosalis,成蟲,2014,344366,3826_11162
3826_282307,306500,2764500,Crambidae,Rhectothyris gratiosalis,成蟲,2014,344366,3826_11262
3826_279804,303500,2759500,Crambidae,Rhectothyris gratiosalis,成蟲,2014,344366,3826_11161
3826_279305,304500,2758500,Crambidae,Rhectothyris gratiosalis,成蟲,2014,344366,3826_11161
3826_281309,308500,2762500,Crambidae,Rhectothyris gratiosalis,成蟲,2014,344366,3826_11262
3826_265289,288500,2730500,Crambidae,Rhectothyris gratiosalis,成蟲,2011,344366,3826_10658
3826_273304,303500,2746500,Crambidae,Rhectothyris gratiosalis,成蟲,2015,344366,3826_10961
3826_288310,309500,2776500,Crambidae,Rhectothyris gratiosalis,成蟲,2014,344366,3826_11562
3826_293308,307500,2786500,Crambidae,Rhectothyris gratiosalis,成蟲,2015,344366,3826_11762
3826_287813,312500,2775500,Crambidae,Rhectothyris gratiosalis,成蟲,2013,344366,3826_11563
3826_280304,303500,2760500,Crambidae,Rhectothyris gratiosalis,成蟲,2015,344366,3826_11261
3826_288310,309500,2776500,Crambidae,Rhectothyris gratiosalis,成蟲,2015,344366,3826_11562
3826_287814,313500,2775500,Crambidae,Rhectothyris gratiosalis,成蟲,2015,344366,3826_11563
3826_275786,285500,2751500,Crambidae,Rhectothyris gratiosalis,成蟲,2015,344366,3826_11058
