GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_255762,261500,2711500,Saturniidae,Rhodinia verecunda,成蟲,2012,347583,3826_10253
3826_277327,326500,2754500,Saturniidae,Rhodinia verecunda,成蟲,2012,347583,3826_11066
3826_229767,266500,2659500,Saturniidae,Rhodinia verecunda,成蟲,2012,347583,3826_9154
3826_241751,250500,2683500,Saturniidae,Rhodinia verecunda,成蟲,2013,347583,3826_9651
3826_241248,247500,2682500,Saturniidae,Rhodinia verecunda,成蟲,2013,347583,3826_9650
3826_269811,310500,2739500,Saturniidae,Rhodinia verecunda,成蟲,2014,347583,3826_10763
3826_207230,229500,2614500,Saturniidae,Rhodinia verecunda,成蟲,2014,347583,3826_8246
3826_264279,278500,2728500,Saturniidae,Rhodinia verecunda,成蟲,2014,347583,3826_10556
3826_263798,297500,2727500,Saturniidae,Rhodinia verecunda,成蟲,2014,347583,3826_10560
3826_259781,280500,2719500,Saturniidae,Rhodinia verecunda,成蟲,2014,347583,3826_10357
3826_234314,313500,2668500,Saturniidae,Rhodinia verecunda,成蟲,2014,347583,3826_9363
3826_241248,247500,2682500,Saturniidae,Rhodinia verecunda,成蟲,2015,347583,3826_9650
3826_260276,275500,2720500,Saturniidae,Rhodinia verecunda,成蟲,2015,347583,3826_10456
3826_256248,247500,2712500,Saturniidae,Rhodinia verecunda,成蟲,2015,347583,3826_10250
3826_224769,268500,2649500,Saturniidae,Rhodinia verecunda,成蟲,2015,347583,3826_8954
3826_255762,261500,2711500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10253
3826_229767,266500,2659500,Saturniidae,Rhodinia verecunda,幼蟲,2013,347583,3826_9154
3826_259282,281500,2718500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10357
3826_266777,276500,2733500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10656
3826_264279,278500,2728500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10556
3826_214739,238500,2629500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_8548
3826_256753,252500,2713500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10251
3826_261780,279500,2723500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10456
3826_207230,229500,2614500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_8246
3826_263753,252500,2727500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10551
3826_232268,267500,2664500,Saturniidae,Rhodinia verecunda,幼蟲,2017,347583,3826_9254
3826_261779,278500,2723500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10456
3826_259784,283500,2719500,Saturniidae,Rhodinia verecunda,成蟲,2016,347583,3826_10357
3826_237783,282500,2675500,Saturniidae,Rhodinia verecunda,成蟲,2017,347583,3826_9557
3826_241248,247500,2682500,Saturniidae,Rhodinia verecunda,成蟲,2017,347583,3826_9650
3826_207230,229500,2614500,Saturniidae,Rhodinia verecunda,成蟲,2017,347583,3826_8246
3826_261779,278500,2723500,Saturniidae,Rhodinia verecunda,成蟲,2017,347583,3826_10456
3826_241248,247500,2682500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_9650
3826_260276,275500,2720500,Saturniidae,Rhodinia verecunda,成蟲,2017,347583,3826_10456
3826_255762,261500,2711500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_10253
3826_249782,281500,2699500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_9957
3826_255262,261500,2710500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_10253
3826_247282,281500,2694500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_9857
3826_238293,292500,2676500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_9559
3826_198733,232500,2597500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_7947
3826_207230,229500,2614500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_8246
3826_241248,247500,2682500,Saturniidae,Rhodinia verecunda,成蟲,2019,347583,3826_9650
3826_238794,293500,2677500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_9559
3826_232268,267500,2664500,Saturniidae,Rhodinia verecunda,成蟲,2018,347583,3826_9254
3826_254805,304500,2709500,Saturniidae,Rhodinia verecunda,成蟲,2019,347583,3826_10161
