GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_284804,303500,2769500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_11361
3826_290294,293500,2780500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_11659
3826_291302,301500,2782500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_11661
3826_275267,266500,2750500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_11054
3826_273788,287500,2747500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_10958
3826_271769,268500,2743500,Erebidae,Rivula aequalis,成蟲,2013,432689,3826_10854
3826_282307,306500,2764500,Erebidae,Rivula aequalis,成蟲,2014,432689,3826_11262
3826_170217,216500,2540500,Erebidae,Rivula aequalis,成蟲,2014,432689,3826_6844
3826_212229,228500,2624500,Erebidae,Rivula aequalis,成蟲,2013,432689,3826_8446
3826_279305,304500,2758500,Erebidae,Rivula aequalis,幼蟲,2014,432689,3826_11161
3826_281810,309500,2763500,Erebidae,Rivula aequalis,成蟲,2014,432689,3826_11262
3826_282792,291500,2765500,Erebidae,Rivula aequalis,幼蟲,2015,432689,3826_11359
3826_282307,306500,2764500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_11262
3826_298802,301500,2797500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_11961
3826_280316,315500,2760500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_11264
3826_286306,305500,2772500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_11462
3826_207230,229500,2614500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_8246
3826_280304,303500,2760500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_11261
3826_282317,316500,2764500,Erebidae,Rivula aequalis,成蟲,2012,432689,3826_11264
3826_281810,309500,2763500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_11262
3826_282307,306500,2764500,Erebidae,Rivula aequalis,成蟲,2016,432689,3826_11262
3826_291329,328500,2782500,Erebidae,Rivula aequalis,幼蟲,2012,432689,3826_11666
3826_209726,225500,2619500,Erebidae,Rivula aequalis,成蟲,2016,432689,3826_8346
3826_287843,342500,2775500,Erebidae,Rivula aequalis,成蟲,2016,432689,3826_11569
3826_289308,307500,2778500,Erebidae,Rivula aequalis,成蟲,2016,432689,3826_11562
3826_298802,301500,2797500,Erebidae,Rivula aequalis,成蟲,2016,432689,3826_11961
3826_289809,308500,2779500,Erebidae,Rivula aequalis,成蟲,2016,432689,3826_11562
3826_284810,309500,2769500,Erebidae,Rivula aequalis,成蟲,2017,432689,3826_11362
3826_237727,226500,2675500,Erebidae,Rivula aequalis,成蟲,2015,432689,3826_9546
3826_292805,304500,2785500,Erebidae,Rivula aequalis,成蟲,2013,432689,3826_11761
3826_282307,306500,2764500,Erebidae,Rivula aequalis,成蟲,2017,432689,3826_11262
3826_293807,306500,2787500,Erebidae,Rivula aequalis,成蟲,2014,432689,3826_11762
