GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273282,281500,2746500,Erebidae,Rusicada fulvida,幼蟲,2012,346003,3826_10957
3826_297809,308500,2795500,Erebidae,Rusicada fulvida,幼蟲,2012,346003,3826_11962
3826_237309,308500,2674500,Erebidae,Rusicada fulvida,成蟲,2010,346003,3826_9462
3826_198220,219500,2596500,Erebidae,Rusicada fulvida,幼蟲,2012,346003,3826_7944
3826_162692,191500,2525500,Erebidae,Rusicada fulvida,幼蟲,2012,346003,3826_6539
3826_269770,269500,2739500,Erebidae,Rusicada fulvida,幼蟲,2012,346003,3826_10754
3826_148712,211500,2497500,Erebidae,Rusicada fulvida,幼蟲,2012,346003,3826_5943
3826_224244,243500,2648500,Erebidae,Rusicada fulvida,幼蟲,2014,346003,3826_8949
3826_282809,308500,2765500,Erebidae,Rusicada fulvida,幼蟲,2014,346003,3826_11362
3826_281301,300500,2762500,Erebidae,Rusicada fulvida,成蟲,2013,346003,3826_11261
3826_157716,215500,2515500,Erebidae,Rusicada fulvida,幼蟲,2014,346003,3826_6344
3826_218230,229500,2636500,Erebidae,Rusicada fulvida,幼蟲,2014,346003,3826_8746
3826_152210,209500,2504500,Erebidae,Rusicada fulvida,成蟲,2013,346003,3826_6042
3826_121230,229500,2442500,Erebidae,Rusicada fulvida,成蟲,2014,346003,3826_4846
3826_287813,312500,2775500,Erebidae,Rusicada fulvida,成蟲,2012,346003,3826_11563
3826_288808,307500,2777500,Erebidae,Rusicada fulvida,成蟲,2015,346003,3826_11562
3826_152714,213500,2505500,Erebidae,Rusicada fulvida,幼蟲,2015,346003,3826_6143
3826_243741,240500,2687500,Erebidae,Rusicada fulvida,幼蟲,2013,346003,3826_9749
3826_140224,223500,2480500,Erebidae,Rusicada fulvida,成蟲,2013,346003,3826_5645
3826_247246,245500,2694500,Erebidae,Rusicada fulvida,幼蟲,2016,346003,3826_9850
3826_175205,204500,2550500,Erebidae,Rusicada fulvida,成蟲,2013,346003,3826_7041
3826_291801,300500,2783500,Erebidae,Rusicada fulvida,成蟲,2013,346003,3826_11661
3826_284813,312500,2769500,Erebidae,Rusicada fulvida,幼蟲,2017,346003,3826_11363
3826_238229,228500,2676500,Erebidae,Rusicada fulvida,幼蟲,2016,346003,3826_9546
3826_152175,174500,2504500,Erebidae,Rusicada fulvida,幼蟲,2017,346003,3826_6035
3826_237230,229500,2674500,Erebidae,Rusicada fulvida,幼蟲,2017,346003,3826_9446
3826_290794,293500,2781500,Erebidae,Rusicada fulvida,幼蟲,2017,346003,3826_11659
3826_187200,199500,2574500,Erebidae,Rusicada fulvida,幼蟲,2013,346003,3826_7440
3826_173684,183500,2547500,Erebidae,Rusicada fulvida,幼蟲,2018,346003,3826_6937
3826_168208,207500,2536500,Erebidae,Rusicada fulvida,幼蟲,2018,346003,3826_6742
3826_171164,163500,2542500,Erebidae,Rusicada fulvida,成蟲,2018,346003,3826_6833
3826_229766,265500,2659500,Erebidae,Rusicada fulvida,成蟲,2018,346003,3826_9154
3826_154218,217500,2508500,Erebidae,Rusicada fulvida,成蟲,2018,346003,3826_6144
3826_251728,227500,2703500,Erebidae,Rusicada fulvida,成蟲,2019,346003,3826_10046
3826_200231,230500,2600500,Erebidae,Rusicada fulvida,成蟲,2019,346003,3826_8047
3826_236707,206500,2673500,Erebidae,Rusicada fulvida,幼蟲,2019,346003,3826_9442
3826_261827,326500,2723500,Erebidae,Rusicada fulvida,幼蟲,2019,346003,3826_10466
3826_238230,229500,2676500,Erebidae,Rusicada fulvida,幼蟲,2019,346003,3826_9546
3826_264778,277500,2729500,Erebidae,Rusicada fulvida,成蟲,2018,346003,3826_10556
3826_180196,195500,2560500,Erebidae,Rusicada fulvida,幼蟲,2020,346003,3826_7240
3826_285313,312500,2770500,Erebidae,Rusicada fulvida,幼蟲,2020,346003,3826_11463
3826_268747,246500,2737500,Erebidae,Rusicada fulvida,幼蟲,2020,346003,3826_10750
3826_168208,207500,2536500,Erebidae,Rusicada fulvida,幼蟲,2021,346003,3826_6742
3826_264783,282500,2729500,Erebidae,Rusicada fulvida,成蟲,2022,346003,3826_10557
