GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_228264,263500,2656500,Erebidae,Rusicada privata,成蟲,2011,346009,3826_9153
3826_290315,314500,2780500,Erebidae,Rusicada privata,成蟲,2011,346009,3826_11663
3826_242745,244500,2685500,Erebidae,Rusicada privata,成蟲,2011,346009,3826_9749
3826_297809,308500,2795500,Erebidae,Rusicada privata,幼蟲,2012,346009,3826_11962
3826_289798,297500,2779500,Erebidae,Rusicada privata,成蟲,2012,346009,3826_11560
3826_204726,225500,2609500,Erebidae,Rusicada privata,成蟲,2012,346009,3826_8146
3826_273788,287500,2747500,Erebidae,Rusicada privata,成蟲,2012,346009,3826_10958
3826_206243,242500,2612500,Erebidae,Rusicada privata,成蟲,2012,346009,3826_8249
3826_291801,300500,2783500,Erebidae,Rusicada privata,成蟲,2013,346009,3826_11661
3826_275267,266500,2750500,Erebidae,Rusicada privata,成蟲,2013,346009,3826_11054
3826_273784,283500,2747500,Erebidae,Rusicada privata,成蟲,2014,346009,3826_10957
3826_264279,278500,2728500,Erebidae,Rusicada privata,成蟲,2014,346009,3826_10556
3826_227307,306500,2654500,Erebidae,Rusicada privata,成蟲,2014,346009,3826_9062
3826_227258,257500,2654500,Erebidae,Rusicada privata,成蟲,2014,346009,3826_9052
3826_281312,311500,2762500,Erebidae,Rusicada privata,成蟲,2013,346009,3826_11263
3826_159766,265500,2519500,Erebidae,Rusicada privata,幼蟲,2014,346009,3826_6354
3826_291802,301500,2783500,Erebidae,Rusicada privata,成蟲,2015,346009,3826_11661
3826_221310,309500,2642500,Erebidae,Rusicada privata,成蟲,2015,346009,3826_8862
3826_237248,247500,2674500,Erebidae,Rusicada privata,成蟲,2015,346009,3826_9450
3826_264283,282500,2728500,Erebidae,Rusicada privata,成蟲,2015,346009,3826_10557
3826_215255,254500,2630500,Erebidae,Rusicada privata,成蟲,2014,346009,3826_8651
3826_281844,343500,2763500,Erebidae,Rusicada privata,成蟲,2015,346009,3826_11269
3826_279306,305500,2758500,Erebidae,Rusicada privata,成蟲,2015,346009,3826_11162
3826_261251,250500,2722500,Erebidae,Rusicada privata,幼蟲,2015,346009,3826_10451
3826_291801,300500,2783500,Erebidae,Rusicada privata,幼蟲,2012,346009,3826_11661
3826_170214,213500,2540500,Erebidae,Rusicada privata,幼蟲,2015,346009,3826_6843
3826_282307,306500,2764500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_11262
3826_298803,302500,2797500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_11961
3826_175724,223500,2551500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_7045
3826_293303,302500,2786500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_11761
3826_298802,301500,2797500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_11961
3826_292805,304500,2785500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_11761
3826_241243,242500,2682500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_9649
3826_175223,222500,2550500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_7045
3826_188716,215500,2577500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_7544
3826_267279,278500,2734500,Erebidae,Rusicada privata,成蟲,2016,346009,3826_10656
3826_272786,285500,2745500,Erebidae,Rusicada privata,成蟲,2014,346009,3826_10958
3826_193202,201500,2586500,Erebidae,Rusicada privata,幼蟲,2016,346009,3826_7741
3826_220810,309500,2641500,Erebidae,Rusicada privata,成蟲,2017,346009,3826_8862
3826_281810,309500,2763500,Erebidae,Rusicada privata,成蟲,2017,346009,3826_11262
3826_257281,280500,2714500,Erebidae,Rusicada privata,幼蟲,2017,346009,3826_10257
3826_290315,314500,2780500,Erebidae,Rusicada privata,幼蟲,2016,346009,3826_11663
3826_266265,264500,2732500,Erebidae,Rusicada privata,成蟲,2017,346009,3826_10653
3826_195214,213500,2590500,Erebidae,Rusicada privata,成蟲,2017,346009,3826_7843
