GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_226218,217500,2652500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_9044
3826_174163,162500,2548500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_6933
3826_147203,202500,2494500,Crambidae,Sameodes cancellalis,成蟲,2014,344369,3826_5841
3826_284301,300500,2768500,Crambidae,Sameodes cancellalis,成蟲,2014,344369,3826_11361
3826_154679,178500,2509500,Crambidae,Sameodes cancellalis,成蟲,2014,344369,3826_6136
3826_203189,188500,2606500,Crambidae,Sameodes cancellalis,成蟲,2014,344369,3826_8138
3826_147212,211500,2494500,Crambidae,Sameodes cancellalis,成蟲,2015,344369,3826_5843
3826_152175,174500,2504500,Crambidae,Sameodes cancellalis,成蟲,2015,344369,3826_6035
3826_289798,297500,2779500,Crambidae,Sameodes cancellalis,成蟲,2015,344369,3826_11560
3826_252226,225500,2704500,Crambidae,Sameodes cancellalis,成蟲,2015,344369,3826_10046
3826_218230,229500,2636500,Crambidae,Sameodes cancellalis,成蟲,2011,344369,3826_8746
3826_236216,215500,2672500,Crambidae,Sameodes cancellalis,成蟲,2012,344369,3826_9444
3826_293308,307500,2786500,Crambidae,Sameodes cancellalis,成蟲,2015,344369,3826_11762
3826_212229,228500,2624500,Crambidae,Sameodes cancellalis,成蟲,2015,344369,3826_8446
3826_232204,203500,2664500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_9241
3826_236217,216500,2672500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_9444
3826_265744,243500,2731500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_10649
3826_213711,210500,2627500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_8543
3826_190782,281500,2581500,Crambidae,Sameodes cancellalis,成蟲,2016,344369,3826_7657
3826_152175,174500,2504500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_6035
3826_238229,228500,2676500,Crambidae,Sameodes cancellalis,成蟲,2016,344369,3826_9546
3826_165210,209500,2530500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_6642
3826_259254,253500,2718500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_10351
3826_224749,248500,2649500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_8950
3826_264827,326500,2729500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_10566
3826_267255,254500,2734500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_10651
3826_147688,187500,2495500,Crambidae,Sameodes cancellalis,成蟲,2017,344369,3826_5938
3826_173676,175500,2547500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_6936
3826_154680,179500,2509500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_6136
3826_173684,183500,2547500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_6937
3826_168180,179500,2536500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_6736
3826_153200,199500,2506500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_6140
3826_271249,248500,2742500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_10850
3826_152210,209500,2504500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_6042
3826_288307,306500,2776500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_11562
3826_161256,255500,2522500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_6452
3826_178669,168500,2557500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_7134
3826_252833,332500,2705500,Crambidae,Sameodes cancellalis,成蟲,2018,344369,3826_10167
3826_199197,196500,2598500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_7940
3826_147682,181500,2495500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_5937
3826_213711,210500,2627500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_8543
3826_173682,181500,2547500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_6937
3826_147688,187500,2495500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_5938
3826_152681,180500,2505500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_6137
3826_272276,275500,2744500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_10856
3826_164183,182500,2528500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_6537
3826_158680,179500,2517500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_6336
3826_237214,213500,2674500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_9443
3826_151681,180500,2503500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_6037
3826_234719,218500,2669500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_9344
3826_228719,218500,2657500,Crambidae,Sameodes cancellalis,成蟲,2013,344369,3826_9144
3826_284805,304500,2769500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_11361
3826_144203,202500,2488500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_5741
3826_221709,208500,2643500,Crambidae,Sameodes cancellalis,成蟲,2020,344369,3826_8842
3826_155680,179500,2511500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_6236
3826_266257,256500,2732500,Crambidae,Sameodes cancellalis,成蟲,2019,344369,3826_10652
3826_176271,270500,2552500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_7055
3826_243210,209500,2686500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_9742
3826_151183,182500,2502500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_6037
3826_147682,181500,2495500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_5937
3826_282307,306500,2764500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_11262
3826_269273,272500,2738500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_10755
3826_227222,221500,2654500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_9045
3826_153181,180500,2506500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_6137
3826_198693,192500,2597500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_7939
3826_291305,304500,2782500,Crambidae,Sameodes cancellalis,成蟲,2021,344369,3826_11661
3826_153680,179500,2507500,Crambidae,Sameodes cancellalis,成蟲,2022,344369,3826_6136
3826_162692,191500,2525500,Crambidae,Sameodes cancellalis,成蟲,2022,344369,3826_6539
3826_152181,180500,2504500,Crambidae,Sameodes cancellalis,成蟲,2022,344369,3826_6037
