GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_288310,309500,2776500,Saturniidae,Samia wangi,幼蟲,2010,347584,3826_11562
3826_187200,199500,2574500,Saturniidae,Samia wangi,成蟲,2011,347584,3826_7440
3826_219243,242500,2638500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_8749
3826_290829,328500,2781500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_11666
3826_234267,266500,2668500,Saturniidae,Samia wangi,成蟲,2010,347584,3826_9354
3826_297809,308500,2795500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_11962
3826_265312,311500,2730500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_10663
3826_293303,302500,2786500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_11761
3826_219244,243500,2638500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_8749
3826_218230,229500,2636500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_8746
3826_269315,314500,2738500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_10763
3826_293805,304500,2787500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_11761
3826_212229,228500,2624500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_8446
3826_259754,253500,2719500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_10351
3826_219242,241500,2638500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_8749
3826_292307,306500,2784500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_11662
3826_148712,211500,2497500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_5943
3826_152210,209500,2504500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_6042
3826_280304,303500,2760500,Saturniidae,Samia wangi,幼蟲,2012,347584,3826_11261
3826_297809,308500,2795500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_11962
3826_226305,304500,2652500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_9061
3826_150219,218500,2500500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_6044
3826_152210,209500,2504500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_6042
3826_273788,287500,2747500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_10958
3826_277270,269500,2754500,Saturniidae,Samia wangi,蛹,2013,347584,3826_11054
3826_273792,291500,2747500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_10959
3826_286780,279500,2773500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_11456
3826_227313,312500,2654500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_9063
3826_263798,297500,2727500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_10560
3826_150218,217500,2500500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_6044
3826_226298,297500,2652500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_9060
3826_293303,302500,2786500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_11761
3826_228264,263500,2656500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_9153
3826_219242,241500,2638500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_8749
3826_180254,253500,2560500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_7251
3826_261762,261500,2723500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10453
3826_182205,204500,2564500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_7241
3826_263260,259500,2726500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10552
3826_292307,306500,2784500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_11662
3826_243237,236500,2686500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_9748
3826_280787,286500,2761500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_11258
3826_269811,310500,2739500,Saturniidae,Samia wangi,成蟲,2013,347584,3826_10763
3826_288810,309500,2777500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_11562
3826_226252,251500,2652500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_9051
3826_293303,302500,2786500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11761
3826_289826,325500,2779500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_11566
3826_291329,328500,2782500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_11666
3826_281301,300500,2762500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11261
3826_258301,300500,2716500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10361
3826_166260,259500,2532500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_6652
3826_292308,307500,2784500,Saturniidae,Samia wangi,蛹,2014,347584,3826_11662
3826_287333,332500,2774500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11467
3826_284808,307500,2769500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11362
3826_281309,308500,2762500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11262
3826_276802,301500,2753500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11061
3826_224743,242500,2649500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_8949
3826_281810,309500,2763500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11262
3826_219242,241500,2638500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_8749
3826_263798,297500,2727500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_10560
3826_264279,278500,2728500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10556
3826_234314,313500,2668500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_9363
3826_190699,198500,2581500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_7640
3826_263324,323500,2726500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10565
3826_264279,278500,2728500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_10556
3826_281820,319500,2763500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_11264
3826_280801,300500,2761500,Saturniidae,Samia wangi,幼蟲,2014,347584,3826_11261
3826_268776,275500,2737500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10756
3826_239739,238500,2679500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_9548
3826_218230,229500,2636500,Saturniidae,Samia wangi,幼蟲,2013,347584,3826_8746
3826_273321,320500,2746500,Saturniidae,Samia wangi,成蟲,2014,347584,3826_10965
3826_293807,306500,2787500,Saturniidae,Samia wangi,幼蟲,2015,347584,3826_11762
3826_255262,261500,2710500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_10253
3826_229765,264500,2659500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_9153
3826_229766,265500,2659500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_9154
3826_257260,259500,2714500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_10252
3826_151747,246500,2503500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_6050
3826_288315,314500,2776500,Saturniidae,Samia wangi,幼蟲,2015,347584,3826_11563
3826_214744,243500,2629500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_8549
3826_166260,259500,2532500,Saturniidae,Samia wangi,成蟲,2015,347584,3826_6652
3826_280304,303500,2760500,Saturniidae,Samia wangi,幼蟲,2015,347584,3826_11261
3826_221802,301500,2643500,Saturniidae,Samia wangi,成蟲,2012,347584,3826_8861
3826_282806,305500,2765500,Saturniidae,Samia wangi,幼蟲,2015,347584,3826_11362
