GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_218230,229500,2636500,Choreutidae,Saptha divitiosa,成蟲,2011,344018,3826_8746
3826_152675,174500,2505500,Choreutidae,Saptha divitiosa,成蟲,2011,344018,3826_6135
3826_127238,237500,2454500,Choreutidae,Saptha divitiosa,成蟲,2011,344018,3826_5048
3826_187200,199500,2574500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_7440
3826_218733,232500,2637500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_8747
3826_268824,323500,2737500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_10765
3826_212212,211500,2624500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_8443
3826_155751,250500,2511500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_6251
3826_147688,187500,2495500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_5938
3826_236217,216500,2672500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_9444
3826_218230,229500,2636500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_8746
3826_152684,183500,2505500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_6137
3826_286809,308500,2773500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11462
3826_182780,279500,2565500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_7356
3826_282309,308500,2764500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11262
3826_295315,314500,2790500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11863
3826_280802,301500,2761500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11261
3826_231235,234500,2662500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_9247
3826_289843,342500,2779500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11569
3826_291825,324500,2783500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_11665
3826_295316,315500,2790500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_11864
3826_162692,191500,2525500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_6539
3826_273260,259500,2746500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_10952
3826_121236,235500,2442500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_4848
3826_231206,205500,2662500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_9242
3826_165269,268500,2530500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_6654
3826_187200,199500,2574500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_7440
3826_281302,301500,2762500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_11261
3826_209219,218500,2618500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_8344
3826_287813,312500,2775500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_11563
3826_155680,179500,2511500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_6236
3826_290298,297500,2780500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11660
3826_231705,204500,2663500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_9241
3826_298802,301500,2797500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_11961
3826_288843,342500,2777500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11569
3826_280787,286500,2761500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11258
3826_289838,337500,2779500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11568
3826_290799,298500,2781500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11660
3826_287813,312500,2775500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11563
3826_281301,300500,2762500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_11261
3826_287787,286500,2775500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11558
3826_284308,307500,2768500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11362
3826_245226,225500,2690500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_9846
3826_128729,228500,2457500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_5146
3826_293820,319500,2787500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11764
3826_285793,292500,2771500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11459
3826_217712,211500,2635500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_8743
3826_122224,223500,2444500,Choreutidae,Saptha divitiosa,成蟲,2011,344018,3826_4845
3826_290829,328500,2781500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11666
3826_252833,332500,2705500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_10167
3826_287311,310500,2774500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11463
3826_291329,328500,2782500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11666
3826_152175,174500,2504500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_6035
3826_261338,337500,2722500,Choreutidae,Saptha divitiosa,成蟲,2012,344018,3826_10468
3826_290831,330500,2781500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11667
3826_289843,342500,2779500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11569
3826_155680,179500,2511500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_6236
3826_152675,174500,2505500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_6135
3826_274829,328500,2749500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_10966
3826_152175,174500,2504500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_6035
3826_232204,203500,2664500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_9241
3826_152175,174500,2504500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_6035
3826_152684,183500,2505500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_6137
3826_231698,197500,2663500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_9240
3826_238225,224500,2676500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_9545
3826_282806,305500,2765500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11362
3826_288843,342500,2777500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11569
3826_276780,279500,2753500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11056
3826_283807,306500,2767500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11362
3826_283296,295500,2766500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11360
3826_237228,227500,2674500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_9446
3826_273260,259500,2746500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_10952
3826_164183,182500,2528500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_6537
3826_289840,339500,2779500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11568
3826_290288,287500,2780500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11658
3826_162692,191500,2525500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_6539
3826_285313,312500,2770500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11463
3826_290329,328500,2780500,Choreutidae,Saptha divitiosa,成蟲,2015,344018,3826_11666
3826_237309,308500,2674500,Choreutidae,Saptha divitiosa,成蟲,2017,344018,3826_9462
3826_152175,174500,2504500,Choreutidae,Saptha divitiosa,成蟲,2017,344018,3826_6035
3826_269827,326500,2739500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_10766
3826_292805,304500,2785500,Choreutidae,Saptha divitiosa,成蟲,2013,344018,3826_11761
3826_282809,308500,2765500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_11362
3826_230229,228500,2660500,Choreutidae,Saptha divitiosa,成蟲,2016,344018,3826_9246
3826_284808,307500,2769500,Choreutidae,Saptha divitiosa,成蟲,2017,344018,3826_11362
3826_284309,308500,2768500,Choreutidae,Saptha divitiosa,成蟲,2017,344018,3826_11362
3826_228809,308500,2657500,Choreutidae,Saptha divitiosa,成蟲,2014,344018,3826_9162
3826_153174,173500,2506500,Choreutidae,Saptha divitiosa,成蟲,2017,344018,3826_6135
3826_153176,175500,2506500,Choreutidae,Saptha divitiosa,成蟲,2017,344018,3826_6136
