GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287813,312500,2775500,Geometridae,Sarcinodes mongaku,成蟲,2012,345240,3826_11563
3826_267778,277500,2735500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_10756
3826_275266,265500,2750500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_11054
3826_273304,303500,2746500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_10961
3826_275267,266500,2750500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_11054
3826_291801,300500,2783500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_11661
3826_272276,275500,2744500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_10856
3826_287813,312500,2775500,Geometridae,Sarcinodes mongaku,成蟲,2014,345240,3826_11563
3826_288310,309500,2776500,Geometridae,Sarcinodes mongaku,成蟲,2014,345240,3826_11562
3826_281309,308500,2762500,Geometridae,Sarcinodes mongaku,成蟲,2013,345240,3826_11262
3826_285818,317500,2771500,Geometridae,Sarcinodes mongaku,成蟲,2014,345240,3826_11464
3826_288310,309500,2776500,Geometridae,Sarcinodes mongaku,成蟲,2015,345240,3826_11562
3826_290310,309500,2780500,Geometridae,Sarcinodes mongaku,成蟲,2015,345240,3826_11662
3826_275786,285500,2751500,Geometridae,Sarcinodes mongaku,成蟲,2015,345240,3826_11058
3826_285793,292500,2771500,Geometridae,Sarcinodes mongaku,成蟲,2015,345240,3826_11459
3826_273788,287500,2747500,Geometridae,Sarcinodes mongaku,成蟲,2012,345240,3826_10958
3826_140224,223500,2480500,Geometridae,Sarcinodes mongaku,成蟲,2012,345240,3826_5645
3826_225749,248500,2651500,Geometridae,Sarcinodes mongaku,成蟲,2016,345240,3826_9050
3826_287810,309500,2775500,Geometridae,Sarcinodes mongaku,成蟲,2016,345240,3826_11562
3826_279306,305500,2758500,Geometridae,Sarcinodes mongaku,成蟲,2016,345240,3826_11162
3826_293308,307500,2786500,Geometridae,Sarcinodes mongaku,成蟲,2016,345240,3826_11762
3826_224749,248500,2649500,Geometridae,Sarcinodes mongaku,成蟲,2016,345240,3826_8950
3826_256737,236500,2713500,Geometridae,Sarcinodes mongaku,成蟲,2017,345240,3826_10248
3826_232753,252500,2665500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_9351
3826_282784,283500,2765500,Geometridae,Sarcinodes mongaku,蛹,2018,345240,3826_11357
3826_286823,322500,2773500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_11465
3826_282823,322500,2765500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_11365
3826_266265,264500,2732500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_10653
3826_154218,217500,2508500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_6144
3826_285312,311500,2770500,Geometridae,Sarcinodes mongaku,幼蟲,2018,345240,3826_11463
3826_224749,248500,2649500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_8950
3826_288810,309500,2777500,Geometridae,Sarcinodes mongaku,幼蟲,2018,345240,3826_11562
3826_281810,309500,2763500,Geometridae,Sarcinodes mongaku,成蟲,2018,345240,3826_11262
3826_285293,292500,2770500,Geometridae,Sarcinodes mongaku,成蟲,2019,345240,3826_11459
