GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,幼蟲,2010,434197,3826_10148
3826_224244,243500,2648500,Saturniidae,Saturnia pyretorum,成蟲,2012,434197,3826_8949
3826_211236,235500,2622500,Saturniidae,Saturnia pyretorum,成蟲,2012,434197,3826_8448
3826_251242,241500,2702500,Saturniidae,Saturnia pyretorum,幼蟲,2012,434197,3826_10049
3826_259739,238500,2719500,Saturniidae,Saturnia pyretorum,蛹,2012,434197,3826_10348
3826_273792,291500,2747500,Saturniidae,Saturnia pyretorum,成蟲,2011,434197,3826_10959
3826_243237,236500,2686500,Saturniidae,Saturnia pyretorum,成蟲,2013,434197,3826_9748
3826_250744,243500,2701500,Saturniidae,Saturnia pyretorum,成蟲,2013,434197,3826_10049
3826_224244,243500,2648500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_8949
3826_219244,243500,2638500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_8749
3826_246727,226500,2693500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_9846
3826_252229,228500,2704500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_10046
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,幼蟲,2013,434197,3826_10148
3826_243237,236500,2686500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_9748
3826_242233,232500,2684500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_9647
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_10148
3826_250225,224500,2700500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_10045
3826_246727,226500,2693500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_9846
3826_265760,259500,2731500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_10652
3826_248231,230500,2696500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_9947
3826_245225,224500,2690500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_9845
3826_264279,278500,2728500,Saturniidae,Saturnia pyretorum,成蟲,2014,434197,3826_10556
3826_266265,264500,2732500,Saturniidae,Saturnia pyretorum,成蟲,2013,434197,3826_10653
3826_243237,236500,2686500,Saturniidae,Saturnia pyretorum,幼蟲,2012,434197,3826_9748
3826_226264,263500,2652500,Saturniidae,Saturnia pyretorum,成蟲,2015,434197,3826_9053
3826_252226,225500,2704500,Saturniidae,Saturnia pyretorum,成蟲,2013,434197,3826_10046
3826_252226,225500,2704500,Saturniidae,Saturnia pyretorum,成蟲,2012,434197,3826_10046
3826_250743,242500,2701500,Saturniidae,Saturnia pyretorum,成蟲,2015,434197,3826_10049
3826_246737,236500,2693500,Saturniidae,Saturnia pyretorum,成蟲,2015,434197,3826_9848
3826_251741,240500,2703500,Saturniidae,Saturnia pyretorum,成蟲,2015,434197,3826_10049
3826_253247,246500,2706500,Saturniidae,Saturnia pyretorum,幼蟲,2015,434197,3826_10150
3826_243237,236500,2686500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_9748
3826_251744,243500,2703500,Saturniidae,Saturnia pyretorum,成蟲,2015,434197,3826_10049
3826_265280,279500,2730500,Saturniidae,Saturnia pyretorum,成蟲,2015,434197,3826_10656
3826_227741,240500,2655500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_9149
3826_223741,240500,2647500,Saturniidae,Saturnia pyretorum,蛹,2015,434197,3826_8949
3826_222241,240500,2644500,Saturniidae,Saturnia pyretorum,幼蟲,2015,434197,3826_8849
3826_227741,240500,2655500,Saturniidae,Saturnia pyretorum,幼蟲,2015,434197,3826_9149
3826_224749,248500,2649500,Saturniidae,Saturnia pyretorum,成蟲,2016,434197,3826_8950
3826_243237,236500,2686500,Saturniidae,Saturnia pyretorum,成蟲,2016,434197,3826_9748
3826_229265,264500,2658500,Saturniidae,Saturnia pyretorum,成蟲,2016,434197,3826_9153
3826_251744,243500,2703500,Saturniidae,Saturnia pyretorum,幼蟲,2016,434197,3826_10049
3826_249228,227500,2698500,Saturniidae,Saturnia pyretorum,幼蟲,2016,434197,3826_9946
3826_219244,243500,2638500,Saturniidae,Saturnia pyretorum,幼蟲,2016,434197,3826_8749
3826_224244,243500,2648500,Saturniidae,Saturnia pyretorum,幼蟲,2016,434197,3826_8949
3826_265781,280500,2731500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_10657
3826_274280,279500,2748500,Saturniidae,Saturnia pyretorum,蛹,2017,434197,3826_10956
3826_224749,248500,2649500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_8950
3826_197225,224500,2594500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_7845
3826_263260,259500,2726500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_10552
3826_264279,278500,2728500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_10556
3826_266265,264500,2732500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_10653
3826_222739,238500,2645500,Saturniidae,Saturnia pyretorum,成蟲,2017,434197,3826_8948
3826_224743,242500,2649500,Saturniidae,Saturnia pyretorum,幼蟲,2017,434197,3826_8949
3826_266767,266500,2733500,Saturniidae,Saturnia pyretorum,幼蟲,2017,434197,3826_10654
3826_222755,254500,2645500,Saturniidae,Saturnia pyretorum,幼蟲,2017,434197,3826_8951
3826_254738,237500,2709500,Saturniidae,Saturnia pyretorum,蛹,2017,434197,3826_10148
3826_254738,237500,2709500,Saturniidae,Saturnia pyretorum,幼蟲,2017,434197,3826_10148
3826_267271,270500,2734500,Saturniidae,Saturnia pyretorum,幼蟲,2017,434197,3826_10655
3826_222739,238500,2645500,Saturniidae,Saturnia pyretorum,成蟲,2018,434197,3826_8948
3826_224749,248500,2649500,Saturniidae,Saturnia pyretorum,幼蟲,2017,434197,3826_8950
3826_232753,252500,2665500,Saturniidae,Saturnia pyretorum,蛹,2013,434197,3826_9351
3826_257742,241500,2715500,Saturniidae,Saturnia pyretorum,蛹,2011,434197,3826_10349
3826_249730,229500,2699500,Saturniidae,Saturnia pyretorum,幼蟲,2018,434197,3826_9946
3826_250224,223500,2700500,Saturniidae,Saturnia pyretorum,幼蟲,2018,434197,3826_10045
3826_253748,247500,2707500,Saturniidae,Saturnia pyretorum,幼蟲,2018,434197,3826_10150
3826_253748,247500,2707500,Saturniidae,Saturnia pyretorum,蛹,2018,434197,3826_10150
3826_223242,241500,2646500,Saturniidae,Saturnia pyretorum,幼蟲,2018,434197,3826_8949
3826_252238,237500,2704500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_10048
3826_259739,238500,2719500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10348
3826_266766,265500,2733500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10654
3826_266766,265500,2733500,Saturniidae,Saturnia pyretorum,蛹,2019,434197,3826_10654
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10148
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,蛹,2018,434197,3826_10148
3826_261242,241500,2722500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10449
3826_254738,237500,2709500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10148
3826_253748,247500,2707500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10150
3826_224743,242500,2649500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_8949
3826_256737,236500,2713500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10248
3826_224746,245500,2649500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_8950
3826_247742,241500,2695500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_9949
3826_254734,233500,2709500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10147
3826_255224,223500,2710500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10245
3826_254738,237500,2709500,Saturniidae,Saturnia pyretorum,蛹,2018,434197,3826_10148
3826_257746,245500,2715500,Saturniidae,Saturnia pyretorum,成蟲,2016,434197,3826_10350
3826_255743,242500,2711500,Saturniidae,Saturnia pyretorum,成蟲,2019,434197,3826_10249
3826_257242,241500,2714500,Saturniidae,Saturnia pyretorum,成蟲,2020,434197,3826_10249
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,成蟲,2020,434197,3826_10148
3826_249228,227500,2698500,Saturniidae,Saturnia pyretorum,成蟲,2021,434197,3826_9946
3826_252241,240500,2704500,Saturniidae,Saturnia pyretorum,成蟲,2021,434197,3826_10049
3826_253244,243500,2706500,Saturniidae,Saturnia pyretorum,成蟲,2021,434197,3826_10149
3826_247228,227500,2694500,Saturniidae,Saturnia pyretorum,成蟲,2021,434197,3826_9846
3826_249226,225500,2698500,Saturniidae,Saturnia pyretorum,成蟲,2021,434197,3826_9946
3826_252226,225500,2704500,Saturniidae,Saturnia pyretorum,成蟲,2021,434197,3826_10046
3826_249226,225500,2698500,Saturniidae,Saturnia pyretorum,幼蟲,2021,434197,3826_9946
3826_274280,279500,2748500,Saturniidae,Saturnia pyretorum,幼蟲,2021,434197,3826_10956
3826_274280,279500,2748500,Saturniidae,Saturnia pyretorum,蛹,2021,434197,3826_10956
3826_248730,229500,2697500,Saturniidae,Saturnia pyretorum,幼蟲,2021,434197,3826_9946
3826_274281,280500,2748500,Saturniidae,Saturnia pyretorum,幼蟲,2021,434197,3826_10957
3826_251724,223500,2703500,Saturniidae,Saturnia pyretorum,蛹,2021,434197,3826_10045
3826_253736,235500,2707500,Saturniidae,Saturnia pyretorum,幼蟲,2021,434197,3826_10148
3826_253736,235500,2707500,Saturniidae,Saturnia pyretorum,蛹,2021,434197,3826_10148
3826_223242,241500,2646500,Saturniidae,Saturnia pyretorum,成蟲,2022,434197,3826_8949
3826_252738,237500,2705500,Saturniidae,Saturnia pyretorum,成蟲,2022,434197,3826_10148
3826_224244,243500,2648500,Saturniidae,Saturnia pyretorum,成蟲,2022,434197,3826_8949
3826_264783,282500,2729500,Saturniidae,Saturnia pyretorum,幼蟲,2014,434197,3826_10557
3826_248725,224500,2697500,Saturniidae,Saturnia pyretorum,成蟲,2022,434197,3826_9945
3826_221743,242500,2643500,Saturniidae,Saturnia pyretorum,成蟲,2022,434197,3826_8849
3826_251724,223500,2703500,Saturniidae,Saturnia pyretorum,成蟲,2022,434197,3826_10045
