GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219741,240500,2639500,Limacodidae,Scopelodes contractus,幼蟲,2012,345669,3826_8749
3826_227227,226500,2654500,Limacodidae,Scopelodes contractus,幼蟲,2012,345669,3826_9046
3826_252238,237500,2704500,Limacodidae,Scopelodes contractus,幼蟲,2012,345669,3826_10048
3826_276808,307500,2753500,Limacodidae,Scopelodes contractus,成蟲,2012,345669,3826_11062
3826_276778,277500,2753500,Limacodidae,Scopelodes contractus,幼蟲,2013,345669,3826_11056
3826_218230,229500,2636500,Limacodidae,Scopelodes contractus,成蟲,2013,345669,3826_8746
3826_272276,275500,2744500,Limacodidae,Scopelodes contractus,成蟲,2013,345669,3826_10856
3826_263295,294500,2726500,Limacodidae,Scopelodes contractus,幼蟲,2013,345669,3826_10559
3826_190699,198500,2581500,Limacodidae,Scopelodes contractus,幼蟲,2013,345669,3826_7640
3826_272276,275500,2744500,Limacodidae,Scopelodes contractus,幼蟲,2013,345669,3826_10856
3826_223302,301500,2646500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_8961
3826_282289,288500,2764500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_11258
3826_281800,299500,2763500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_11260
3826_220810,309500,2641500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_8862
3826_279804,303500,2759500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_11161
3826_284809,308500,2769500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_11362
3826_216797,296500,2633500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_8660
3826_282792,291500,2765500,Limacodidae,Scopelodes contractus,成蟲,2017,345669,3826_11359
3826_251237,236500,2702500,Limacodidae,Scopelodes contractus,幼蟲,2012,345669,3826_10048
3826_271250,249500,2742500,Limacodidae,Scopelodes contractus,幼蟲,2021,345669,3826_10850
3826_280787,286500,2761500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_11258
3826_279305,304500,2758500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_11161
3826_281301,300500,2762500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_11261
3826_163213,212500,2526500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_6543
3826_266255,254500,2732500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_10651
3826_287787,286500,2775500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_11558
3826_191200,199500,2582500,Limacodidae,Scopelodes contractus,成蟲,2014,345669,3826_7640
3826_271271,270500,2742500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_10855
3826_280304,303500,2760500,Limacodidae,Scopelodes contractus,成蟲,2015,345669,3826_11261
3826_273796,295500,2747500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_10960
3826_282809,308500,2765500,Limacodidae,Scopelodes contractus,幼蟲,2014,345669,3826_11362
3826_272786,285500,2745500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_10958
3826_282809,308500,2765500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_11362
3826_285313,312500,2770500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_11463
3826_281790,289500,2763500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_11258
3826_273788,287500,2747500,Limacodidae,Scopelodes contractus,成蟲,2015,345669,3826_10958
3826_223302,301500,2646500,Limacodidae,Scopelodes contractus,成蟲,2015,345669,3826_8961
3826_280304,303500,2760500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_11261
3826_284325,324500,2768500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_11365
3826_273796,295500,2747500,Limacodidae,Scopelodes contractus,幼蟲,2015,345669,3826_10960
3826_281810,309500,2763500,Limacodidae,Scopelodes contractus,成蟲,2015,345669,3826_11262
3826_287787,286500,2775500,Limacodidae,Scopelodes contractus,幼蟲,2016,345669,3826_11558
